Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	WA_L	Onder	F	AK	2819.82819405391	20.519900722365
lmer	pop	WA_L	Onder	F	GI	2856.85534221726	21.2965633195739
lmer	pop	WA_L	Onder	F	KA	2860.66474832739	20.7710686894533
lmer	pop	WA_L	Onder	F	MA	2903.65502089052	19.9558279245665
lmer	pop	WA_L	Onder	F	MU	2854.27870393814	20.7750143665669
lmer	pop	WA_L	Onder	F	RE	2939.65484287269	21.0887780864233
lmer	pop	WA_L	Onder	F	UM	2903.60632480512	20.2629250257249
lmer	pop	WA_L	Onder	F	VA	2853.31022350971	22.7417994104949
lmer	pop	WA_L	Onder	F	YE	2819.7209189952	20.1101942691633
lmer	pop	WA_L	Posnien	F	AK	2558.94349822923	70.856904726444
lmer	pop	WA_L	Posnien	F	GI	2698.13356842914	70.856904726442
lmer	pop	WA_L	Posnien	F	KA	2607.55080781247	81.4083856281642
lmer	pop	WA_L	Posnien	F	MA	2668.52667274583	58.430100498289
lmer	pop	WA_L	Posnien	F	MU	2533.3859014958	70.856904726442
lmer	pop	WA_L	Posnien	F	RE	2753.99531787085	70.856904726442
lmer	pop	WA_L	Posnien	F	UM	2653.00464172082	58.430100498289
lmer	pop	WA_L	Posnien	F	VA	2494.50044411248	81.4083856281642
lmer	pop	WA_L	Posnien	F	YE	2627.64985046247	70.856904726442
lmer	pop	WA_L	Ritchie	F	AK	2775.24412095639	82.1218078681034
lmer	pop	WA_L	Ritchie	F	GI	2564.7146149232	62.3866145939074
lmer	pop	WA_L	Ritchie	F	KA	2673.61538045052	92.9318649318455
lmer	pop	WA_L	Ritchie	F	MA	2846.77589806717	68.321439846672
lmer	pop	WA_L	Ritchie	F	MU	2791.04682294119	70.5836323808029
lmer	pop	WA_L	Ritchie	F	RE	2826.06786511086	75.998428474904
lmer	pop	WA_L	Ritchie	F	UM	2897.88266105122	70.7331646860629
lmer	pop	WA_L	Ritchie	F	VA	2821.93272450447	93.3603125039226
lmer	pop	WA_L	Ritchie	F	YE	2788.36788969013	70.6406763463857
lmer	pop	WA_L	StamenkovicRadak	F	AK	2770.96756742676	15.0298200783848
lmer	pop	WA_L	StamenkovicRadak	F	GI	2845.54503024792	16.5927131149605
lmer	pop	WA_L	StamenkovicRadak	F	KA	2807.75201365563	14.2487212979268
lmer	pop	WA_L	StamenkovicRadak	F	MA	2861.82795439363	15.6663586384053
lmer	pop	WA_L	StamenkovicRadak	F	MU	2841.33626402991	15.4714100897503
lmer	pop	WA_L	StamenkovicRadak	F	RE	2932.84973203325	15.0113490205749
lmer	pop	WA_L	StamenkovicRadak	F	UM	2894.37130327967	14.4347703815874
lmer	pop	WA_L	StamenkovicRadak	F	VA	2850.02866905668	17.2496811504553
lmer	pop	WA_L	StamenkovicRadak	F	YE	2821.0658277335	14.601023790251
lmer	pop	WA_L	Onder	M	AK	2454.29568556008	13.0593940810428
lmer	pop	WA_L	Onder	M	GI	2488.33290356052	13.8561162813848
lmer	pop	WA_L	Onder	M	KA	2478.27994254412	13.3075460766344
lmer	pop	WA_L	Onder	M	MA	2518.07875804742	12.3311109134238
lmer	pop	WA_L	Onder	M	MU	2479.66483072076	13.5646732164259
lmer	pop	WA_L	Onder	M	RE	2547.25082477528	13.7775448382179
lmer	pop	WA_L	Onder	M	UM	2518.83230969491	12.9635008074742
lmer	pop	WA_L	Onder	M	VA	2506.29268721976	15.5396227177585
lmer	pop	WA_L	Onder	M	YE	2447.56858577825	12.7706743904856
lmer	pop	WA_L	Posnien	M	AK	2244.30935248318	63.3150699111422
lmer	pop	WA_L	Posnien	M	GI	2356.07268991658	63.3150699111441
lmer	pop	WA_L	Posnien	M	KA	2285.84526039993	72.7434771149007
lmer	pop	WA_L	Posnien	M	MA	2399.90143215004	52.2109441874031
