"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Tauber","1","M","AK","AK1",22.56,9.38871663221337,17.8,13.6,33.4,4.1987617222224,0.416166517385345,32
"2","Tauber","1","M","AK","AK2",43.5333333333333,1.30128141972954,43.6,42.2,44.8,0.751295177972308,0.0298916099478455,44.8
"3","Tauber","1","M","AK","AK3",26.15,7.10187768598324,26.1,17.6,34.8,3.55093884299162,0.271582320687696,27.4
"4","Tauber","1","M","AK","AK4",34.75,7.81856764375675,35.9,24.4,42.8,3.90928382187838,0.224994752338324,38
"5","Tauber","1","M","AK","AK5",22.2,6.28267458969506,22.8,14,29.6,2.56489116078376,0.283003359896174,14
"6","Tauber","1","M","GI","GI2",24.7,1.5556349186104,24.7,23.6,25.8,1.1,0.0629811707939435,25.8
"7","Tauber","1","M","GI","GI3",32.32,10.4169093305068,33.4,20.4,48.2,4.65858347569301,0.32230536294885,33.4
"8","Tauber","1","M","GI","GI4",40.5333333333333,4.04639757479827,38.4,38,45.2,2.33618872905803,0.0998288875361416,45.2
"9","Tauber","1","M","GI","GI5",39.7333333333333,6.32560932506374,37.8,34.6,46.8,3.65209224661396,0.159201576973081,37.8
"10","Tauber","1","M","GI","GI6",34.1333333333333,10.9227591141921,39.2,19.6,44.6,4.45919773551751,0.320002708423597,44.6
"11","Tauber","1","M","GI","GI7",40.3333333333333,7.25074708794434,43.8,32,45.2,4.18622078305056,0.179770588957298,45.2
"12","Tauber","1","M","GI","GI8",39.675,5.9463674385532,41.3,29,45.4,2.10235836961392,0.149876936069394,45.4
"13","Tauber","1","M","KA","KA1",45.6,NA,45.6,45.6,45.6,NA,NA,45.6
"14","Tauber","1","M","KA","KA10",41.8666666666667,5.50030302195555,41.8,36.4,47.4,3.17560143035055,0.131376664537155,47.4
"15","Tauber","1","M","KA","KA11",40.2,11.9515689346629,47,26.4,47.2,6.90024154166601,0.297302709817486,47.2
"16","Tauber","1","M","KA","KA2",29.575,4.86437486807327,29.2,22.8,37.6,1.71981622772401,0.164475904245926,30
"17","Tauber","1","M","KA","KA3",39.85,7.39977477134721,42.3,29.2,45.6,3.69988738567361,0.185690709444096,44
"18","Tauber","1","M","KA","KA5",32.4,6.58415606673407,32,23.6,41.2,2.08209296408953,0.203214693417718,32.8
"19","Tauber","1","M","KA","KA6",38.5142857142857,7.17761069145543,41,24.6,45.8,2.71288184246135,0.186362295401291,42
"20","Tauber","1","M","KA","KA7",33.9,8.39115180243026,35.3,22.4,44.2,2.96672017073208,0.247526601841601,44.2
"21","Tauber","1","M","KA","KA9",19.0666666666667,14.1539158303748,11.4,10.4,35.4,8.17176711475418,0.742338242851823,10.4
"22","Tauber","1","M","MA","MA12",43.5333333333333,5.26675105417625,45.4,34.8,48.2,2.1501421141662,0.120982030340955,45.4
"23","Tauber","1","M","MA","MA13",37.3333333333333,8.10102874125667,38.6,24.2,46.6,3.30723113461666,0.216991841283661,33
"24","Tauber","1","M","MA","MA16",39.4,6.8692551755388,42.2,29.8,46.4,2.59633441238843,0.174346578059361,29.8
"25","Tauber","1","M","MA","MA18",36.925,9.72474751783892,37.4,23.2,48,3.43821745759547,0.263364861688258,23.2
