"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Tauber","1","M","AK","AK1",8.764,1.38465880273806,9.18,6.74,10.14,0.619238241713155,0.157993930024881,9.74
"2","Tauber","1","M","AK","AK2",8.55666666666667,5.79964079347448,11.34,1.89,12.44,3.34842417331563,0.677792067799901,11.34
"3","Tauber","1","M","AK","AK3",12.5,6.07455348153261,10.815,7.15,21.22,3.03727674076631,0.485964278522609,10.39
"4","Tauber","1","M","AK","AK4",10.67,6.8233178635226,8.81,4.6,20.46,3.4116589317613,0.639486210264536,20.46
"5","Tauber","1","M","AK","AK5",8.83666666666667,3.01310249853314,8.67,5.06,13.5,1.23009394401855,0.340977272561276,13.5
"6","Tauber","1","M","GI","GI2",14.425,6.30032142037214,14.425,9.97,18.88,4.455,0.436764049939143,18.88
"7","Tauber","1","M","GI","GI3",15.122,6.56251628569408,13.69,7.12,23.92,2.93484650365228,0.43397145124283,13.69
"8","Tauber","1","M","GI","GI4",14.7033333333333,5.30908968970513,12.98,10.47,20.66,3.06520436150312,0.361080686218894,20.66
"9","Tauber","1","M","GI","GI5",19.9566666666667,5.85578631213036,22.94,13.21,23.72,3.38083980362539,0.293425069924688,13.21
"10","Tauber","1","M","GI","GI6",9.86,2.04941942998499,10.565,6.33,12.22,0.836671978734797,0.207851869166835,12.22
"11","Tauber","1","M","GI","GI7",7.85333333333333,2.83988262668254,9.32,4.58,9.66,1.63960699898211,0.361614935485892,9.32
"12","Tauber","1","M","GI","GI8",15.9325,6.76021290873509,16.475,5.25,23.5,2.39009619501571,0.424303336496789,23.5
"13","Tauber","1","M","KA","KA1",11.84,NA,11.84,11.84,11.84,NA,NA,11.84
"14","Tauber","1","M","KA","KA10",12.15,4.82328726077973,10.95,8.04,17.46,2.78472619839007,0.396978375372817,8.04
"15","Tauber","1","M","KA","KA11",15.7466666666667,10.9701838331604,20.38,3.22,23.64,6.33363858913483,0.69666705121679,23.64
"16","Tauber","1","M","KA","KA2",11.73625,7.11091904347512,12.75,1.12,20.61,2.51408953805491,0.605893623898189,16.77
"17","Tauber","1","M","KA","KA3",10.9325,9.69636830639871,9.815,0.3,23.8,4.84818415319935,0.88693055626789,23.8
"18","Tauber","1","M","KA","KA5",13.249,7.82282195459754,14.805,0.54,21.71,2.47379351064985,0.590446218929545,0.54
