"","Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Tauber","1","M","AK",9.78136363636364,4.46393195827832,9.295,1.89,21.22,0.951713491267641,0.456371128222144,9.74
"2","Tauber","1","M","GI",13.954,6.03017732912471,12.505,4.58,23.92,1.10095471630595,0.432146863202287,18.88
"3","Tauber","1","M","KA",12.2995744680851,6.99337666698216,11.85,0.3,23.8,1.02008882807093,0.56858687958096,8.04
"4","Tauber","1","M","MA",13.6098039215686,7.16034984904958,12.36,0,23.98,1.00264952882971,0.526117046969498,17.85
"5","Tauber","1","M","MU",12.5605263157895,6.39920869559859,12.22,1.05,22.75,1.46807915909163,0.509469789299699,21.6
"6","Tauber","1","M","RE",12.9089583333333,6.38578049331992,11.23,0,23.96,0.92170802170103,0.494678217128539,6.72
"7","Tauber","1","M","UM",10.2235897435897,6.33370951720341,9.67,0.97,22.75,1.01420521172749,0.619519139172685,2.46
"8","Tauber","1","M","VA",11.7524489795918,6.01206201821674,11.7,0,23.5,0.858866002602392,0.51155823170615,8.91
"9","Tauber","1","M","YE",11.6718965517241,5.49138989752636,11.705,0.31,23.49,0.721054818886104,0.470479657970854,10.37
"10","Tauber","2","M","AK",8.95714285714286,5.12878071930032,10.09,0.08,18.34,0.732682959900045,0.572591148885203,12.56
"11","Tauber","2","M","GI",12.4983870967742,5.87251342940096,12.42,2.18,23.55,1.05473454814385,0.469861701668421,22.76
"12","Tauber","2","M","KA",15.959,7.91252975852143,20.18,0.04,23.8,1.25108080453949,0.495803606649629,21.34
"13","Tauber","2","M","MA",11.695625,9.70427073841801,14.195,0,23.52,1.71548891140139,0.829735113635912,22.99
"14","Tauber","2","M","MU",12.0636666666667,7.02954969045491,11.41,0.18,23.81,1.28341431152187,0.582704237831636,7.63
"15","Tauber","2","M","UM",11.854375,6.63322863901278,11.55,0.99,23.79,1.17260023795169,0.559559541436202,23.79
"16","Tauber","2","M","VA",14.8292857142857,8.06014517311197,17.165,0,23.59,1.52322426136657,0.543528887932024,23.08
"17","Tauber","2","M","YE",14.7788235294118,8.74405140296027,18.38,0.16,23.65,1.49959244402106,0.591660857547861,15.13
