"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Tauber","1","M","AK","AK1",0.7753554,0.135224250769971,0.7,0.666667,0.975309,0.0604741233856267,0.174402926412805,0.975309
"2","Tauber","1","M","AK","AK2",0.894493666666667,0.0674416315218822,0.931034,0.816667,0.93578,0.0389374441137462,0.0753964326804052,0.931034
"3","Tauber","1","M","AK","AK3",0.8287855,0.154984050449285,0.789029,0.692308,1.044776,0.0774920252246427,0.187001401990365,1.044776
"4","Tauber","1","M","AK","AK4",0.9610895,0.161412575399192,1.007089,0.742268,1.087912,0.0807062876995962,0.167947496460207,1.087912
"5","Tauber","1","M","AK","AK5",2.5631655,1.98335065897685,2.1180555,0.884058,6,0.809699515917675,0.773789542258137,1.058824
"6","Tauber","1","M","GI","GI2",1.0583335,0.129636007515273,1.0583335,0.966667,1.15,0.0916664999999999,0.122490696472589,1.15
"7","Tauber","1","M","GI","GI3",1.0006182,0.458033734367568,0.876404,0.672131,1.783333,0.204838913206793,0.457750752852155,1.783333
"8","Tauber","1","M","GI","GI4",0.842499666666667,0.239018489021944,0.939394,0.570248,1.017857,0.137997388978117,0.28370158289512,1.017857
"9","Tauber","1","M","GI","GI5",1.03564233333333,0.262308527839514,1.017241,0.783019,1.306667,0.151443899158878,0.253281001941321,0.783019
"10","Tauber","1","M","GI","GI6",0.839031666666667,0.109452172116713,0.845859,0.689076,0.96,0.0446836621542048,0.130450585436839,0.889831
"11","Tauber","1","M","GI","GI7",0.829291,0.16807655657765,0.855932,0.649485,0.982456,0.0970390451845716,0.202675003801621,0.982456
"12","Tauber","1","M","GI","GI8",0.928621625,0.147514612268884,0.977757,0.644231,1.082569,0.0521542913297162,0.158853302892752,0.853448
"13","Tauber","1","M","KA","KA1",0.884298,NA,0.884298,0.884298,0.884298,NA,NA,0.884298
"14","Tauber","1","M","KA","KA10",0.810304666666667,0.266649310511641,0.935185,0.504132,0.991597,0.153950051203124,0.329072904897056,0.991597
"15","Tauber","1","M","KA","KA11",1.28399633333333,0.454762917114328,1.043478,1,1.808511,0.262557492613417,0.354177738135541,1
"16","Tauber","1","M","KA","KA2",0.8119585,0.204211317968842,0.8824475,0.410526,1.035714,0.0721996038654052,0.251504624890117,0.666667
"17","Tauber","1","M","KA","KA3",0.82841625,0.141080732054086,0.816691,0.697674,0.982609,0.0705403660270428,0.170301743904813,0.913043
"18","Tauber","1","M","KA","KA5",0.7849152,0.401408874733537,0.7106805,0.356522,1.779661,0.126936631716319,0.511404129686286,1.779661
"19","Tauber","1","M","KA","KA6",0.949980857142857,0.210142370152895,0.974138,0.662162,1.221053,0.0794263501917488,0.221206952301033,1.1875
"20","Tauber","1","M","KA","KA7",1.703108375,0.93580092395276,1.434847,0.872881,3.666667,0.330855589583817,0.549466456562261,0.872881
"21","Tauber","1","M","KA","KA9",1.738031,0.520720775798316,1.888889,1.158537,2.166667,0.300638280079788,0.299603848146734,1.888889
"22","Tauber","1","M","MA","MA12",0.917913833333333,0.143445703767546,0.974282,0.636364,1.023256,0.0585614633374865,0.15627360494899,0.636364
"23","Tauber","1","M","MA","MA13",0.910989666666667,0.134809865427819,0.9057155,0.710744,1.086207,0.0550358970985705,0.147981772308232,1.012195
"24","Tauber","1","M","MA","MA16",0.805989428571429,0.298679577579864,0.917355,0.354545,1.111111,0.112890269138592,0.370575055939948,0.354545
"25","Tauber","1","M","MA","MA18",0.95250075,0.28714851018133,0.979339,0.547619,1.367347,0.101522329378416,0.301468014782487,1.367347
"26","Tauber","1","M","MA","MA19",0.9534368,0.130617259706705,0.925344,0.75,1.24,0.0413048042402925,0.136996243177005,0.971429
"27","Tauber","1","M","MA","MA3",0.8163876,0.115977559334985,0.826531,0.653846,0.947368,0.0518667413075084,0.142061882535924,0.756757
"28","Tauber","1","M","MA","MA5",1.268687,0.375443682513103,1.090909,1.015152,1.7,0.216762511164485,0.295930897465729,1.015152
"29","Tauber","1","M","MA","MA6",0.962567666666667,0.201073303862878,0.92437,0.783333,1.18,0.11608972611208,0.2088926429029,1.18
"30","Tauber","1","M","MA","MA7",1.008475,NA,1.008475,1.008475,1.008475,NA,NA,1.008475
"31","Tauber","1","M","MA","MA9",0.8047655,0.034030928058165,0.8047655,0.780702,0.828829,0.0240635,0.0422867631107012,0.780702
"32","Tauber","1","M","MU","MU1",0,0,0,0,0,0,NA,0
"33","Tauber","1","M","MU","MU2",0.9291422,0.33579281606029,0.8,0.683333,1.518519,0.150171112613378,0.361400887894544,0.8
"34","Tauber","1","M","MU","MU3",0.7139865,0.314214919035523,0.7139865,0.491803,0.93617,0.2221835,0.440085238356079,0.93617
"35","Tauber","1","M","MU","MU4",0.616279,NA,0.616279,0.616279,0.616279,NA,NA,0.616279
"36","Tauber","1","M","MU","MU5",0.521869,0.190681434876777,0.555807,0.275862,0.7,0.0953407174383887,0.365381800560634,0.275862
"37","Tauber","1","M","MU","MU6",0.5087075,0.190877111620278,0.5087075,0.373737,0.643678,0.1349705,0.375219770929813,0.643678
"38","Tauber","1","M","MU","MU9",0.885344666666667,0.146109922542356,0.80198,0.8,1.054054,0.0843566031111047,0.165031685447953,1.054054
"39","Tauber","1","M","RE","RE10",0.96487625,0.0483666821298505,0.9876035,0.892562,0.991736,0.0241833410649252,0.0501273423714704,0.991736
"40","Tauber","1","M","RE","RE11",0.826671571428571,0.202714756973814,0.905983,0.432432,1.008403,0.0766189762908011,0.245218009158707,0.905983
"41","Tauber","1","M","RE","RE2",1.020201125,0.286468470376478,0.970059,0.716814,1.564516,0.101281898999673,0.280796073790331,0.843137
"42","Tauber","1","M","RE","RE3",0.598056714285714,0.183763193428131,0.6,0.352941,0.833333,0.0694559585625563,0.307267168879807,0.8125
"43","Tauber","1","M","RE","RE4",0.8620466,0.0783411457396431,0.85124,0.785124,0.958333,0.035035225461812,0.0908780867990699,0.785124
"44","Tauber","1","M","RE","RE6",0.955166846153846,0.0471316436074642,0.974359,0.859504,1,0.013071965978739,0.0493438856229657,1
