"","Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Tauber","1","M","AK",1.3226705,1.2474785190315,0.933407,0.666667,6,0.265963313895752,0.943151388823974,0.975309
"2","Tauber","1","M","GI",0.923507333333333,0.232655652665914,0.941395,0.570248,1.783333,0.0424769163654026,0.251926156153151,1.15
"3","Tauber","1","M","KA",1.07052153191489,0.587815048567551,0.935185,0.356522,3.666667,0.0857416370616402,0.549092223783764,0.913043
"4","Tauber","1","M","MA",0.924773117647059,0.221164768259201,0.933333,0.354545,1.7,0.0309692620282029,0.23915570645254,0.917355
"5","Tauber","1","M","MU",0.655309894736842,0.353798221754355,0.683333,0,1.518519,0.0811668786858751,0.539894521044021,0.8
"6","Tauber","1","M","RE",0.884323083333333,0.20471938590789,0.936494,0.352941,1.564516,0.0295486981405638,0.231498407953153,1
"7","Tauber","1","M","UM",0.842880897435897,0.310070974568115,0.780488,0.347222,2.057692,0.0496510927061364,0.367870449444723,0.671233
"8","Tauber","1","M","VA",0.742152265306122,0.273803325753692,0.743119,0.252632,1.772727,0.039114760821956,0.368931469394294,0.508929
"9","Tauber","1","M","YE",1.03921787931034,0.454312619089005,0.979339,0.394958,3.75,0.0596541694157352,0.437167824124139,1
"10","Tauber","2","M","AK",0.675501142857143,0.273542495560486,0.666667,0.25,1.830189,0.0390774993657837,0.404947494838414,0.31
"11","Tauber","2","M","GI",0.731127774193548,0.284628963238542,0.80198,0.2,1.32,0.0511208709080262,0.389301259348948,1
"12","Tauber","2","M","KA",0.989811775,0.102364597318501,0.970759,0.83871,1.365385,0.0161852639646214,0.103418245674538,1
"13","Tauber","2","M","MA",1.0064396875,0.165269612319256,1.0127485,0.613636,1.372093,0.0292158158987545,0.164212137470241,1
"14","Tauber","2","M","MU",0.997117033333333,0.564708405353288,0.8391025,0.4375,2.69697,0.103101177341589,0.566341148004949,0.764706
"15","Tauber","2","M","UM",0.750530375,0.386136713981506,0.74489,0.230769,1.789474,0.0682599722303533,0.514485125244273,0.313953
"16","Tauber","2","M","VA",1.16971557142857,0.315195560027883,1.102082,0.857143,2.454545,0.0595663618703936,0.269463421473423,1
"17","Tauber","2","M","YE",1.17850382352941,0.329922228001147,1.078144,0.704545,2.5,0.0565811953092609,0.279950070092338,1.142857
