"Supervisor.PI","Diet","Batch","Population","Line","Sex","ReplicateVialOld","ReplicateVial","Individual","TimeDeath_min","Censor","Country","Latitude","Longitude","Altitude"
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",1,240,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",2,240,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",3,300,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",4,300,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",5,300,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",6,330,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",7,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",8,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",9,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",10,390,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",11,390,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",12,390,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",13,390,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",14,390,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",15,420,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",16,420,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",17,420,1,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",18,420,1,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",19,420,1,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",1,"Vieira_5_AK1_F_1",20,420,1,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",1,210,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",2,210,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",3,240,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",4,240,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",5,300,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",6,300,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",7,300,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",8,300,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",9,300,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",10,330,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",11,330,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",12,330,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",13,330,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",14,330,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",15,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",16,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",17,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",18,390,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",19,390,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",2,"Vieira_5_AK1_F_2",20,390,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",1,150,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",2,210,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",3,210,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",4,300,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",5,330,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",6,330,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",7,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",8,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",9,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",10,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",11,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",12,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",13,360,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",14,390,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",15,420,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",16,420,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",17,420,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",18,420,0,"Finland",61.1,23.52,88
"Vieira","S",5,"AK","AK1","F",3,"Vieira_5_AK1_F_3",19,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",1,210,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",2,240,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",3,270,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",4,300,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",5,300,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",6,330,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",7,330,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",8,330,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",9,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",10,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",11,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",12,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",13,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",14,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",15,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",1,"Vieira_6_AK10_F_1",16,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",1,210,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",2,270,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",3,270,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",4,300,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",5,300,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",6,300,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",7,330,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",8,330,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",9,330,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",10,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",11,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",12,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",13,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",14,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",15,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",16,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",17,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",18,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",19,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",2,"Vieira_6_AK10_F_2",20,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",1,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",2,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",3,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",4,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",5,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",6,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",7,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",8,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",9,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",10,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",11,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",12,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",13,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",14,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",15,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",16,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",17,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",18,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK10","F",3,"Vieira_6_AK10_F_3",19,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",1,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",2,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",3,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",4,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",5,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",6,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",7,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",8,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",9,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",10,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",11,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",12,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",13,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",14,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",15,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",16,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",17,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",18,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",19,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",1,"Vieira_6_AK11_F_1",20,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",1,330,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",2,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",3,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",4,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",5,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",6,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",7,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",8,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",9,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",10,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",11,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",12,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",13,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",14,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",15,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",16,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",17,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",18,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",19,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",2,"Vieira_6_AK11_F_2",20,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",1,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",2,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",3,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",4,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",5,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",6,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",7,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",8,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",9,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",10,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",11,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",12,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",13,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",14,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",15,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",16,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",17,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",18,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",19,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK11","F",3,"Vieira_6_AK11_F_3",20,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",1,330,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",2,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",3,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",4,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",5,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",6,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",7,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",8,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",9,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",10,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",11,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",12,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",13,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",14,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",15,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",16,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",17,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",18,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",19,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",1,"Vieira_6_AK12_F_1",20,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",1,300,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",2,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",3,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",4,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",5,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",6,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",7,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",8,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",9,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",10,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",11,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",12,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",13,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",14,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",15,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",2,"Vieira_6_AK12_F_2",16,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",1,300,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",2,360,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",3,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",4,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",5,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",6,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",7,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",8,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",9,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",10,420,1,"Finland",61.1,23.52,88
