Supervisor.PI,Diet,Batch,Population,Line,Individual,MostAdvancedStage,NumberOfEggs,Country,Latitude,Longitude,Altitude
Bergland,S,3,AK,AK1,1,9,1,Finland,61.1,23.52,88
Bergland,S,3,AK,AK1,2,7,0,Finland,61.1,23.52,88
Bergland,S,3,AK,AK1,3,10,3,Finland,61.1,23.52,88
Bergland,S,3,AK,AK1,4,8,0,Finland,61.1,23.52,88
Bergland,S,3,AK,AK1,5,8,1,Finland,61.1,23.52,88
Bergland,S,3,AK,AK1,6,8,3,Finland,61.1,23.52,88
Bergland,S,3,AK,AK1,7,8,0,Finland,61.1,23.52,88
Bergland,S,3,AK,AK1,8,9,4,Finland,61.1,23.52,88
Bergland,S,3,AK,AK1,9,9,3,Finland,61.1,23.52,88
Bergland,S,3,AK,AK1,10,8,1,Finland,61.1,23.52,88
Bergland,S,3,AK,AK1,11,10,1,Finland,61.1,23.52,88
Bergland,S,3,AK,AK1,12,8,2,Finland,61.1,23.52,88
Bergland,S,1,AK,AK10,1,8,0,Finland,61.1,23.52,88
Bergland,S,1,AK,AK10,2,9,0,Finland,61.1,23.52,88
Bergland,S,1,AK,AK10,3,8,1,Finland,61.1,23.52,88
Bergland,S,1,AK,AK10,4,9,0,Finland,61.1,23.52,88
Bergland,S,1,AK,AK10,5,8,0,Finland,61.1,23.52,88
Bergland,S,1,AK,AK10,6,0,0,Finland,61.1,23.52,88
Bergland,S,1,AK,AK10,7,8,0,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,1,9,2,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,2,9,4,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,3,9,4,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,4,9,1,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,5,7,0,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,6,10,0,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,7,8,2,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,8,0,0,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,9,8,0,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,10,10,0,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,11,8,4,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,12,8,1,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,13,8,0,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,14,9,3,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,15,8,0,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,16,8,2,Finland,61.1,23.52,88
Bergland,S,3,AK,AK11,17,8,1,Finland,61.1,23.52,88
Bergland,S,2,AK,AK12,1,8,1,Finland,61.1,23.52,88
Bergland,S,2,AK,AK12,2,8,1,Finland,61.1,23.52,88
Bergland,S,2,AK,AK12,3,8,0,Finland,61.1,23.52,88
Bergland,S,2,AK,AK12,4,8,0,Finland,61.1,23.52,88
Bergland,S,2,AK,AK12,5,7,0,Finland,61.1,23.52,88
Bergland,S,2,AK,AK12,6,8,0,Finland,61.1,23.52,88
