Supervisor.PI,Diet,Batch,Population,Line,ReplicateVialOld,ReplicateVial,Individual,DT_EggPupa,Country,Latitude,Longitude,Altitude
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,1,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,2,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,3,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,4,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,5,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,6,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,7,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,8,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,9,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,10,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,11,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,12,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,13,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,14,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,15,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,16,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,17,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,18,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,19,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,20,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA35,1,Schmidt_1_VA35_1,21,164,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA44,1,Schmidt_1_VA44_1,1,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA44,1,Schmidt_1_VA44_1,2,164,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA44,1,Schmidt_1_VA44_1,3,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA44,1,Schmidt_1_VA44_1,4,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA44,1,Schmidt_1_VA44_1,5,184,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA44,1,Schmidt_1_VA44_1,6,184,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA44,1,Schmidt_1_VA44_1,7,192,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,1,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,2,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,3,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,4,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,5,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,6,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,7,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,8,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,9,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,10,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,11,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,12,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,13,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,14,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,15,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,16,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,17,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,18,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,19,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,20,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,21,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,22,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,23,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,24,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,25,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,26,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,27,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,28,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,29,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,30,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,31,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA46,1,Schmidt_1_VA46_1,32,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,1,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,2,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,3,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,4,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,5,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,6,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,7,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,8,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,9,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,10,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,11,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,12,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,13,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,14,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,15,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,16,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,17,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,18,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,19,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,20,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,21,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,22,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,23,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,24,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,25,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,26,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,27,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,28,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,29,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,30,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,31,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,32,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA47,1,Schmidt_1_VA47_1,33,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA48,1,Schmidt_1_VA48_1,1,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA48,1,Schmidt_1_VA48_1,2,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA48,1,Schmidt_1_VA48_1,3,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA48,1,Schmidt_1_VA48_1,4,160,Russia,57.979,33.244,217
