Supervisor.PI,Diet,Batch,Population,Line,Sex,Individual,DW_micrograms,Country,Latitude,Longitude,Altitude
Colinet,NS,1,AK,AK1,F,1,0.394,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,2,0.473,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,3,0.581,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,4,0.594,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,5,0.454,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,6,0.486,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,7,0.581,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,8,0.584,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,9,0.596,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,10,0.573,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,11,0.421,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,12,0.461,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,13,0.495,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,14,0.502,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,15,0.541,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,16,0.538,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,17,0.497,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,18,0.535,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,19,0.568,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,20,0.566,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,21,0.552,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,22,0.51,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,23,0.584,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK1,F,24,0.502,Finland,61.1,23.52,88
Colinet,NS,3,MU,MU18,M,2,0.481,Germany,48.18,11.61,520
Colinet,NS,1,MA,MA3,M,1,0.465,Austria,48.375,15.56,572
Colinet,NS,2,RE,RE10,M,2,0.464,Portugal,41.15,-8.41,175
Colinet,NS,2,KA,KA28,M,21,0.447,Denmark,55.945,10.213,15
Colinet,NS,1,KA,KA3,M,22,0.438,Denmark,55.945,10.213,15
Colinet,NS,2,MU,MU7,M,23,0.417,Germany,48.18,11.61,520
Colinet,NS,1,KA,KA3,M,1,0.409,Denmark,55.945,10.213,15
Colinet,NS,1,KA,KA3,M,2,0.405,Denmark,55.945,10.213,15
Colinet,NS,2,VA,VA46,M,15,0.4,Russia,57.979,33.244,217
Colinet,NS,1,KA,KA3,M,16,0.399,Denmark,55.945,10.213,15
Colinet,NS,2,KA,KA28,M,8,0.39,Denmark,55.945,10.213,15
Colinet,NS,2,KA,KA10,M,22,0.389,Denmark,55.945,10.213,15
Colinet,NS,2,UM,UM26,M,9,0.386,Ukraine,48.753,30.206,214
Colinet,NS,1,RE,RE2,M,23,0.385,Portugal,41.15,-8.41,175
Colinet,NS,2,AK,AK10,F,1,0.477,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,2,0.407,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,3,0.487,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,4,0.567,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,5,0.322,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,6,0.465,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,7,0.42,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,8,0.355,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,9,0.468,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,10,0.48,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,11,0.56,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,12,0.47,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,13,0.512,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,14,0.479,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,15,0.445,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,16,0.486,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,17,0.491,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,18,0.464,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,19,0.5,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,20,0.458,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,21,0.498,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,22,0.445,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,23,0.486,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK10,F,24,0.493,Finland,61.1,23.52,88
Colinet,NS,1,AK,AK2,M,25,0.384,Finland,61.1,23.52,88
Colinet,NS,1,KA,KA3,M,26,0.383,Denmark,55.945,10.213,15
Colinet,NS,1,RE,RE2,M,4,0.383,Portugal,41.15,-8.41,175
Colinet,NS,2,KA,KA17,M,3,0.381,Denmark,55.945,10.213,15
Colinet,NS,1,AK,AK5,M,19,0.379,Finland,61.1,23.52,88
Colinet,NS,2,KA,KA15,M,13,0.378,Denmark,55.945,10.213,15
Colinet,NS,1,KA,KA3,M,14,0.376,Denmark,55.945,10.213,15
Colinet,NS,2,KA,KA17,M,13,0.37,Denmark,55.945,10.213,15
Colinet,NS,2,RE,RE13,M,14,0.37,Portugal,41.15,-8.41,175
Colinet,NS,1,RE,RE2,M,24,0.37,Portugal,41.15,-8.41,175
Colinet,NS,1,KA,KA3,M,25,0.369,Denmark,55.945,10.213,15
Colinet,NS,2,VA,VA47,M,2,0.369,Russia,57.979,33.244,217
Colinet,NS,1,RE,RE7,M,9,0.368,Portugal,41.15,-8.41,175
Colinet,NS,1,KA,KA3,M,10,0.367,Denmark,55.945,10.213,15
Colinet,NS,1,RE,RE2,M,16,0.367,Portugal,41.15,-8.41,175
Colinet,NS,2,VA,VA47,M,4,0.367,Russia,57.979,33.244,217
Colinet,NS,2,GI,GI9,M,12,0.366,Spain,41.618,0.62,173
Colinet,NS,3,MU,MU14,M,16,0.366,Germany,48.18,11.61,520
Colinet,NS,1,GI,GI5,M,18,0.365,Spain,41.618,0.62,173
Colinet,NS,2,RE,RE13,M,19,0.365,Portugal,41.15,-8.41,175
Colinet,NS,2,KA,KA17,M,23,0.364,Denmark,55.945,10.213,15
Colinet,NS,2,VA,VA30,M,5,0.363,Russia,57.979,33.244,217
Colinet,NS,3,YE,YE80,M,20,0.363,Turkey,40.231,32.26,680
Colinet,NS,2,RE,RE11,M,8,0.361,Portugal,41.15,-8.41,175
Colinet,NS,2,AK,AK11,F,1,0.385,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,2,0.443,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,3,0.429,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,4,0.431,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,5,0.505,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,6,0.378,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,7,0.46,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,8,0.509,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,9,0.508,Finland,61.1,23.52,88
