Supervisor.PI,Diet,Batch,Population,Line,Sex,Individual,AreaT4,AreaT5,AreaT6,PercT4,PercT5,PercT6,TotalArea,TotalBlack,TotalPerc,Orientation
Gibert,NS,1,AK,AK1,F,1,12439,10410,8667,13.643,27.839,53.94,31516,9270.07247,29.41386112,OK
Gibert,NS,1,AK,AK1,F,2,10230,8105,6063,28.143,45.824,71.037,24398,10900.03741,44.67594643,OK
Gibert,NS,1,AK,AK1,F,3,7525,7358,6732,41.449,62.721,78.015,21615,12986.01823,60.07873343,OK
Gibert,NS,1,AK,AK1,F,4,14898,7682,5718,25.42,37.36,44.823,28298,9220.04594,32.58197025,OK
Gibert,NS,1,AK,AK1,F,5,9160,8931,8630,17.325,32.773,40,26721,7965.92663,29.81148396,OK
Gibert,NS,1,AK,AK1,F,6,8279,8518,10349,12.212,71.977,57.87,27146,13130.99864,48.37176247,OK
Gibert,NS,1,AK,AK1,F,7,13100,16468,11798,3.588,17.185,39.795,41366,7995.0679,19.32763115,OK
Gibert,NS,1,AK,AK1,F,8,9016,10331,7986,1.386,17.907,47.571,27333,5773.95399,21.12447953,OK
Gibert,NS,1,AK,AK1,F,9,7776,7527,5248,6.623,24.153,59.013,20551,5430.00303,26.42208666,OK
Gibert,NS,1,AK,AK2,F,1,9595,8454,8749,31.714,27.49,57.892,26798,10431.93398,38.92803187,OK
Gibert,NS,1,AK,AK2,F,2,10681,10664,9931,30.044,18.811,11.811,31276,6387.95509,20.42446313,OK
Gibert,NS,1,AK,AK2,F,3,9035,7633,7177,38.738,38.753,57.043,23845,10551.9709,44.25234179,OK
Gibert,NS,1,AK,AK2,F,4,8071,8832,7935,36.613,21.433,32.854,24838,7454.96269,30.01434371,OK
Gibert,NS,1,AK,AK2,F,5,12012,8180,6150,19.697,23.998,45.415,26342,7122.06254,27.03690889,OK
Gibert,NS,1,AK,AK2,F,6,15653,1381,11959,22.82,23.283,29.2,28993,7385.58083,25.47366892,OK
Gibert,NS,1,AK,AK2,F,7,8581,5911,6915,15.942,19.489,43.08,21407,5498.95981,25.68767137,OK
Gibert,NS,1,AK,AK2,F,8,11858,7611,7715,13.771,19.432,49.708,27184,6946.9069,25.55513133,OK
Gibert,NS,1,AK,AK2,F,9,9766,9507,8692,25.312,23.383,54.775,27965,9456.03473,33.81381988,OK
Gibert,NS,1,AK,AK2,F,10,9144,7867,7153,30.052,25.372,47.714,24164,8156.95254,33.75663193,OK
Gibert,NS,1,AK,AK3,F,1,10903,8268,8558,24.158,38.147,46.95,27729,9805.9217,35.36341628,OK
Gibert,NS,1,AK,AK3,F,2,10941,9946,6591,27.219,42.52,85.981,27478,12874.0777,46.85230985,OK
Gibert,NS,1,AK,AK3,F,3,7385,9865,7316,42.343,28.961,51.586,24566,9758.06496,39.72183082,OK
Gibert,NS,1,AK,AK3,F,4,8070,5127,4903,11.227,33.782,56.537,18100,5410.03115,29.88967486,OK
Gibert,NS,1,AK,AK3,F,5,9932,10190,7279,5.789,20.824,65.71,27401,7479.95998,27.29812773,OK
Gibert,NS,1,AK,AK3,F,6,7061,7272,7422,18.014,30.528,58.205,21755,7811.9398,35.90870972,OK
Gibert,NS,1,AK,AK3,F,7,6729,5965,8095,31.565,35.071,60.926,20789,9147.9537,44.00381788,OK
Gibert,NS,1,AK,AK3,F,8,8872,6055,3616,50.293,67.647,79.84,18543,11445.03521,61.72159419,OK
Gibert,NS,1,AK,AK3,F,9,11707,10377,8042,11.216,29.353,62.385,30126,9376.01963,31.1226835,OK
Gibert,NS,1,AK,AK3,F,10,9038,6847,6936,21.056,31.313,49.221,22821,7461.01095,32.69361969,OK
Gibert,NS,3,AK,AK4,F,1,10744,8713,5927,32.074,38.093,61.532,25384,10412.07529,41.01826068,OK
Gibert,NS,3,AK,AK4,F,2,15081,6858,5958,27.399,51.677,65.425,27897,11574.07335,41.48859501,OK
Gibert,NS,3,AK,AK4,F,3,10292,7888,7332,41.77,49.645,75.491,25512,13749.96612,53.89607291,OK
Gibert,NS,3,AK,AK4,F,4,9636,9118,8825,28.788,35.128,47.558,27579,10173.97622,36.89030139,OK
Gibert,NS,3,AK,AK4,F,5,9886,8774,9153,28.636,31.582,56.845,27813,10804.98249,38.84867684,OK
Gibert,NS,3,AK,AK4,F,6,11013,10183,9043,39.49,37.612,47.628,30239,12486.0637,41.29125864,OK
