Supervisor.PI,Diet,Batch,Population,Line,Sex,ReplicateVialOld,ReplicateVial,Individual,CentroidSizeLeft_micrometers,CentroidSizeRight_micrometers,Country,Latitude,Longitude,Altitude
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,1,2868.7345,2890.8694,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,2,2910.1709,2889.1982,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,3,2900.5469,2881.1691,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,4,3049.8702,3038.9017,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,5,2905.6278,2919.2355,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,6,2874.4784,2889.3114,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,7,2628.6091,2613.6978,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,8,2613.8748,2465.1916,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,9,2882.3427,2847.7385,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,10,2931.6345,2934.4807,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,11,2839.7014,2836.8835,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,12,2927.8522,2925.4225,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,13,2771.7055,2768.9942,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,14,2812.1449,2799.7703,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,15,2905.5978,2944.2037,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,16,2951.7252,2941.1858,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,17,2840.5601,2856.6869,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,18,2878.3961,2851.5253,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,19,2800.573,2766.5069,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,20,2768.4252,2763.4682,Turkey,40.231,32.26,680
StamenkovicRadak,NS,1,YE,YE13,F,1,StamenkovicRadak_1_YE13_1,21,2788.3677,2748.5868,Turkey,40.231,32.26,680
