Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	CCRT	M	YE	YE11	1830.57635484499	176.501361393084	1484.64004329226	2176.51266639772	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE13	1656.55066976293	92.9518950027423	1474.36830326281	1838.73303626305	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE14	1657.12116602473	92.4389272228822	1475.94419789836	1838.2981341511	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE15	1652.72850562755	92.3676546372694	1471.69122920207	1833.76578205303	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE19	1779.76227063632	167.507606019753	1451.45339570108	2108.07114557157	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE20	1699.02074637502	126.71059179954	1450.67254998817	1947.36894276188	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE21	1633.44091551374	92.4679516990723	1452.20706045937	1814.67477056811	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE22	1695.33740509599	93.5047560990744	1512.0714507586	1878.60335943338	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE23	2016.18632122385	342.124084909198	1345.63543655809	2686.7372058896	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE24	1623.84815411055	93.36410694791	1440.8578670439	1806.8384411772	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE26	1611.52940488762	92.5938969169783	1430.04870174213	1793.01010803311	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE27	1784.2418033229	179.969406364672	1431.50824852909	2136.97535811671	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE33	1694.21612142228	94.551863946804	1508.89787341541	1879.53436942915	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE40	1696.54210683341	92.3676546372694	1515.50483040792	1877.57938325889	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE41	1676.06351267445	107.981456693745	1464.42374655653	1887.70327879236	202.21822149105	0.0514852051515954	1	1.93604651162791
lmers	CCRT	M	YE	YE48	1720.08069009705	94.4387431445852	1534.98415478844	1905.17722540567	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE49	1752.56224110619	101.487983317319	1553.64944894064	1951.47503327174	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE51	1764.2306230983	106.145645384744	1556.18898102844	1972.27226516816	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	YE	YE69	1654.89751267445	108.343405847809	1442.54833925033	1867.24668609856	202.21822149105	0.0514852051515954	1	1.93604651162791
lmers	CCRT	M	YE	YE80	1596.56520062278	92.3676546372694	1415.52792419729	1777.60247704826	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE1	1383.1964399229	180.713086945619	1029.00529797444	1737.38758187137	202.21822149105	0.0514852051515954	1	1.93604651162791
lmers	CCRT	M	RE	RE10	1481.7231136425	95.0360905406977	1295.45579895125	1667.99042833376	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE11	1546.89299036521	94.9321584642796	1360.82937880057	1732.95660192985	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE12	1539.49580501103	95.0360905406977	1353.22849031977	1725.76311970229	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE13	1572.86742686497	94.7630506430124	1387.13526053952	1758.59959319041	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE15	1607.0903542133	95.0487576577103	1420.79821242892	1793.38249599769	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE16	1620.19524493269	94.8004383192748	1434.3898001083	1806.00068975708	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE17	1602.43698885377	94.9321584642796	1416.37337728913	1788.5006004184	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE18	1564.1373494874	94.8772580453741	1378.18134076655	1750.09335820824	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE2	1548.44401366952	94.6750041297342	1362.88441533906	1734.00361199998	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE3	1536.67336327359	95.132538288669	1350.21701446992	1723.12971207726	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE4	1591.55081689903	95.1346996124237	1405.09023197864	1778.01140181941	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE5	1541.78511062335	95.0755902943913	1355.44037783746	1728.12984340924	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE6	1455.61868639378	145.861248826202	1169.73589195439	1741.50148083317	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE7	1504.66970552889	95.0755902943913	1318.324972743	1691.01443831478	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE8	1500.4177920161	94.8004383192748	1314.61234719171	1686.22323684049	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	RE	RE9	1571.35416911579	111.891760127298	1352.05034909949	1790.65798913209	202.21822149105	0.0514852051515954	1	1.93604651162791
lmers	CCRT	M	GI	GI1	1721.77805433748	97.9524537570195	1529.7947727764	1913.76133589857	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	GI	GI10	1822.37142549354	98.0885524784504	1630.12139534011	2014.62145564697	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	GI	GI11	1612.62315657837	249.071305455512	1124.4523683032	2100.79394485355	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	GI	GI12	1656.08677836599	159.915201532226	1342.65874278236	1969.51481394962	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	GI	GI13	1760.54622562522	193.364000330983	1381.5597490699	2139.53270218054	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	GI	GI14	1700.0802254859	181.930439488187	1343.50311639751	2056.65733457429	202.21822149105	0.0514852051515954	1	1.93604651162791
lmers	CCRT	M	GI	GI15	1817.44989717657	99.2260279954277	1622.97045597657	2011.92933837657	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	GI	GI2	1837.52539611093	98.1960005014015	1645.0647717023	2029.98602051955	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	GI	GI3	1661.87551403758	242.816746559623	1185.96343593753	2137.78759213763	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	GI	GI4	1916.60397435897	116.371132406403	1688.52074600228	2144.68720271567	202.21822149105	0.0514852051515954	1	1.93604651162791
lmers	CCRT	M	GI	GI5	1732.52996616145	99.1589350400773	1538.18202473755	1926.87790758535	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	GI	GI6	1751.4462254859	183.071150183105	1392.63336451869	2110.25908645311	202.21822149105	0.0514852051515954	1	1.93604651162791
lmers	CCRT	M	GI	GI7	1837.94712178736	97.9524537570195	1645.96384022627	2029.93040334844	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	GI	GI8	1756.34828676047	98.2957592486793	1563.69213880003	1949.0044347209	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	GI	GI9	1871.23582192726	98.2368506433835	1678.69513271159	2063.77651114294	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU1	1564.61954203633	91.8996214050509	1384.49959388956	1744.73949018309	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU10	1678.67076207118	92.0129430605948	1498.32870756088	1859.01281658148	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU11	1707.58081691285	92.09642562225	1527.07513958837	1888.08649423733	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU12	1646.7689351741	92.0129430605948	1466.4268806638	1827.1109896844	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU13	1604.98338768961	91.8996214050509	1424.86343954285	1785.10333583638	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU14	1663.66165031178	91.7715218143196	1483.79277274928	1843.53052787428	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU15	1654.88092405641	92.0390118025449	1474.48777575077	1835.27407236206	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU16	1615.12599743499	153.310156638607	1314.64361195912	1915.60838291085	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU17	1751.09914073138	91.8462405995058	1571.08381704094	1931.11446442181	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU18	1669.49044585871	92.8143812599832	1487.57760134177	1851.40329037565	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU19	1709.62305737891	91.8996214050509	1529.50310923214	1889.74300552568	202.21822149105	0.0514852051515954	2	1.93604651162791
lmers	CCRT	M	MU	MU2	1750.73866959635	92.0943266023494	1570.23710627528	1931.24023291742	202.21822149105	0.0514852051515954	2	1.93604651162791
