Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	CSM	M	YE	YE11	1.19639851228955	0.141120547186741	0.919807322324954	1.47298970225415	248.542050164127	9.87275073901436e-05	2	2.66279069767442
lmers	CSM	M	YE	YE13	1.15842626732522	0.112577487004752	0.937778447325874	1.37907408732456	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE14	0.999653328178588	0.081471832971588	0.839971469799813	1.15933518655736	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE15	1.30562441633955	0.125240743199554	1.06015707027139	1.55109176240771	248.542050164127	9.87275073901436e-05	2	2.66279069767442
lmers	CSM	M	YE	YE19	1.30266876696592	0.107493861939204	1.09198466900596	1.51335286492588	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE20	1.07737383187546	0.0795955254693898	0.92136946862492	1.23337819512601	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE21	1.03464582309577	0.0999332674616713	0.838780218013489	1.23051142817806	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE22	1.28728385452508	0.147903319322931	0.99739867545821	1.57716903359196	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE23	1.30885988676692	0.111661603403015	1.09000716564101	1.52771260789282	248.542050164127	9.87275073901436e-05	2	2.66279069767442
lmers	CSM	M	YE	YE24	0.987120106336336	0.117615376562507	0.756598204245705	1.21764200842697	248.542050164127	9.87275073901436e-05	2	2.66279069767442
lmers	CSM	M	YE	YE26	1.18620676967029	0.089324571266277	1.01113382705391	1.36127971228667	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE27	1.15705834612401	0.137192713390246	0.888165568937798	1.42595112331021	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE33	1.22805824879018	0.139324191925566	0.954987850440924	1.50112864713944	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE40	1.32578928313351	0.116931672774617	1.09660741584324	1.55497115042379	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE41	1.22338443416264	0.0903493763728241	1.04630291044625	1.40046595787903	248.542050164127	9.87275073901436e-05	2	2.66279069767442
lmers	CSM	M	YE	YE48	1.13524512632668	0.0816504310961699	0.975213222056016	1.29527703059734	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE49	1.21242037848057	0.141291559214442	0.935494011100758	1.48934674586039	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE51	1.18953284675342	0.0893788710287993	1.01435347855812	1.36471221494872	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	YE	YE69	1.26574376498757	0.10902367538315	1.05206128777441	1.47942624220073	248.542050164127	9.87275073901436e-05	2	2.66279069767442
lmers	CSM	M	YE	YE80	1.05028045085855	0.189884707437854	0.678113263065427	1.42244763865167	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	RE	RE1	0.961952300457047	0.0997614139991166	0.766423521971989	1.15748107894211	248.542050164127	9.87275073901436e-05	2	2.66279069767442
lmers	CSM	M	RE	RE10	1.09578905642275	0.104285993395981	0.891392265274646	1.30018584757085	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	RE	RE11	1.0272604203422	0.0829270121804699	0.864726463122966	1.18979437756144	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	RE	RE12	1.05653218725313	0.0925695038229081	0.875099293693484	1.23796508081277	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	RE	RE13	1.0236076910615	0.10328624225391	0.821170376145358	1.22604500597764	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	RE	RE15	1.05006829794813	0.0829270121804699	0.887534340728895	1.21260225516737	248.542050164127	9.87275073901436e-05	3	2.66279069767442
lmers	CSM	M	RE	RE16	0.972235023511186	0.0880406073522235	0.799678603923795	1.14479144309858	248.542050164127	9.87275073901436e-05	3	2.66279069767442
