Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	DT_A	M	YE	YE11	239.14857755672	5.35428474788787	228.654372287887	249.642782825552	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE13	230.110117920962	4.49321619060152	221.303576012631	238.916659829293	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE14	225.818374067354	3.46236888398462	219.032255753552	232.604492381156	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE15	229.909569528124	5.9229971218965	218.300708488673	241.518430567576	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE19	228.196080068303	4.65127000729496	219.079758371633	237.312401764972	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE20	228.04113741769	5.95820025002341	216.363279514967	239.718995320414	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE21	230.500775657382	4.27460327673235	222.12270718679	238.878844127975	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE22	229.781860058125	5.33113501385405	219.33302743425	240.230692681999	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE23	231.650368258697	5.32945243320794	221.20483343229	242.095903085104	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE24	236.569118831331	7.14159819092062	222.57184358507	250.566394077592	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE26	236.690706682875	5.9574560519531	225.014307381567	248.367105984184	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE27	228.668758842652	4.51238336233951	219.824649968029	237.512867717276	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE33	236.852365346288	6.78677290052465	223.550534890008	250.154195802569	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE40	228.058715395175	6.24441932340072	215.819878416944	240.297552373406	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE41	230.679803868054	4.85586369871497	221.162485904737	240.197121831371	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE48	235.236743843677	5.61616356018603	224.229265534426	246.244222152928	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE49	229.462921667821	4.8532733301131	219.950680733671	238.975162601971	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE51	223.302843579245	3.58390427353708	216.278520279073	230.327166879417	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE69	232.296987470687	4.05002270610759	224.359088830146	240.234886111227	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	YE	YE80	228.725896657624	4.70924226601225	219.495951421766	237.955841893482	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE1	231.553706840296	8.84557500197315	214.216698413881	248.890715266711	187.452427421863	0.170604690997117	3	4.97076023391813
lmers	DT_A	M	RE	RE10	238.764387570387	5.9475666697949	227.107371101938	250.421404038836	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE11	243.795780310527	9.02321983886779	226.110594401759	261.480966219295	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE12	232.316573487884	6.36314914057557	219.845030344098	244.788116631669	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE13	244.39212307179	11.520766822499	221.811835025408	266.972411118172	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE15	234.962865722481	4.79412238307927	225.566558514169	244.359172930794	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE16	233.751343326414	4.29289913965041	225.337415623436	242.165271029391	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE17	245.667444683221	9.62855644270349	226.795820832411	264.539068534031	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE18	233.265157704956	3.42996241265025	226.542554907835	239.987760502077	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE2	243.638903309112	9.53301344319696	224.954540296309	262.323266321914	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE3	252.565810713371	13.8722055231258	225.376787501907	279.754833924836	187.452427421863	0.170604690997117	6	4.97076023391813
lmers	DT_A	M	RE	RE4	234.154692709074	5.52228444665067	223.331214081253	244.978171336895	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE5	236.232471866886	7.66235718138751	221.214527754685	251.250415979088	187.452427421863	0.170604690997117	5	4.97076023391813
lmers	DT_A	M	RE	RE6	248.269448606606	6.15936979392436	236.19730564305	260.341591570161	187.452427421863	0.170604690997117	5	4.97076023391813
