Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	DT_P	NA	YE	YE11	144.083245975657	3.93223921672368	136.376198732283	151.790293219032	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE13	132.163245975657	4.05292860257119	124.219651882706	140.106840068609	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE14	127.666245975657	3.47894312364254	120.847642749055	134.48484920226	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE15	134.133245975657	5.09770048723341	124.141936616708	144.124555334607	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE19	147.718245975657	5.38965214624652	137.154721879815	158.2817700715	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE20	133.884245975657	3.57810428265299	126.871290448729	140.897201502586	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE21	135.402245975657	3.55583889645463	128.43292980378	142.371562147535	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE22	121.594245975657	3.51496077610259	114.705049447425	128.483442503889	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE23	137.315245975657	4.05292860257119	129.371651882706	145.258840068609	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE24	125.844245975657	3.46233812004831	119.058187958063	132.630303993252	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE26	144.247245975657	3.71831551344687	136.959481486145	151.53501046517	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE27	139.484245975657	4.05292860257119	131.540651882706	147.427840068609	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE33	151.350245975657	3.47894312364254	144.531642749055	158.16884920226	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE40	124.973245975657	4.2057073433062	116.730211053262	133.216280898053	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE41	131.109245975657	3.79235734834413	123.676362156397	138.542129794918	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE48	131.524245975657	4.29958582395324	123.09721261227	139.951279339045	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE49	132.729245975657	3.79235734834413	125.296362156397	140.162129794918	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE51	136.591245975657	5.38965214624652	126.027721879815	147.1547700715	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE69	133.617245975657	3.65623717194874	126.451152799701	140.783339151613	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	YE	YE80	138.574245975657	4.12435610217397	130.490656555978	146.657835395336	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE10	145.986759066547	6.02088477473335	134.186041753004	157.78747638009	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE11	143.449759066547	3.83769624522524	135.928012642301	150.971505490793	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE12	121.365759066547	3.82455611419364	113.869766825875	128.861751307219	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE13	149.263759066547	4.23130588242163	140.970551929428	157.556966203666	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE15	119.823759066547	3.97787989645438	112.027257734671	127.620260398424	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE16	138.868759066547	4.45605121947851	130.135059163103	147.602458969991	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE17	163.450759066547	4.00128447759166	155.608385598568	171.293132534526	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE18	133.157759066547	3.89884963426597	125.516154202249	140.799363930846	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE2	130.949759066547	3.81204059141766	123.478296799764	138.421221333331	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE3	121.699759066547	5.36960235684319	111.175531835833	132.223986297261	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE4	128.687759066547	4.45605121947851	119.954059163103	137.421458969991	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE5	134.200759066547	6.02088477473335	122.400041753004	146.00147638009	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE6	149.908759066547	4.61871383294266	140.856246299083	158.961271834012	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE7	121.772759066547	4.23130588242163	113.479551929428	130.065966203666	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	RE	RE8	126.456759066547	3.85147562248756	118.908005559138	134.005512573957	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI1	161.518391647101	5.25396300792737	151.220813375458	171.815969918745	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI10	137.669391647101	4.22751372424375	129.383617003435	145.955166290768	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI11	137.396391647101	4.15244305062324	129.257752820026	145.535030474176	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI12	137.480391647101	4.64325147807754	128.379785978907	146.580997315296	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI13	143.532391647101	5.89034670360491	131.987524251581	155.077259042621	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI14	156.168391647101	9.05352524095831	138.423808241699	173.912975052504	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI15	139.766391647101	4.64325147807754	130.665785978907	148.866997315296	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI2	127.316391647101	5.11965030921734	117.282061427596	137.350721866607	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI3	140.115391647101	7.56701475409353	125.284315258595	154.946468035608	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI5	127.904391647101	4.27689423398209	119.521832982809	136.286950311393	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI7	156.168391647101	9.05352524095831	138.423808241699	173.912975052504	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI8	141.192391647101	4.3607229089532	132.645531798994	149.739251495208	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	GI	GI9	119.263391647101	4.91266447955376	109.634746199047	128.892037095156	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	MU	MU1	140.853903143323	3.63577816832778	133.727908877623	147.979897409022	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	MU	MU10	130.569903143323	3.41056635902147	123.885315912757	137.254490373889	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	MU	MU11	144.586903143323	3.53479884707588	137.65882471046	151.514981576185	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	MU	MU12	118.965903143323	3.53479884707588	112.03782471046	125.893981576185	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	MU	MU13	119.388903143323	3.73387022930483	112.070651970939	126.707154315707	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	MU	MU14	141.081903143323	3.81459341074366	133.605437442601	148.558368844044	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	MU	MU15	133.828903143323	3.81459341074366	126.352437442601	141.305368844044	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	MU	MU16	147.068903143323	4.03448173738449	139.161464241765	154.976342044881	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	MU	MU17	122.416903143323	3.31531640862361	115.919002385066	128.91480390158	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	MU	MU18	147.512903143323	4.28220164042855	139.119942153544	155.905864133101	1557.80826312105	1.77095785822667e-227	1	1
lmers	DT_P	NA	MU	MU19	125.946903143323	3.6655328247458	118.762590822672	133.131215463974	1557.80826312105	1.77095785822667e-227	1	1
