Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	HSM	F	YE	YE11	288.578671838681	64.0497340399639	163.043499900983	414.113843776379	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE13	359.643697682662	9.27276751581126	341.469407314658	377.817988050665	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE14	365.100513535311	11.0585696661186	343.426115269191	386.77491180143	453.644173841695	1.11878668712132e-27	1	1.76023391812866
lmers	HSM	F	YE	YE15	351.976342998459	31.2730479659591	290.682295298385	413.270390698532	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE19	366.701415993734	10.9036620607032	345.33063105516	388.072200932308	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE20	331.845513535311	10.6531577975921	310.965707930408	352.725319140213	453.644173841695	1.11878668712132e-27	1	1.76023391812866
lmers	HSM	F	YE	YE21	375.153905014512	16.7097613551119	342.403374568234	407.904435460791	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE22	318.83678456752	22.8150903177427	274.120029240715	363.553539894324	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE23	309.815767318046	60.4942707717896	191.249175334324	428.382359301768	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE24	363.36121214093	17.0819331085245	329.8812384619	396.84118581996	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE26	350.456234299367	9.27587717384006	332.275849113623	368.63661948511	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE27	332.182513535311	9.66378166456576	313.241849518303	351.123177552318	453.644173841695	1.11878668712132e-27	1	1.76023391812866
lmers	HSM	F	YE	YE33	324.677865788006	37.3264652079258	251.519338310284	397.836393265728	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE40	303.872582067728	60.5566339741117	185.183760453495	422.561403681962	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE41	368.700513535311	11.3592955794097	346.436703309923	390.964323760699	453.644173841695	1.11878668712132e-27	1	1.76023391812866
lmers	HSM	F	YE	YE48	335.419119086895	38.8620801041435	259.250841718464	411.587396455327	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE49	394.390513535311	13.3319567603708	368.260358441539	420.520668629083	453.644173841695	1.11878668712132e-27	1	1.76023391812866
lmers	HSM	F	YE	YE51	353.344705845769	9.43481400148883	334.852810202017	371.836601489522	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE69	364.461372790413	12.6064579565836	339.753169222891	389.169576357935	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	YE	YE80	353.547936418721	30.9795024821566	292.829227294725	414.266645542717	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE10	274.507551628405	95.7980679036247	86.7467887487785	462.268314508032	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE11	370.114990641548	12.6249698857929	345.370504359491	394.859476923604	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE12	341.947172799479	43.0887762312111	257.4947232484	426.399622350558	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE13	346.084230689191	47.3141431172752	253.350214219958	438.818247158424	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE15	303.179336435771	81.5256722671948	143.391954976653	462.966717894889	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE16	308.638199615992	84.3364466193577	143.341801657966	473.934597574018	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE17	362.545264554165	23.5775553718126	316.334105181914	408.756423926417	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE18	378.394139763796	10.5578873714804	357.701060762864	399.087218764728	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE2	371.887800977765	11.5759445010634	349.199366668646	394.576235286884	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE3	327.929608495228	49.3601144262445	231.185561947013	424.673655043443	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE4	369.432451983263	13.3746141946829	343.218689854566	395.64621411196	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE5	368.162378254276	12.2997462250662	344.055318634164	392.269437874389	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE6	383.613440397853	11.4531711301623	361.165637473961	406.061243321745	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE7	377.532337694904	13.1294002672474	351.799186032489	403.265489357319	453.644173841695	1.11878668712132e-27	2	1.76023391812866
lmers	HSM	F	RE	RE8	372.285932678605	12.7060071172268	347.38261634153	397.189249015679	453.644173841695	1.11878668712132e-27	2	1.76023391812866
