Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	LS	F	YE	YE11	41.3608278517513	9.75010083267929	22.2509813740659	60.4706743294367	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE13	47.4555103625295	5.61958990555342	36.44131653976	58.469704185299	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE14	41.4702499999978	2.74390002980816	36.0923047643954	46.8481952356002	331.573792589378	1.67181856663374e-12	1	1.77777777777778
lmers	LS	F	YE	YE15	43.8197938221661	5.95279805542316	32.1525240262966	55.4870636180355	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE19	49.2573334304501	9.20671385945849	31.2125058499457	67.3021610109545	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE20	45.6492499999978	2.74390002980816	40.2713047643954	51.0271952356002	331.573792589378	1.67181856663374e-12	1	1.77777777777778
lmers	LS	F	YE	YE21	46.2986219200254	5.71694934352626	35.0936071052741	57.5036367347768	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE22	49.739660416445	6.58750693869292	36.8283840686992	62.6509367641908	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE23	47.4663440289958	4.00573697826971	39.6152438200468	55.3174442379447	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE24	44.9676576106991	5.91551320738796	33.3734647741477	56.5618504472505	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE26	47.4485813806142	6.8533232396183	34.016314656551	60.8808481046775	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE27	37.9562499999978	2.74390002980816	32.5783047643954	43.3341952356002	331.573792589378	1.67181856663374e-12	1	1.77777777777778
lmers	LS	F	YE	YE33	45.3135595112089	6.99677996828058	31.6001227656277	59.0269962567901	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE40	50.9110418080695	3.4608124905171	44.1279739694096	57.6941096467294	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE41	41.6602499999978	2.74390002980816	36.2823047643954	47.0381952356002	331.573792589378	1.67181856663374e-12	1	1.77777777777778
lmers	LS	F	YE	YE48	49.2663623362166	6.6193411404631	36.2926920995246	62.2400325729085	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE49	44.2912499999978	2.74390002980816	38.9133047643954	49.6691952356002	331.573792589378	1.67181856663374e-12	1	1.77777777777778
lmers	LS	F	YE	YE51	47.660355035883	10.214974856813	27.6393722135473	67.6813378582186	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE69	46.5723034375289	6.71288256071165	33.4152953860871	59.7293114889708	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	YE	YE80	49.9966695621243	10.8102169974349	28.8090335820892	71.1843055421594	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	RE	RE1	40.185312499999	2.81669912610072	34.6646836575561	45.7059413424418	331.573792589378	1.67181856663374e-12	1	1.77777777777778
lmers	LS	F	RE	RE10	44.7975283108458	4.62773804626027	35.7273284102899	53.8677282114017	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	RE	RE11	45.624771344382	2.35227263735384	41.0144016933494	50.2351409954145	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	RE	RE12	44.3304815770329	2.36910927890316	39.687112714943	48.9738504391227	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	RE	RE13	48.3709855882522	4.9401313642998	38.6885060353279	58.0534651411766	331.573792589378	1.67181856663374e-12	2	1.77777777777778
lmers	LS	F	RE	RE15	47.6097319858932	2.35416668682025	42.9956500661215	52.2238139056648	331.573792589378	1.67181856663374e-12	2	1.77777777777778
