Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	LS	M	YE	YE11	39.9846854867153	5.3248503048617	29.5481706661192	50.4212003073114	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE13	50.0594596259006	4.56318185381486	41.1157875375167	59.0031317142844	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE14	51.009448553736	3.0887618397658	44.9555865909733	57.0633105164986	392.562036591004	1.19509581041505e-19	1	1.77777777777778
lmers	LS	M	YE	YE15	46.6690634774229	4.63848398280047	37.5778019282681	55.7603250265777	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE19	49.8990731402584	8.22649892801423	33.7754315224932	66.0227147580236	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE20	45.355448553736	3.0887618397658	39.3015865909734	51.4093105164986	392.562036591004	1.19509581041505e-19	1	1.77777777777778
lmers	LS	M	YE	YE21	47.8417156890616	4.85261532391728	38.3307644233565	57.3526669547666	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE22	50.8443467741391	4.21404908476456	42.5849623389166	59.1037312093616	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE23	46.0506498173249	3.61993778630736	38.9557021298868	53.1455975047629	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE24	46.0695692648942	5.8112094791877	34.6798079790686	57.4593305507199	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE26	49.195507866552	6.43120984963782	36.5905681842426	61.8004475488613	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE27	44.247448553736	3.0887618397658	38.1935865909734	50.3013105164986	392.562036591004	1.19509581041505e-19	1	1.77777777777778
lmers	LS	M	YE	YE33	48.478465256395	4.78619849701974	39.0976885793766	57.8592419334134	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE40	46.8496289624586	2.39892201515691	42.1478282110308	51.5514297138863	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE41	48.125448553736	3.0887618397658	42.0715865909733	54.1793105164986	392.562036591004	1.19509581041505e-19	1	1.77777777777778
lmers	LS	M	YE	YE48	44.7060357743048	4.4679007720568	35.9491111745748	53.4629603740348	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE49	49.290448553736	3.0887618397658	43.2365865909734	55.3443105164986	392.562036591004	1.19509581041505e-19	1	1.77777777777778
lmers	LS	M	YE	YE51	43.7958387661161	2.396408968866	39.09896349491	48.4927140373222	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE69	47.1222771850766	2.39220028753125	42.433650777709	51.8109035924442	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	YE	YE80	50.7807652648142	4.46841437420025	42.0228340233806	59.5386965062477	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE1	42.2394999999995	3.17147004936771	36.0235329251913	48.4554670748076	392.562036591004	1.19509581041505e-19	1	1.77777777777778
lmers	LS	M	RE	RE10	51.5361439476758	2.3990038967338	46.8341827113063	56.2381051840453	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE11	53.6987742882408	3.41281689487985	47.0097760884465	60.3877724880351	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE12	54.049279054222	4.92479708413424	44.396854138151	63.701703970293	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE13	50.9747992742266	2.65152611871415	45.7779035774795	56.1716949709736	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE15	55.8163313164547	3.49333828731976	48.9695140874931	62.6631485454163	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE16	46.6187769283182	2.43460107139957	41.8470465116524	51.390507344984	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE17	45.0068246470537	2.39785110940962	40.3071228323215	49.706526461786	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE18	46.7743124428223	3.9833359719902	38.9671173993986	54.5815074862459	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE2	42.7222203224224	2.8263070099707	37.1827603736267	48.261680271218	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE3	43.8624931378393	2.36492615933413	39.2273230394478	48.4976632362308	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE4	50.2104134397834	2.42015220329792	45.4670022842142	54.9538245953525	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE5	53.4882206954165	2.3983124169212	48.7876147345758	58.1888266562573	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE6	46.4423424958063	2.40998884029131	41.7188511656919	51.1658338259207	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE7	48.6028371902494	3.3533632300548	42.0303660322611	55.1753083482377	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	RE	RE8	42.9425286965962	2.42907624395691	38.1816267427388	47.7034306504536	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI1	46.7530448223766	6.22557519495525	34.5511416572184	58.9549479875348	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI10	50.9538677707047	2.45092329052351	46.1501463924082	55.7575891490012	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI11	46.1766553692331	2.47047204593712	41.3346191343834	51.0186916040829	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI12	44.6567246616379	3.74966206204416	37.3075220658352	52.0059272574407	392.562036591004	1.19509581041505e-19	1	1.77777777777778
lmers	LS	M	GI	GI13	58.5073678434441	2.44061875040515	53.7238429926569	63.2908926942313	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI14	50.3173846729503	4.18068194426696	42.1233986313701	58.5113707145304	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI15	53.0887246616379	3.81889310920498	45.603831706788	60.5736176164879	392.562036591004	1.19509581041505e-19	1	1.77777777777778
lmers	LS	M	GI	GI2	48.6286910557252	2.42775299550547	43.8703826211752	53.3869994902751	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI3	48.7107868413244	3.3288205525016	42.1864184474246	55.2351552352243	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI4	44.283460096444	7.58945879567446	29.4083941947714	59.1585259981167	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI5	38.422297165605	2.90651728084882	32.725627974698	44.1189663565119	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI6	54.5379627842754	4.61135215730665	45.4998786359233	63.5760469326275	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI7	51.681054997023	6.40301252507938	39.1313810553085	64.2307289387375	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI8	46.7578893442997	3.43345015502927	40.0284506977289	53.4873279908706	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	GI	GI9	59.1776791331634	2.44085975509445	54.3936819218651	63.9616763444618	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	MU	MU1	56.2864185650741	6.42713229311484	43.6894707466947	68.8833663834536	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	MU	MU10	54.5226793863121	2.37806258513781	49.8617623664598	59.1835964061644	392.562036591004	1.19509581041505e-19	2	1.77777777777778
lmers	LS	M	MU	MU11	54.1631447362919	2.48179441474571	49.2989170663577	59.0273724062262	392.562036591004	1.19509581041505e-19	2	1.77777777777778
