Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	TL	F	YE	YE11	986.529546348837	11.009070356267	964.952164947286	1008.10692775039	343.868643146904	1.16776413785267e-14	2	1.8855421686747
lmers	TL	F	YE	YE13	963.033557298133	21.0594757181365	921.75774335729	1004.30937123898	343.868643146904	1.16776413785267e-14	3	1.8855421686747
lmers	TL	F	YE	YE14	985.298921112352	30.9702804739473	924.598286792311	1045.99955543239	343.868643146904	1.16776413785267e-14	3	1.8855421686747
lmers	TL	F	YE	YE15	1014.57714333922	24.9098791858587	965.754677275689	1063.39960940274	343.868643146904	1.16776413785267e-14	2	1.8855421686747
lmers	TL	F	YE	YE19	980.312008159719	12.9259365592664	954.977638037107	1005.64637828233	343.868643146904	1.16776413785267e-14	3	1.8855421686747
lmers	TL	F	YE	YE20	968.094711835306	54.0361676903794	862.185769299596	1074.00365437102	343.868643146904	1.16776413785267e-14	2	1.8855421686747
lmers	TL	F	YE	YE21	1016.39419204711	11.2542239463625	994.336318438293	1038.45206565593	343.868643146904	1.16776413785267e-14	1	1.8855421686747
lmers	TL	F	YE	YE22	977.765272987858	42.5614068812059	894.346448369339	1061.18409760638	343.868643146904	1.16776413785267e-14	2	1.8855421686747
lmers	TL	F	YE	YE23	1013.23519204711	11.2542239463625	991.177318438293	1035.29306565593	343.868643146904	1.16776413785267e-14	1	1.8855421686747
lmers	TL	F	YE	YE24	1040.02019204711	12.026972255513	1016.44775958324	1063.59262451098	343.868643146904	1.16776413785267e-14	1	1.8855421686747
lmers	TL	F	YE	YE26	999.539460793052	24.7169639913743	951.095101562785	1047.98382002332	343.868643146904	1.16776413785267e-14	2	1.8855421686747
lmers	TL	F	YE	YE27	1004.71683170031	24.6091319101026	956.483819465715	1052.94984393491	343.868643146904	1.16776413785267e-14	2	1.8855421686747
lmers	TL	F	YE	YE33	972.878552891183	9.8892370795522	953.496004380682	992.261101401683	343.868643146904	1.16776413785267e-14	2	1.8855421686747
lmers	TL	F	YE	YE40	1006.82567039396	44.7141673832709	919.187512724056	1094.46382806387	343.868643146904	1.16776413785267e-14	2	1.8855421686747
lmers	TL	F	YE	YE41	1005.65519204711	11.2542239463625	983.597318438293	1027.71306565593	343.868643146904	1.16776413785267e-14	1	1.8855421686747
lmers	TL	F	YE	YE48	980.877612421791	11.5749313237093	958.191163903796	1003.56406093979	343.868643146904	1.16776413785267e-14	2	1.8855421686747
