Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	WA_L	M	YE	YE11	2437.48869115172	59.7926868412914	2320.29717840391	2554.68020389954	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	YE	YE13	2450.39983364323	13.9445417351887	2423.06903406135	2477.73063322512	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	YE	YE14	2392.328556618	16.1485022719704	2360.67807376068	2423.97903947533	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	YE	YE15	2453.58292530376	13.6129797292807	2426.90197531209	2480.26387529542	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	YE	YE19	2418.46216813647	20.9269189379672	2377.44616071066	2459.47817556227	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	YE	YE20	2458.56407323516	14.4185653467908	2430.30420444671	2486.82394202361	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	YE	YE21	2510.69765383861	22.2295157344192	2467.12860360538	2554.26670407184	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	YE	YE22	2445.15411339167	18.6665820250506	2408.5682849081	2481.73994187523	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	YE	YE23	2443.37494056774	23.436106661926	2397.44101557253	2489.30886556296	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	YE	YE24	2466.14223645092	14.1217944134948	2438.46402800339	2493.82044489845	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	YE	YE26	2422.38465383861	22.1972968126029	2378.87875153176	2465.89055614545	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	YE	YE27	2525.57365383861	22.2295157344192	2482.00460360538	2569.14270407183	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	YE	YE33	2464.17982595824	14.0962924042913	2436.55160053028	2491.80805138619	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	YE	YE40	2503.95782843418	14.4852810367424	2475.56719929622	2532.34845757214	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	YE	YE41	2451.12739362899	14.1912400914181	2423.31307415384	2478.94171310413	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	YE	YE48	2392.65765383861	22.2295157344192	2349.08860360538	2436.22670407184	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	YE	YE49	2411.88107661947	20.7227976813682	2371.26513950508	2452.49701373386	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	YE	YE51	2387.92614384824	21.7499267371358	2345.29707077707	2430.55521691941	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	YE	YE69	2452.09510880707	14.0538355194326	2424.55009734433	2479.64012026981	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	YE	YE80	2445.55587014889	13.8699456669357	2418.37127617417	2472.74046412361	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	RE	RE1	2515.54353030041	14.643030247108	2486.84371839155	2544.24334220928	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	RE	RE10	2546.26288826159	22.599608336745	2501.96846985686	2590.55730666632	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	RE	RE11	2530.92744536378	25.2696288465736	2481.39988292181	2580.45500780576	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	RE	RE12	2539.81082097035	23.2468482309585	2494.24783568361	2585.3738062571	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	RE	RE13	2483.85930514877	14.7182543977586	2455.01205661387	2512.70655368368	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	RE	RE15	2497.79188826159	22.8213244570572	2453.06291424625	2542.52086227692	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	RE	RE16	2521.47703782645	38.2960964594868	2446.41806801739	2596.53600763552	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	RE	RE17	2533.21672511379	46.3826324690103	2442.30843596637	2624.12501426121	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	RE	RE18	2559.80375134008	14.4231761125299	2531.53484561684	2588.07265706332	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	RE	RE2	2617.17494846808	14.1233479875862	2589.49369507128	2644.85620186487	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	RE	RE3	2494.96448762804	42.7337294437879	2411.20791699313	2578.72105826294	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	RE	RE4	2544.58557738961	34.4798064266033	2477.00639859956	2612.16475617967	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	RE	RE5	2519.64765738875	14.2897843036518	2491.64019480675	2547.65511997075	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	RE	RE6	2589.09115385509	14.6378874019058	2560.4014217376	2617.78088597257	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	RE	RE7	2602.35473056933	24.9508300658889	2553.45200225581	2651.25745888285	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	RE	RE8	2555.14647580237	14.998180261897	2525.75058265542	2584.54236894933	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	GI	GI1	2455.91687525397	49.2443184900986	2359.39978457016	2552.43396593778	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	GI	GI10	2484.94957194489	23.7002681299861	2438.49789998617	2531.4012439036	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	GI	GI11	2501.17084383104	16.4592506753791	2468.91130529478	2533.4303823673	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	GI	GI12	2413.9637931167	23.0537381125283	2368.77929670713	2459.14828952627	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	GI	GI13	2491.0417931167	23.0431007887619	2445.8781454786	2536.2054407548	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	GI	GI14	2539.74609005465	28.9527381179006	2482.99976608974	2596.49241401955	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	GI	GI15	2518.4647931167	23.0431007887619	2473.3011454786	2563.6284407548	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	GI	GI2	2459.03596257949	21.4811130932406	2416.9337545689	2501.13817059007	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	GI	GI3	2409.04741371282	14.7104891689645	2380.21538474669	2437.87944267896	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	GI	GI4	2450.88733640245	14.5377969828647	2422.39377790148	2479.38089490342	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	GI	GI5	2487.10825984513	14.8873866344222	2457.92951821774	2516.28700147252	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	GI	GI6	2481.88023797504	20.1611092842819	2442.36518988948	2521.39528606061	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	GI	GI7	2463.0517931167	22.8316823944501	2418.30251791712	2507.80106831628	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	GI	GI8	2471.05639925055	21.5110073028456	2428.89559966579	2513.2171988353	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	GI	GI9	2455.52046831445	19.0658028732056	2418.15218134663	2492.88875528227	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU1	2493.48988796978	13.4448505725743	2467.13846507002	2519.84131086955	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	MU	MU10	2483.85272690125	22.0487013454237	2440.63806635833	2527.06738744416	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	MU	MU11	2402.49120849539	13.6778700042131	2375.68307590191	2429.29934108887	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU12	2489.17633536555	20.753834285262	2448.49956762533	2529.85310310578	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU13	2476.84777183531	60.5018780176563	2358.26626992367	2595.42927374695	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU14	2506.59586671218	13.7383691113395	2479.66915804764	2533.52257537673	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU15	2504.52472690125	22.0487013454237	2461.31006635834	2547.73938744416	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	MU	MU16	2451.37828542548	52.407326319863	2348.66181331251	2554.09475753845	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU17	2498.34197021085	26.1692904961697	2447.0511033374	2549.63283708431	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU18	2434.67999977183	13.6179452545183	2407.98931752954	2461.37068201413	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU19	2496.06088270897	13.6179452545183	2469.37020046667	2522.75156495126	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU2	2454.91938174949	13.3695080872172	2428.71562740753	2481.12313609145	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	MU	MU20	2515.73672690125	22.0487013454237	2472.52206635833	2558.95138744416	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	MU	MU3	2508.18433413619	13.416820771375	2481.88784863726	2534.48081963511	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU4	2502.16983042687	13.4418964235777	2475.82419755274	2528.515463301	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	MU	MU5	2475.29480117912	13.3860476975061	2449.05862979667	2501.53097256156	1210.99518093724	5.06902502852766e-156	3	1.94767441860465
lmers	WA_L	M	MU	MU6	2486.94772690125	22.0487013454237	2443.73306635833	2530.16238744416	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	MU	MU7	2427.90821326822	13.8011964733708	2400.85836523685	2454.95806129959	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU8	2504.07877334515	13.8011964733708	2477.02892531379	2531.12862137652	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MU	MU9	2465.12413919102	13.8011964733708	2438.07429115966	2492.17398722239	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MA	MA12	2513.71692049844	22.0721541674935	2470.45629326894	2556.97754772795	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	MA	MA13	2501.08192049845	22.0721541674935	2457.82129326894	2544.34254772795	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	MA	MA16	2459.51745829341	26.2367617694195	2408.09435015439	2510.94056643242	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MA	MA18	2531.09272288112	23.4748350864845	2485.08289156859	2577.10255419364	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MA	MA19	2451.38117244417	27.849385592191	2396.7973796919	2505.96496519643	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MA	MA20	2433.55667464465	14.4910814653952	2405.15467687544	2461.95867241386	1210.99518093724	5.06902502852766e-156	2	1.94767441860465
lmers	WA_L	M	MA	MA21	2534.42892049844	22.0721541674935	2491.16829326894	2577.68954772795	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
lmers	WA_L	M	MA	MA23	2518.63592049845	22.0721541674935	2475.37529326894	2561.89654772795	1210.99518093724	5.06902502852766e-156	1	1.94767441860465
