Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	WA_R	F	YE	YE11	2838.88609069956	87.7107681582315	2666.97614405309	3010.79603734604	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	YE	YE13	2848.77231663227	16.5435129757335	2816.34762702206	2881.19700624247	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	YE	YE14	2736.51965573921	16.5592414606135	2704.06413886511	2768.97517261332	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	YE	YE15	2878.92263869039	16.2894862883213	2846.99583223862	2910.84944514215	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	YE	YE19	2841.99690831191	27.1930906990255	2788.69942991349	2895.29438671034	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	YE	YE20	2830.40962881873	36.5038000422642	2758.86349543704	2901.95576220042	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	YE	YE21	2876.71201350916	28.2878664860813	2821.26881399696	2932.15521302135	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	YE	YE22	2819.96476080207	16.2774650969293	2788.06151545248	2851.86800615165	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	YE	YE23	2785.80552940614	25.1452188386268	2736.52180609905	2835.08925271323	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	YE	YE24	2818.75564376785	16.4498887392883	2786.51445428916	2850.99683324655	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	YE	YE26	2794.58101350916	28.7725694079337	2738.18781372693	2850.97421329139	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	YE	YE27	2889.80801350916	28.3975466252696	2834.14984487433	2945.46618214398	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	YE	YE33	2809.236693216	16.3216172662727	2777.24691120466	2841.22647522735	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	YE	YE40	2865.09497286965	17.1173439531185	2831.54559521055	2898.64435052874	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	YE	YE41	2813.69024684525	16.8158523184043	2780.73178193183	2846.64871175866	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	YE	YE48	2797.81401350916	28.7634530321789	2741.43868149508	2854.18934552324	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	YE	YE49	2799.22594335385	17.22354152955	2765.46842226971	2832.983464438	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	YE	YE51	2758.8675920831	16.8908852675633	2725.76206529168	2791.97311887452	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	YE	YE69	2839.70019292856	16.6481532464355	2807.07041215644	2872.32997370068	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	YE	YE80	2824.83738943545	16.8230803683939	2791.86475780438	2857.81002106653	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	RE	RE1	2920.93234106564	16.5428913723378	2888.5088697757	2953.35581235558	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	RE	RE10	2963.02389842927	28.6212604473893	2906.92725876025	3019.1205380983	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	RE	RE11	2905.85560023539	44.4659813559274	2818.70387824054	2993.00732223023	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	RE	RE12	2898.27829327226	39.6998086259667	2820.46809817223	2976.08848837228	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	RE	RE13	2890.64123396423	17.0543618571744	2857.21529894486	2924.06716898361	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	RE	RE15	2886.28589842927	29.0637866355589	2829.32192336922	2943.24987348932	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	RE	RE16	2908.79009010869	26.7132575221175	2856.4330674556	2961.14711276179	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	RE	RE17	2913.60103321557	59.8188878316714	2796.35816747025	3030.84389896089	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	RE	RE18	2925.42879623909	17.2424163962076	2891.63428109608	2959.2233113821	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	RE	RE2	2993.85014963074	16.7756125095658	2960.97055329339	3026.72974596809	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	RE	RE3	2888.57252363788	47.2080890908978	2796.04636924077	2981.098678035	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	RE	RE4	2988.37650582032	17.1443091767402	2954.77427729409	3021.97873434655	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	RE	RE5	2927.69465787191	16.6858694888181	2894.99095462309	2960.39836112073	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	RE	RE6	2982.44011416342	22.6319800572933	2938.08224835229	3026.79797997454	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	RE	RE7	3020.34438767306	17.0326326103917	2986.96104119479	3053.72773415133	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	RE	RE8	2942.14544348493	18.8832589260407	2905.13493607915	2979.15595089072	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	GI	GI1	2870.56074338216	17.546449613238	2836.17033408366	2904.95115268065	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	GI	GI10	2857.33961226208	27.9925570827099	2802.47520854478	2912.20401597937	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	GI	GI11	2850.84545404086	29.1327428518312	2793.7463272804	2907.94458080131	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	GI	GI12	2736.65560053908	29.7249529027631	2678.39576340752	2794.91543767065	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	GI	GI13	2859.20760053908	29.3710273751444	2801.64144469486	2916.7737563833	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	GI	GI14	2900.33873428931	46.1655571326668	2809.85590498306	2990.82156359556	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	GI	GI15	2886.18460053908	29.3710273751444	2828.61844469486	2943.7507563833	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	GI	GI2	2844.74758723163	27.7779609434334	2790.30378421854	2899.19139024472	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	GI	GI3	2771.69420745207	33.1540601526719	2706.71344361156	2836.67497129258	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	GI	GI4	2794.92510885368	17.3526351836559	2760.91456885685	2828.93564885051	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	GI	GI5	2884.21724442021	17.734998748439	2849.45728560741	2918.97720323301	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	GI	GI6	2762.95399087997	112.628285039836	2542.20660856138	2983.70137319856	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	GI	GI7	2641.23599859173	238.781330673413	2173.23319029129	3109.23880689217	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	GI	GI8	2697.75932678608	129.859490600975	2443.23940215745	2952.27925141471	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	GI	GI9	2712.37922050522	132.361133918068	2452.95616507293	2971.80227593752	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	MU	MU1	2853.1830907839	16.1077219771609	2821.61253583568	2884.75364573212	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
lmers	WA_R	F	MU	MU10	2872.33250708693	28.0698921079568	2817.31652950541	2927.34848466845	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	MU	MU11	2748.14473630692	16.4050538108028	2715.99142167331	2780.29805094054	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	MU	MU12	2882.45705489753	20.1217088310724	2843.01923028123	2921.89487951383	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	MU	MU13	2829.69760897107	82.2834944157675	2668.42492339406	2990.97029454808	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	MU	MU14	2888.68057535388	16.1469938102334	2857.03304902723	2920.32810168053	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	MU	MU15	2883.41950708693	28.1804206312173	2828.18689758056	2938.65211659331	1298.61702509131	1.72581462787633e-172	1	1.96511627906977
lmers	WA_R	F	MU	MU16	2806.70868645438	21.0807772521812	2765.391122274	2848.02625063477	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	MU	MU17	2861.1695955308	27.0107946437787	2808.22941083518	2914.10978022641	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	MU	MU18	2806.92891426285	16.7590878246492	2774.08170571279	2839.77612281291	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	MU	MU19	2911.18177201358	16.1700481563963	2879.48905999876	2942.87448402839	1298.61702509131	1.72581462787633e-172	2	1.96511627906977
lmers	WA_R	F	MU	MU2	2845.09979003486	16.1970841480218	2813.35408845017	2876.84549161955	1298.61702509131	1.72581462787633e-172	3	1.96511627906977
