Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	WA_R	M	YE	YE11	2456.54199097218	59.0256446885209	2340.85385321842	2572.23012872594	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	YE	YE13	2457.10106591615	14.0759385796652	2429.51273325141	2484.68939858089	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	YE	YE14	2391.01395414191	13.9183158308717	2363.73455638795	2418.29335189587	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	YE	YE15	2454.84104162974	13.7277223128836	2427.93520030672	2481.74688295276	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	YE	YE19	2424.04319690656	26.2553692145875	2372.58361884516	2475.50277496795	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	YE	YE20	2458.45093822001	14.5754065312613	2429.88366635871	2487.01821008132	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	YE	YE21	2506.15018913068	22.8410838150217	2461.38248748538	2550.91789077599	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	YE	YE22	2446.37775405146	16.7664983967284	2413.51602104702	2479.23948705589	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	YE	YE23	2442.83540430315	24.0974238222071	2395.60532149143	2490.06548711487	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	YE	YE24	2468.25325144997	14.2674190895532	2440.28962388211	2496.21687901783	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	YE	YE26	2420.04118913068	22.8120789461383	2375.33033598377	2464.7520422776	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	YE	YE27	2522.76418913068	22.8410838150217	2477.99648748538	2567.53189077599	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	YE	YE33	2464.67065346585	14.235996272711	2436.76861348729	2492.57269344441	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	YE	YE40	2504.62353433265	14.6472247924175	2475.91550126605	2533.33156739925	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	YE	YE41	2450.48598974928	14.3393258064881	2422.38142760598	2478.59055189259	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	YE	YE48	2393.04118913068	22.8410838150217	2348.27348748538	2437.80889077599	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	YE	YE49	2415.67764264343	15.9269248568837	2384.46144353946	2446.8938417474	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	YE	YE51	2392.85242264879	25.5821065706717	2342.7124151216	2442.99243017597	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	YE	YE69	2453.02895559585	14.1984735525191	2425.20045879747	2480.85745239424	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	YE	YE80	2445.44073525988	14.0080347502409	2417.98549165522	2472.89597886454	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	RE	RE1	2519.46596258975	14.7883532634805	2490.48132280268	2548.45060237683	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	RE	RE10	2549.42867623888	23.220404606672	2503.91751950335	2594.9398329744	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	RE	RE11	2529.90250101721	21.2932656827999	2488.16846716568	2571.63653486874	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	RE	RE12	2541.05120686833	18.4384554796381	2504.91249819769	2577.18991553897	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	RE	RE13	2482.64706783259	14.8785597223533	2453.48562663495	2511.80850903023	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	RE	RE15	2500.70867623888	23.4312525080832	2454.78426521037	2546.63308726738	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	RE	RE16	2519.3406458619	37.227817769953	2446.37546380977	2592.30582791403	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	RE	RE17	2539.67330788645	42.3883278161389	2456.59371200194	2622.75290377096	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	RE	RE18	2561.38820680934	14.573246111225	2532.8251692935	2589.95124432518	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	RE	RE2	2622.60010919022	14.2491041547784	2594.67237823489	2650.52784014554	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	RE	RE3	2508.56606693575	26.9834346488552	2455.6795068448	2561.45262702669	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	RE	RE4	2549.04251319499	29.1808599453322	2491.84907866423	2606.23594772575	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	RE	RE5	2522.64211140532	14.4260152000422	2494.36764117281	2550.91658163783	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	RE	RE6	2598.63269144843	14.7966411270788	2569.63180774719	2627.63357514967	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	RE	RE7	2603.87193457286	25.8575655704933	2553.19203732681	2654.55183181891	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	RE	RE8	2557.41587141251	15.1398901375486	2527.74223201302	2587.08951081199	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	GI	GI1	2462.7065407747	39.5003743272196	2385.2872297175	2540.1258518319	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	GI	GI10	2487.28254173276	24.850096846156	2438.57724690196	2535.98783656356	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	GI	GI11	2499.87569120035	16.7594120106202	2467.02784725747	2532.72353514323	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	GI	GI12	2413.82920642411	23.6612150787565	2367.45407703929	2460.20433580893	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	GI	GI13	2493.95720642411	23.6513254386128	2447.60146037779	2540.31295247043	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	GI	GI14	2536.69472941511	28.2281237587491	2481.36862349682	2592.0208353334	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	GI	GI15	2522.26420642411	23.6513254386128	2475.90846037779	2568.61995247043	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	GI	GI2	2463.2318524764	21.9304815292799	2420.24889851539	2506.21480643741	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	GI	GI3	2408.4179787032	14.8804452537444	2379.25284193195	2437.58311547446	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	GI	GI4	2450.268493848	14.7038651538113	2421.449447713	2479.087539983	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	GI	GI5	2484.23104510762	15.0572155980865	2454.71944482792	2513.74264538732	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	GI	GI6	2482.81663191435	20.7627908349977	2442.12230965922	2523.51095416949	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	GI	GI7	2463.54520642411	23.4498426434629	2417.58435939979	2509.50605344843	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	GI	GI8	2473.10045534173	25.056448887562	2423.99071794164	2522.21019274182	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	GI	GI9	2453.17860312376	26.4919585500612	2401.25531848571	2505.10188776181	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU1	2505.93872232488	13.5559604158284	2479.369528134	2532.50791651575	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	MU	MU10	2484.02788648609	22.6595893589226	2439.61590743813	2528.43986553404	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MU	MU11	2399.72718236848	13.8031926397253	2372.67342192295	2426.78094281401	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU12	2485.40798498192	20.6663304282868	2444.90272164988	2525.91324831397	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU13	2476.49744065047	59.6868591940662	2359.51334627979	2593.48153502116	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU14	2509.17510874904	13.865975251582	2481.99829664542	2536.35192085267	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU15	2501.85788648609	22.6595893589226	2457.44590743813	2546.26986553404	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MU	MU16	2449.7532558095	51.3632729495297	2349.08309070032	2550.42342091868	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU17	2498.85223011279	24.4656118739716	2450.90051198006	2546.80394824551	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU18	2434.24276512416	13.7428477845336	2407.30727842146	2461.17825182686	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU19	2500.13518279615	13.7428477845336	2473.19969609345	2527.07066949885	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU2	2456.03530821929	13.4808211804318	2429.61338422362	2482.45723221496	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	MU	MU20	2517.57088648609	22.6595893589226	2473.15890743813	2561.98286553404	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MU	MU3	2508.75918379574	13.6565728400278	2481.99279287704	2535.52557471445	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU4	2502.33737566358	13.5543184299876	2475.77139970581	2528.90335162134	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	MU	MU5	2477.20324876714	13.4954867299684	2450.75258082257	2503.65391671172	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	MU	MU6	2485.45488648609	22.6595893589226	2441.04290743813	2529.86686553404	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MU	MU7	2428.37729581345	13.9311678639461	2401.07270853753	2455.68188308936	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU8	2501.15674791057	13.9311678639461	2473.85216063465	2528.46133518648	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MU	MU9	2467.57298092787	13.9311678639461	2440.26839365195	2494.87756820378	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MA	MA12	2511.63216286196	22.6844762970318	2467.17140631163	2556.0929194123	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MA	MA13	2503.94516286196	22.6844762970318	2459.48440631163	2548.4059194123	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MA	MA16	2461.24815890181	26.4816390917421	2409.3451000304	2513.15121777321	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MA	MA18	2528.22477479902	20.9122175977044	2487.23758147065	2569.21196812739	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MA	MA19	2448.89244887822	27.917524077224	2394.17510714933	2503.60979060711	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MA	MA20	2430.83617767611	14.6792993567484	2402.0652796186	2459.60707573362	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MA	MA21	2537.75016286196	22.6844762970318	2493.28940631163	2582.2109194123	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MA	MA23	2520.67716286196	22.6844762970318	2476.21640631163	2565.1379194123	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MA	MA26	2484.09028305667	38.9764533829291	2407.69783818103	2560.48272793232	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MA	MA27	2531.68116286196	22.6844762970318	2487.22040631163	2576.1419194123	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MA	MA28	2550.50816286196	22.6844762970318	2506.04740631163	2594.9689194123	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MA	MA3	2498.88069151656	15.4699750603788	2468.56009755649	2529.20128547664	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	MA	MA30	2551.65886001245	14.6792993567484	2522.88796195495	2580.42975806996	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	MA	MA31	2502.73216286196	22.6844762970318	2458.27140631163	2547.1929194123	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MA	MA32	2549.75116286196	22.6844762970318	2505.29040631163	2594.2119194123	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MA	MA33	2507.44616286196	22.6844762970318	2462.98540631163	2551.9069194123	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	MA	MA5	2475.44842671832	14.4098549472795	2447.20562999921	2503.69122343744	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	MA	MA6	2496.2808253847	19.4403905408762	2458.17836007919	2534.38329069021	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	MA	MA7	2533.7587563995	14.1338737510566	2506.0568728854	2561.46063991361	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	MA	MA9	2559.42517008252	27.0944617015111	2506.32100096706	2612.52933919798	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	UM	UM13	2481.44373713253	23.2082257329161	2435.95645055094	2526.93102371413	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	UM	UM17	2513.39983789799	57.9631848895734	2399.79408308519	2627.00559271079	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM18	2505.74679339371	14.4330113042093	2477.458611049	2534.03497573842	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM2	2435.17874295946	47.7718475488551	2341.54764228876	2528.80984363015	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	UM	UM20	2496.80335225056	14.6733766596251	2468.0440624661	2525.56264203501	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM21	2541.04931708796	17.0341742351905	2507.66294908061	2574.43568509531	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM22	2572.69589927983	24.2246103532935	2525.21653544786	2620.1752631118	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM23	2532.40504171686	14.6733766596251	2503.6457519324	2561.16433150132	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM24	2430.82719821951	18.2788831662725	2395.001245536	2466.65315090302	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	UM	UM25	2568.10473713253	23.2082257329161	2522.61745055094	2613.59202371413	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	UM	UM26	2512.03376639021	14.1578958673561	2484.28480039332	2539.7827323871	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM28	2541.12346195908	14.5095254898496	2512.68531456621	2569.56160935195	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM29	2489.01605838451	34.4830726370649	2421.43047793958	2556.60163882943	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM4	2530.69364950263	21.536021918246	2488.48382217261	2572.90347683266	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM5	2544.62169113693	64.3139273200788	2418.56870988525	2670.67467238861	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM6	2507.18199697321	22.8085984815675	2462.47796541151	2551.88602853492	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	UM	UM7	2572.66257595935	14.0585065901911	2545.10840936615	2600.21674255254	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	UM	UM8	2418.11977879655	58.8954703030931	2302.68677814994	2533.55277944316	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	UM	UM9	2536.1387437648	14.4330113042093	2507.85056142009	2564.42692610951	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA1	2400.16073051366	34.7901622615583	2331.9732654647	2468.34819556262	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	KA	KA10	2377.73258549807	32.8466948643165	2313.35424655283	2442.1109244433	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA11	2555.42526249382	22.6823240488657	2510.96872427238	2599.88180071527	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	KA	KA13	2444.89524860615	18.6392249742174	2408.36303895694	2481.42745825535	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA14	2477.49278330915	44.4306612218341	2390.41028750506	2564.57527911325	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA15	2510.49592104811	13.8558986738751	2483.33885867388	2537.65298342234	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA16	2489.64126249382	22.6823240488657	2445.18472427238	2534.09780071527	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	KA	KA17	2467.7997831094	14.3872616851783	2439.60126837029	2495.9982978485	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA18	2432.58583917337	14.0472071655513	2405.05381904551	2460.11785930122	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA2	2479.60978893137	21.2209312719349	2438.01752791998	2521.20204994276	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	KA	KA23	2397.43699483589	18.6630690362125	2360.85805168393	2434.01593798785	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA24	2436.8823281968	31.2244951050195	2375.68344235551	2498.08121403808	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA25	2469.04638157385	24.3903821892398	2421.24211091377	2516.85065223393	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA28	2458.81626249382	22.6823240488657	2414.35972427238	2503.27280071527	1233.19753743029	3.5416691048256e-160	1	1.94767441860465
lmers	WA_R	M	KA	KA29	2529.01269059462	16.0418363031077	2497.57126919464	2560.45411199459	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA3	2489.24852490605	44.1604436737397	2402.69564576421	2575.80140404789	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	KA	KA5	2421.47984838265	27.1645718561251	2368.2382658892	2474.72143087611	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
lmers	WA_R	M	KA	KA6	2509.12201026366	21.1593198835331	2467.65050535457	2550.59351517274	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA7	2454.17692959828	38.6265218140626	2378.47033799466	2529.88352120189	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	KA	KA9	2479.92401505687	32.0694610471808	2417.06902640078	2542.77900371295	1233.19753743029	3.5416691048256e-160	2	1.94767441860465
lmers	WA_R	M	VA	VA1	2438.48208936346	13.7672617266283	2411.49875221353	2465.46542651339	1233.19753743029	3.5416691048256e-160	3	1.94767441860465
