"Trait","Sex","Model","Q","P","P_bonf"
"CCRT","F","lmer",8.72882191585759,0.365686188364968,1
"CCRT","M","lmer",12.1850582862245,0.143136066456496,1
"CSM","F","lmer",1.04933500507238,0.99791704585895,1
"CSM","M","lmer",4.7331894067813,0.78567534018057,1
"DT_A","F","lmer",7.60793915554046,0.472673054321964,1
"DT_A","M","lmer",8.74584993135618,0.364187396120438,1
"Dia","F","glmer",1.43439332904573,0.993744457710443,1
"Dia","F","lmer",2.36303112920052,0.967812232095698,1
"DW","F","lmer",10.6235635666395,0.223954053693448,1
"DW","M","lmer",23.1209825768772,0.00321234203333262,0.0642468406666525
"Fec","F","lmer",3.54800371276073,0.895432316342263,1
"HSM","F","lmer",19.09653253958,0.0143518288397368,0.287036576794735
"HSM","M","lmer",23.1328666511575,0.00319778408266785,0.0639556816533569
"LS","F","lmer",11.7733723747858,0.161605482638451,1
"LS","M","lmer",26.1803370288401,0.000978202122623301,0.019564042452466
"Pgm_T4","F","lmer",6.1704807423131,0.628142080446135,1
"Pgm_T5","F","lmer",1.2542860781645,0.996076047036804,1
"Pgm_T6","F","lmer",6.8550572697281,0.552348754103776,1
"Pgm_Total","F","lmer",5.49059757175107,0.704081480864068,1
"SR","F","lmer",9.5665605937162,0.296774092006785,1
"SR","M","lmer",7.8128941408572,0.451957522771376,1
"TL","F","lmer",1.807958488605,0.986343798344467,1
"TL","M","lmer",6.38240358535764,0.60447887717356,1
"Via","NA","lmer",100.393008085631,3.54820097622152e-18,7.09640195244304e-17
"WA_L","F","lmer",6.1976023244221,0.625108102762127,1
"WA_L","M","lmer",9.06785471236829,0.336604210647613,1
"WA_R","F","lmer",6.09690492095805,0.636377916271365,1
"WA_R","M","lmer",11.389927106144,0.180568833519768,1
