"Models","Trait","Sex","Population","Estimate","SE","LLEst","ULEst","Q","P","N_lab","N_lab_av"
"lmers","CCRT","F","YE",1686.68660481955,209.173926383756,1276.71324260256,2096.65996703655,8.68497825317339,0.369563640188106,2,2
"lmers","CCRT","F","RE",1534.21323895517,109.362518990078,1319.86664047604,1748.5598374343,8.68497825317339,0.369563640188106,2,2
"lmers","CCRT","F","GI",1516.6124282516,60.9803210423068,1397.09319524299,1636.13166126021,8.68497825317339,0.369563640188106,2,2
"lmers","CCRT","F","MU",1646.32076027287,119.780931272481,1411.55444894414,1881.0870716016,8.68497825317339,0.369563640188106,2,2
"lmers","CCRT","F","MA",1541.10292650771,249.376800829417,1052.33337830223,2029.87247471318,8.68497825317339,0.369563640188106,2,2
"lmers","CCRT","F","UM",1786.28780831569,83.7005427100066,1622.23775911762,1950.33785751376,8.68497825317339,0.369563640188106,2,2
"lmers","CCRT","F","KA",1515.42209699156,133.280501589633,1254.19711403445,1776.64707994868,8.68497825317339,0.369563640188106,2,2
"lmers","CCRT","F","VA",1556.03228552801,159.261262556803,1243.8859467843,1868.17862427172,8.68497825317339,0.369563640188106,2,2
"lmers","CCRT","F","AK",1701.55621569455,125.524531587021,1455.53265460773,1947.57977678137,8.68497825317339,0.369563640188106,2,2
"lmers","CCRT","M","YE",1729.24619084426,87.0627103075173,1558.60641424508,1899.88596744344,12.1690426472142,0.143819484827642,2,2
"lmers","CCRT","M","RE",1542.95005797468,53.60864028305,1437.87905375974,1648.02106218962,12.1690426472142,0.143819484827642,2,2
"lmers","CCRT","M","GI",1752.88663306751,99.9945125598299,1556.9009897986,1948.87227633641,12.1690426472142,0.143819484827642,2,2
"lmers","CCRT","M","MU",1690.64043211673,48.5130642903383,1595.556573328,1785.72429090547,12.1690426472142,0.143819484827642,2,2
"lmers","CCRT","M","MA",1479.44043282912,154.495611416747,1176.6345986828,1782.24626697544,12.1690426472142,0.143819484827642,2,2
"lmers","CCRT","M","UM",1610.29409604293,50.5281055861827,1511.26082888697,1709.32736319888,12.1690426472142,0.143819484827642,2,2
"lmers","CCRT","M","KA",1598.62117416719,157.751990107128,1289.4329550677,1907.80939326668,12.1690426472142,0.143819484827642,2,2
"lmers","CCRT","M","VA",1526.67895922226,48.5283911404277,1431.56506035935,1621.79285808517,12.1690426472142,0.143819484827642,2,2
"lmers","CCRT","M","AK",1666.71669731455,109.858515614873,1451.39796331436,1882.03543131473,12.1690426472142,0.143819484827642,2,2
"lmers","CSM","F","YE",1.15524939988978,0.132582633374379,0.895392213500523,1.41510658627905,1.05116542636908,0.99790398116019,3,3
"lmers","CSM","F","RE",1.11245880058436,0.131473953420695,0.854774586974704,1.37014301419402,1.05116542636908,0.99790398116019,3,3
"lmers","CSM","F","GI",1.11215588764,0.100695910843727,0.914795528995844,1.30951624628417,1.05116542636908,0.99790398116019,3,3
"lmers","CSM","F","MU",1.15551600126582,0.138046838752182,0.884949169131936,1.42608283339971,1.05116542636908,0.99790398116019,3,3
"lmers","CSM","F","MA",1.11744256080027,0.146793018865997,0.829733530641005,1.40515159095953,1.05116542636908,0.99790398116019,3,3
"lmers","CSM","F","UM",1.03168650495758,0.127302002300571,0.782179165288622,1.28119384462653,1.05116542636908,0.99790398116019,3,3
"lmers","CSM","F","KA",1.13172977446161,0.164144679014477,0.81001211533935,1.45344743358388,1.05116542636908,0.99790398116019,3,3
"lmers","CSM","F","VA",1.16170784133398,0.158097825632624,0.851841797059941,1.47157388560801,1.05116542636908,0.99790398116019,3,3
"lmers","CSM","F","AK",1.19321879596376,0.117692653035922,0.962545434768388,1.42389215715914,1.05116542636908,0.99790398116019,3,3
"lmers","CSM","M","YE",1.18679561455192,0.0996309919765007,0.991522458533978,1.38206877056986,4.72066426307484,0.786971948114996,3,3
"lmers","CSM","M","RE",1.00809157650409,0.0761282307872279,0.858882985954367,1.15730016705381,4.72066426307484,0.786971948114996,3,3
"lmers","CSM","M","GI",1.04316514455758,0.0551886618682275,0.934997354940896,1.15133293417427,4.72066426307484,0.786971948114996,3,3
"lmers","CSM","M","MU",1.07254488579228,0.124975284868014,0.827597828493337,1.31749194309122,4.72066426307484,0.786971948114996,3,3
"lmers","CSM","M","MA",1.00756375764631,0.0584726299329161,0.892959508896455,1.12216800639616,4.72066426307484,0.786971948114996,3,3
"lmers","CSM","M","UM",0.946650353957568,0.0698738468462788,0.809700130677594,1.08360057723754,4.72066426307484,0.786971948114996,3,3
"lmers","CSM","M","KA",1.05410570848809,0.0519140756136714,0.952355989994604,1.15585542698157,4.72066426307484,0.786971948114996,3,3
"lmers","CSM","M","VA",1.01865893963706,0.0926080517213038,0.837150493584878,1.20016738568923,4.72066426307484,0.786971948114996,3,3
