"Models","Trait","Sex","Q","P","Min_lab","Max_lab","P_bonf"
"lmers","CCRT","F",8.68497825317339,0.369563640188106,2,2,1
"lmers","CCRT","M",12.1690426472142,0.143819484827642,2,2,1
"lmers","CSM","F",1.05116542636908,0.99790398116019,3,3,1
"lmers","CSM","M",4.72066426307484,0.786971948114996,3,3,1
"lmers","DT_A","F",7.60790614135452,0.472676428657088,5,6,1
"lmers","DT_A","M",8.74572666864778,0.364198231236199,5,6,1
"lmers","DT_P","NA",21.1293900459731,0.00681154398939195,1,1,0.177100143724191
"glmers","Dia","F",1.43439332904573,0.993744457710443,3,3,1
"lmers","Dia","F",2.36391711962856,0.967774856470298,3,3,1
"lmers","DW","F",10.6235635666395,0.223954053693448,3,3,1
"lmers","DW","M",23.1209825768772,0.00321234203333262,3,3,0.0835208928666482
"lmers","Fec","F",3.53538941461964,0.896425789024475,2,2,1
"lmers","HSM","F",19.09653253958,0.0143518288397368,2,2,0.373147549833156
"lmers","HSM","M",23.1328666511575,0.00319778408266785,2,2,0.083142386149364
"lmers","LS","F",11.7733723747858,0.161605482638451,3,3,1
"lmers","LS","M",26.1803370288401,0.000978202122623301,3,3,0.0254332551882058
"lmers","LA_AbsPhase","B",20.3033933937752,0.00924717716442268,1,1,0.24042660627499
"lmers","LA_Activity","B",36.6916908179998,1.31129011307832e-05,1,1,0.000340935429400362
"lmers","LA_CircPhase","B",24.8041260343053,0.0016778949699361,1,1,0.0436252692183386
"lmers","LA_NDlog2","B",21.8188040133329,0.00526282559485734,1,1,0.136833465466291
"lmers","LA_Period","B",18.1444362330162,0.0201693143293624,1,1,0.524402172563422
"lmers","Pgm_T4","F",6.17047291933493,0.628142955742337,3,3,1
"lmers","Pgm_T5","F",1.25428599072529,0.996076047996779,3,3,1
"lmers","Pgm_T6","F",6.85506545452343,0.552347862415678,3,3,1
"lmers","Pgm_Total","F",5.49058586737742,0.704082777050747,3,3,1
"lmers","SR","F",9.5665605937162,0.296774092006785,3,3,1
"lmers","SR","M",7.8128941408572,0.451957522771376,3,3,1
"lmers","TL","F",1.91225230113753,0.983584769194267,2,3,1
"lmers","TL","M",24.2995940194652,0.00204108705077645,1,2,0.0530682633201878
"lmers","Via","NA",100.094525400689,4.08340376758202e-18,5,6,1.06168497957132e-16
"lmers","WA_L","F",91.9414731461875,1.87539239246788e-16,3,3,4.87602022041648e-15
"lmers","WA_L","M",96.7601911573907,1.95811043198928e-17,3,3,5.09108712317213e-16
"lmers","WA_R","F",89.0645549663958,7.1998205451855e-16,3,3,1.87195334174823e-14
"lmers","WA_R","M",96.0171708780847,2.77556239556577e-17,3,3,7.216462228471e-16
