Model,Trait,Lab,Sex,Population,Line,Coef,SE
lmer_pop,CCRT,Vieira,F,AK,AK1,1726.804742,141.1236178
lmer_pop,CCRT,Vieira,F,AK,AK10,1454.368742,141.3799947
lmer_pop,CCRT,Vieira,F,AK,AK11,1543.101742,140.8922714
lmer_pop,CCRT,Vieira,F,AK,AK12,1424.492742,141.3799947
lmer_pop,CCRT,Vieira,F,AK,AK13,1478.466742,145.3196646
lmer_pop,CCRT,Vieira,F,AK,AK14,1759.097742,140.8922714
lmer_pop,CCRT,Vieira,F,AK,AK15,1739.008742,150.2391277
lmer_pop,CCRT,Vieira,F,AK,AK16,1421.059742,141.2874001
lmer_pop,CCRT,Vieira,F,AK,AK17,1513.675742,141.2874001
lmer_pop,CCRT,Vieira,F,AK,AK18,1360.776742,140.8922714
lmer_pop,CCRT,Vieira,F,AK,AK19,1454.563742,150.0999838
lmer_pop,CCRT,Vieira,F,AK,AK2,1571.854742,141.3799947
lmer_pop,CCRT,Vieira,F,AK,AK20,1667.735742,141.6142228
lmer_pop,CCRT,Vieira,F,AK,AK3,1552.392742,141.1236178
lmer_pop,CCRT,Vieira,F,AK,AK4,1470.072742,141.2874001
lmer_pop,CCRT,Vieira,F,AK,AK5,1678.195742,141.1236178
lmer_pop,CCRT,Vieira,F,AK,AK6,1518.963742,141.1236178
lmer_pop,CCRT,Vieira,F,AK,AK7,1933.832742,140.8922714
lmer_pop,CCRT,Vieira,F,AK,AK8,1592.928742,141.3799947
lmer_pop,CCRT,Vieira,F,AK,AK9,1779.041742,140.8922714
lmer_pop,CCRT,Vieira,F,GI,GI1,1470.602504,146.9919582
lmer_pop,CCRT,Vieira,F,GI,GI10,1559.503504,146.9919582
lmer_pop,CCRT,Vieira,F,GI,GI11,1627.752504,147.1906844
lmer_pop,CCRT,Vieira,F,GI,GI12,1382.469504,147.6840943
lmer_pop,CCRT,Vieira,F,GI,GI13,1376.775504,146.9919582
lmer_pop,CCRT,Vieira,F,GI,GI15,1637.308504,147.3707333
lmer_pop,CCRT,Vieira,F,GI,GI2,1587.565504,147.6840943
lmer_pop,CCRT,Vieira,F,GI,GI3,1481.422504,146.9919582
lmer_pop,CCRT,Vieira,F,GI,GI4,1841.065504,146.9919582
lmer_pop,CCRT,Vieira,F,GI,GI5,1351.178504,146.9919582
lmer_pop,CCRT,Vieira,F,GI,GI7,1421.042504,147.1906844
lmer_pop,CCRT,Vieira,F,GI,GI8,1460.110504,147.2137192
lmer_pop,CCRT,Vieira,F,GI,GI9,1653.013504,147.2137192
lmer_pop,CCRT,Vieira,F,KA,KA1,1377.929758,145.0700145
lmer_pop,CCRT,Vieira,F,KA,KA10,1361.876758,145.2708713
lmer_pop,CCRT,Vieira,F,KA,KA11,1376.596758,140.93448
lmer_pop,CCRT,Vieira,F,KA,KA13,1391.938758,140.93448
lmer_pop,CCRT,Vieira,F,KA,KA14,1340.332758,145.0700145
lmer_pop,CCRT,Vieira,F,KA,KA15,1460.824758,140.6984376
