Population,Line,CCRT_F,CCRT_M,CSM_F,CSM_M,DT_A_F,DT_A_M,DT_P_NA,Dia_F,DW_F,DW_M,Fec_F,HSM_F,HSM_M,LS_F,LS_M,LA_Activity_B,LA_CircPhase_B,LA_NDlog2_B,LA_Period_B,Pgm_T4_F,Pgm_T5_F,Pgm_T6_F,Pgm_Total_F,SR_F,SR_M,TL_F,TL_M,Via_NA,WA_L_F,WA_L_M,WA_R_F,WA_R_M
YE,YE11,1740.780147,1830.576355,1.327562609,1.196398512,235.4731605,239.1485776,144.083246,0.97333395,0.419274073,0.226008376,56.7085148,288.5786718,261.6935422,41.36082785,39.98468549,31.56564087,12.83222118,0.013851778,24.10622603,0.428771499,0.501624826,0.631866803,0.524979511,76.46131862,49.81253092,986.5295463,854.372792,0.610406932,2829.459586,2437.488691,2838.886091,2456.541991
YE,YE13,1781.788691,1656.55067,1.226038789,1.158426267,226.772595,230.1101179,132.163246,0.844711425,0.448940507,0.263239911,62.46031803,359.6436977,346.8131464,47.45551036,50.05945963,38.87564087,12.73422118,0.139851778,24.14122603,0.45321084,0.585045303,0.681487249,0.561508665,81.60248643,62.42084587,963.0335573,827.5689634,0.900836616,2853.720957,2450.399834,2848.772317,2457.101066
YE,YE14,1671.897415,1657.121166,0.982446066,0.999653328,225.1444302,225.8183741,127.666246,1.781549169,0.439679576,0.256488444,58.15972617,365.1005135,332.2399219,41.47025,51.00944855,41.75564087,12.77722118,-0.068148222,24.08722603,0.427710464,0.378072778,0.311215593,0.394110378,65.89597586,55.07399744,985.2989211,833.8413143,0.884919978,2736.097442,2392.328557,2736.519656,2391.013954
YE,YE15,1362.911245,1652.728506,1.33034486,1.305624416,225.2086293,229.9095695,134.133246,1.634382014,0.445939772,0.258796375,61.72849091,351.976343,318.0791226,43.81979382,46.66906348,43.47564087,12.83222118,-0.018148222,24.10522603,0.463826506,0.527464082,0.497632455,0.513084886,80.48212407,53.36894195,1014.577143,841.616792,0.860619503,2877.534977,2453.582925,2878.922639,2454.841042
YE,YE19,1472.411407,1779.762271,1.267545977,1.302668767,222.2044712,228.1960801,147.718246,2.22901089,0.421563421,0.22192525,57.29023559,366.701416,311.6188049,49.25733343,49.89907314,43.76264087,12.85122118,-0.012148222,24.03122603,0.446928097,0.586169808,0.765225382,0.604331456,81.87580483,55.83780116,980.3120082,843.8053525,0.899402854,2841.394002,2418.462168,2841.996908,2424.043197
YE,YE20,1591.951376,1699.020746,1.233099952,1.077373832,224.5176382,228.0411374,133.884246,1.891909426,0.448106844,0.248156857,33.11559055,331.8455135,321.1489219,45.64925,45.35544855,42.89864087,12.83422118,0.005851778,24.10022603,0.414280236,0.63900488,0.770421208,0.613512784,74.97999202,52.45362263,968.0947118,810.2710118,0.708077345,2825.878625,2458.564073,2830.409629,2458.450938
YE,YE21,1708.446733,1633.440916,1.114702308,1.034645823,226.4919627,230.5007757,135.402246,1.557671219,0.481358902,0.250933621,30.85343639,375.153905,323.8236596,46.29862192,47.84171569,33.62364087,12.82922118,0.393851778,24.07622603,0.513671243,0.72664192,0.839402234,0.679711711,84.71548467,56.23001096,1016.394192,NA,0.685812247,2876.351226,2510.697654,2876.712014,2506.150189
YE,YE22,1709.371074,1695.337405,1.239633267,1.287283855,223.4336547,229.7818601,121.594246,1.920038865,0.437205959,0.243447421,74.49373373,318.8367846,198.2395452,49.73966042,50.84434677,25.89964087,12.84922118,-0.313148222,24.10122603,0.536397938,0.719573296,0.863432151,0.700307219,82.27475243,58.36532006,977.765273,824.9820118,0.834743869,2819.703552,2445.154113,2819.964761,2446.377754
YE,YE23,1795.400254,2016.186321,1.190551424,1.308859887,223.6788219,231.6503683,137.315246,1.785410359,0.456385032,0.23963245,69.54863292,309.8157673,263.4534756,47.46634403,46.05064982,NA,NA,NA,NA,0.552991652,0.674202034,0.666838682,0.633361417,70.40621405,50.23922155,1013.235192,NA,0.770855766,2786.442256,2443.374941,2785.805529,2442.835404
YE,YE24,1558.837872,1623.848154,1.132746851,0.987120106,232.5192192,236.5691188,125.844246,1.666573565,0.459140832,0.268054736,84.19412878,363.3612121,344.9777536,44.96765761,46.06956926,29.76364087,12.79622118,0.160851778,24.09522603,0.482410031,0.625873399,0.666341601,0.596603332,78.84304761,61.99517362,1040.020192,NA,0.804893826,2817.323848,2466.142236,2818.755644,2468.253251
