"","Supervisor.PI","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Schmidt","AK","AK1",2,0.942809041582063,2,1,4,0.298142396999972,0.471404520791032,2
"2","Schmidt","AK","AK10",2.3,0.674948557710553,2,1,3,0.213437474581095,0.293455894656762,2
"3","Schmidt","AK","AK11",1.7,0.674948557710553,2,1,3,0.213437474581095,0.397028563359149,2
"4","Schmidt","AK","AK12",2.3,1.25166555703457,2,1,5,0.395811402901264,0.544202416101988,3
"5","Schmidt","AK","AK13",3.2,0.421637021355784,3,3,4,0.133333333333333,0.131761569173682,3
"6","Schmidt","AK","AK14",1.2,0.421637021355784,1,1,2,0.133333333333333,0.351364184463153,1
"7","Schmidt","AK","AK15",2.4,0.843274042711568,3,1,3,0.266666666666667,0.351364184463153,3
"8","Schmidt","AK","AK16",2.8,1.31656117720877,3,0,5,0.416333199893227,0.470200420431702,3
"9","Schmidt","AK","AK17",2.1,0.737864787372622,2,1,3,0.233333333333333,0.351364184463153,2
"10","Schmidt","AK","AK18",1,0,1,1,1,0,0,1
"11","Schmidt","AK","AK2",1.9,0.567646212197547,2,1,3,0.17950549357115,0.298761164314498,2
"12","Schmidt","AK","AK20",1.7,0.674948557710553,2,1,3,0.213437474581095,0.397028563359149,2
"13","Schmidt","AK","AK21",3.8,0.788810637746616,4,3,5,0.249443825784929,0.207581746775425,4
"14","Schmidt","AK","AK3",2.3,0.674948557710553,2,2,4,0.213437474581095,0.293455894656762,2
"15","Schmidt","AK","AK4",2.7,0.948683298050514,3,1,4,0.3,0.351364184463153,3
"16","Schmidt","AK","AK5",1.6,1.07496769977314,1,1,4,0.339934634239519,0.671854812358212,1
"17","Schmidt","AK","AK6",3.1,0.567646212197547,3,2,4,0.17950549357115,0.183111681354047,3
"18","Schmidt","AK","AK7",1.8,1.03279555898864,1.5,1,4,0.32659863237109,0.573775310549247,1
"19","Schmidt","AK","AK8",2.3,0.948683298050514,2.5,0,3,0.3,0.412470999152397,3
"20","Schmidt","AK","AK9",3.2,0.632455532033676,3,2,4,0.2,0.197642353760524,3
"21","Schmidt","GI","GI1",1,0.471404520791032,1,0,2,0.149071198499986,0.471404520791032,1
"22","Schmidt","GI","GI10",2.2,0.632455532033676,2,1,3,0.2,0.287479787288034,2
"23","Schmidt","GI","GI11",1.8,0.788810637746616,2,1,3,0.249443825784929,0.438228132081453,2
"24","Schmidt","GI","GI12",2,1.05409255338946,2,1,4,0.333333333333333,0.52704627669473,1
"25","Schmidt","GI","GI13",2,0.816496580927726,2,1,3,0.258198889747161,0.408248290463863,2
"26","Schmidt","GI","GI14",1.3,0.483045891539648,1,1,2,0.152752523165195,0.371573762722806,1
"27","Schmidt","GI","GI15",3.2,0.918936583472681,3,2,5,0.290593262902712,0.287167682335213,3
"28","Schmidt","GI","GI2",2.4,0.966091783079296,3,1,3,0.305505046330389,0.402538242949707,3
"29","Schmidt","GI","GI3",1.16666666666667,0.408248290463863,1,1,2,0.166666666666667,0.349927106111883,1
"30","Schmidt","GI","GI5",2.3,1.05934990547138,2.5,1,4,0.334995854037363,0.460586915422339,3
