"","Supervisor.PI","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Schmidt","AK","AK1",8.4,4.88080139139283,7,2,18,1.54344492037203,0.581047784689623,7
"2","Schmidt","AK","AK10",9.6,3.53396220818629,9.5,5,18,1.11753697428268,0.368121063352738,11
"3","Schmidt","AK","AK11",6.3,2.00277585143997,6,3,10,0.633333333333333,0.317900928799996,6
"4","Schmidt","AK","AK12",9.7,6.1653151672166,8,3,24,1.94964384211863,0.635599501774908,9
"5","Schmidt","AK","AK13",10.2,3.39280283999986,8.5,7,17,1.07289846262874,0.332627729411751,8
"6","Schmidt","AK","AK14",7.9,3.78447119452933,7,3,16,1.19675487140108,0.479046986649282,6
"7","Schmidt","AK","AK15",7.6,2.11869981094276,7,4,11,0.669991708074726,0.278776290913521,7
"8","Schmidt","AK","AK16",10.8,2.34757558155453,10.5,8,15,0.74236858171067,0.217368109403198,11
"9","Schmidt","AK","AK17",5.9,1.79195734076208,5.5,4,10,0.566666666666667,0.303721583180014,5
"10","Schmidt","AK","AK18",5.7,3.62246079650591,4,2,13,1.14552268516264,0.635519437983493,3
"11","Schmidt","AK","AK2",9,2.49443825784929,9,5,13,0.788810637746615,0.277159806427699,10
"12","Schmidt","AK","AK20",7.6,2.91356978445495,7,4,13,0.92135166407235,0.38336444532302,7
"13","Schmidt","AK","AK21",13.9,2.68535120814971,13.5,10,17,0.8491826135238,0.19319073439926,17
"14","Schmidt","AK","AK3",8.4,2.45854518861144,7.5,6,13,0.77746025264604,0.292683951025171,7
"15","Schmidt","AK","AK4",12,6.0184900284226,12.5,5,21,1.90321365648269,0.501540835701883,21
"16","Schmidt","AK","AK5",5.8,3.82390143992,5,2,13,1.20922380981447,0.659293351710344,6
"17","Schmidt","AK","AK6",15.2,3.48966728754731,14,10,22,1.10352969048312,0.229583374180744,13
"18","Schmidt","AK","AK7",7.1,4.14862761779255,5,3,16,1.31191124361029,0.584313748984867,5
"19","Schmidt","AK","AK8",7.6,4.22163738639668,7,0,16,1.33499895963339,0.555478603473248,7
"20","Schmidt","AK","AK9",10.5,2.50554939639548,10.5,7,14,0.792324288266981,0.238623752037665,13
"21","Schmidt","GI","GI1",3.4,1.57762127549323,3,0,6,0.498887651569859,0.464006257498009,3
"22","Schmidt","GI","GI10",3.2,1.61932770686548,2,2,6,0.51207638319124,0.506039908395463,2
"23","Schmidt","GI","GI11",4.3,3.05686840482943,3.5,1,11,0.966666666666667,0.710899629030101,4
"24","Schmidt","GI","GI12",8.8,3.58391468152416,8.5,3,16,1.13333333333333,0.407263031991382,11
"25","Schmidt","GI","GI13",7,3.55902608401044,8,1,12,1.12546286774228,0.508432297715777,8
"26","Schmidt","GI","GI14",4.5,1.08012344973464,4.5,3,6,0.341565025531987,0.240027433274365,5
"27","Schmidt","GI","GI15",18.2,2.48551358430763,18.5,14,22,0.785988408170106,0.136566680456463,19
"28","Schmidt","GI","GI2",10.1,4.72463990397387,8,5,20,1.49406232206766,0.467786129106324,7
"29","Schmidt","GI","GI3",4.5,2.25831795812724,5,1,7,0.921954445729289,0.501848435139387,6
"30","Schmidt","GI","GI5",17,3.62092683040007,18,11,21,1.14503760248784,0.212995695905887,21
"31","Schmidt","GI","GI7",9.75,2.91547594742265,9.5,5,14,1.03077640640442,0.299023174094631,8
"32","Schmidt","GI","GI8",9.8,4.98442017133833,11.5,3,15,1.57621205567159,0.508614303197789,15
