"","Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Schmidt","1","AK","AK1",4.4,2.17050941281329,4,1,8,0.686375342732467,0.493297593821203,4
"2","Schmidt","1","AK","AK10",4.5,1.08012344973464,4,3,7,0.341565025531987,0.240027433274365,4
"3","Schmidt","1","AK","AK11",3.1,0.737864787372622,3,2,4,0.233333333333333,0.238020899152459,3
"4","Schmidt","1","AK","AK12",4.2,2.5298221281347,3.5,2,10,0.8,0.602338601936834,2
"5","Schmidt","1","AK","AK13",5.4,1.57762127549323,5,3,8,0.498887651569859,0.292152088054302,5
"6","Schmidt","1","AK","AK14",4,1.56347191994114,4,2,7,0.494413232473044,0.390867979985286,5
"7","Schmidt","1","AK","AK15",3.7,0.483045891539648,4,3,4,0.152752523165195,0.130552943659364,4
"8","Schmidt","1","AK","AK16",4.5,0.849836585598797,4,4,6,0.268741924943285,0.188852574577511,4
"9","Schmidt","1","AK","AK17",2.9,0.737864787372622,3,2,4,0.233333333333333,0.254436133576766,3
"10","Schmidt","1","AK","AK18",3.6,2.45854518861144,2.5,1,9,0.77746025264604,0.682929219058732,2
"11","Schmidt","1","AK","AK2",4.7,1.15950180872841,5,3,6,0.366666666666667,0.246702512495405,6
"12","Schmidt","1","AK","AK20",4.3,0.948683298050514,4,3,6,0.3,0.220624022802445,4
"13","Schmidt","1","AK","AK21",8.2,0.918936583472681,8.5,7,9,0.290593262902712,0.112065437008864,9
"14","Schmidt","1","AK","AK3",4.7,1.05934990547138,4.5,3,6,0.334995854037363,0.225393596908804,4
"15","Schmidt","1","AK","AK4",5.6,2.31900361745681,5.5,2,9,0.733333333333333,0.414107788831574,9
"16","Schmidt","1","AK","AK5",2.8,1.87379590967403,2,1,7,0.592546294487706,0.669212824883581,2
"17","Schmidt","1","AK","AK6",6.8,1.13529242439509,7,5,9,0.3590109871423,0.166954768293396,7
"18","Schmidt","1","AK","AK7",4.1,1.96920739836559,3,2,8,0.62271805640898,0.480294487406242,3
"19","Schmidt","1","AK","AK8",4.1,1.91195071996,4,0,7,0.604611904907235,0.466329443892682,4
"20","Schmidt","1","AK","AK9",5.3,1.15950180872841,5,4,7,0.366666666666667,0.218773926175171,5
"21","Schmidt","1","GI","GI1",2.1,0.875595035770913,2,0,3,0.276887462097269,0.416950017033768,2
"22","Schmidt","1","GI","GI10",1,1.15470053837925,0.5,0,3,0.365148371670111,1.15470053837925,0
"23","Schmidt","1","GI","GI11",2.3,2.26323269290239,2,0,8,0.715697018452796,0.984014214305389,2
"24","Schmidt","1","GI","GI12",4.6,1.89736659610103,4,2,8,0.6,0.412470999152397,4
"25","Schmidt","1","GI","GI13",3,1.63299316185545,4,0,4,0.516397779494322,0.544331053951817,4
"26","Schmidt","1","GI","GI14",2.2,0.788810637746616,2,1,3,0.249443825784929,0.358550289884825,3
"27","Schmidt","1","GI","GI15",8.7,0.674948557710553,9,8,10,0.213437474581095,0.0775802939897187,9
"28","Schmidt","1","GI","GI2",5.2,2.44040069569642,4.5,2,10,0.771722460186015,0.469307826095465,4
"29","Schmidt","1","GI","GI3",3.33333333333333,2.16024689946929,3.5,0,6,0.881917103688197,0.648074069840786,6
"30","Schmidt","1","GI","GI5",7.6,1.17378779077727,7.5,6,9,0.371184290855335,0.154445761944377,9
"31","Schmidt","1","GI","GI7",4.375,1.06066017177982,4,3,6,0.375,0.242436610692531,4
"32","Schmidt","1","GI","GI8",4.8,2.14993539954628,6,1,7,0.679869268479038,0.447903208238808,6
"33","Schmidt","1","GI","GI9",4.66666666666667,1.86189867250253,4,3,7,0.760116950066092,0.398978286964827,7
"34","Schmidt","1","KA","KA1",2.4,2.01108041719978,1.5,0,6,0.635959467611297,0.837950173833242,1
"35","Schmidt","1","KA","KA10",5.6,2.31900361745681,4.5,3,10,0.733333333333333,0.414107788831574,4
"36","Schmidt","1","KA","KA11",4.1,1.59513148186739,4.5,2,7,0.504424865014052,0.389056458992046,5
"37","Schmidt","1","KA","KA13",1.2,1.22927259430572,1,0,4,0.38873012632302,1.0243938285881,1
"38","Schmidt","1","KA","KA14",6.5,1.08012344973464,6.5,5,8,0.341565025531987,0.166172838420714,7
"39","Schmidt","1","KA","KA16",4.2,2.97396106975939,3,1,10,0.940449065311059,0.708085968990332,2
"40","Schmidt","1","KA","KA17",4.2,2.44040069569642,3.5,1,8,0.771722460186015,0.581047784689623,7
"41","Schmidt","1","KA","KA18",4.5,1.77951304200522,4.5,2,7,0.562731433871138,0.395447342667826,6
"42","Schmidt","1","KA","KA2",7.7,1.88856206322871,8,3,9,0.597215762238964,0.245267800419312,9
"43","Schmidt","1","KA","KA23",7,0.816496580927726,7,6,8,0.258198889747161,0.116642368703961,7
"44","Schmidt","1","KA","KA24",3,0.666666666666667,3,2,4,0.210818510677892,0.222222222222222,3
"45","Schmidt","1","KA","KA25",4.6,2.63312235441753,4.5,2,8,0.832666399786453,0.572417903134246,2
"46","Schmidt","1","KA","KA28",6.3,1.49443411809733,6,4,9,0.472581562625261,0.237211764777353,6
"47","Schmidt","1","KA","KA29",8.9,0.875595035770913,9,7,10,0.276887462097269,0.098381464693361,9
"48","Schmidt","1","KA","KA3",4.8,1.75119007154183,5,2,7,0.553774924194538,0.364831264904547,6
"49","Schmidt","1","KA","KA5",6.1,1.28668393770792,6.5,3,7,0.406885187191123,0.210931793066872,7
"50","Schmidt","1","KA","KA6",6.3,1.05934990547138,6,5,8,0.334995854037363,0.168150778646251,6
"51","Schmidt","1","KA","KA7",5.4,2.95145914949049,6.5,1,9,0.933333333333333,0.546566509164905,7
"52","Schmidt","1","KA","KA9",2.8,0.788810637746616,3,2,4,0.249443825784929,0.281718084909506,3
"53","Schmidt","1","MA","MA12",6.1,1.10050493461461,6.5,4,7,0.348010216963685,0.180410645018789,7
