"","Supervisor.PI","Batch","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Abbott","1","AK",14.2442846153846,6.31054960279512,13.6005,1.424,53.584,0.391363672547364,0.4430232737683,12.942
"2","Abbott","1","GI",13.2525421686747,6.41091102456411,12.332,2.349,36.201,0.497583196197196,0.483749528427664,17.652
"3","Abbott","1","KA",10.0886814159292,8.26939904925569,6.776,0.068,40.919,0.550072242382725,0.819670946908779,18.767
"4","Abbott","1","MA",21.6003474178404,8.0125554365642,20.988,6.624,72.831,0.5490112522001,0.370945674232369,29.062
"5","Abbott","1","MU",15.2630144927536,6.48610872428794,14.527,0.998,40.797,0.450815720051793,0.424955943491197,20.88
"6","Abbott","1","RE",17.4678157894737,7.3623076288601,15.824,1.069,48.967,0.534117933074176,0.421478433113355,14.607
"7","Abbott","1","UM",14.5645825688073,7.36420459538191,14.268,0.314,38.352,0.498766870780604,0.505624144090039,9.097
"8","Abbott","1","VA",7.54098734177215,4.98751385664021,6.427,0.235,36.053,0.323973839063243,0.661387379476509,6.012
"9","Abbott","1","YE",14.9528855932203,5.47373567094412,14.118,2.693,30.994,0.356309842998552,0.366065508681877,14.384
"10","Gibert","1","AK",21.0916262626263,10.7211972122995,19.697,1.386,50.293,1.07752086232126,0.508315341776044,13.643
"11","Gibert","1","GI",22.79548,10.4687854731303,20.343,6.526,80.251,1.04687854731303,0.459248301554971,23.068
"12","Gibert","1","KA",19.11108,8.62141262614793,17.478,5.608,46.998,0.862141262614794,0.45112116249568,12.558
"13","Gibert","1","MA",19.2791888888889,9.25724448031997,16.964,0.536,42.533,0.975799247161096,0.480167735980592,33.436
"14","Gibert","1","MU",23.62509,9.53733341922122,21.3765,3.618,50.129,0.953733341922122,0.403695114779297,21.221
"15","Gibert","1","RE",17.91313,9.94307134393624,15.7105,2.872,47.736,0.994307134393624,0.555071690091918,12.733
"16","Gibert","1","UM",21.2784666666667,10.4542282443167,19.5705,2.838,56.137,1.1019724143768,0.491305525350357,17.247
"17","Gibert","1","VA",20.4920888888889,9.02740579238158,20.1755,3.793,44.227,0.95157212221743,0.440531262641378,18.869
"18","Gibert","1","YE",27.538347826087,11.8034581005074,25.9495,3.32,56.181,1.23059557483727,0.428618963455973,40.258
"19","Gibert","2","AK",26.5780333333333,12.3984266213205,24.079,5.507,66.179,1.30690891752796,0.46649149942072,21.332
"20","Gibert","2","GI",23.3496833333333,8.38726834683089,23.555,5.613,46.761,1.08279168758162,0.359202659286495,17.999
"21","Gibert","2","KA",21.5418363636364,8.66025853537774,20.7255,7.315,48.823,0.82572325266775,0.402020440095658,32.65
"22","Gibert","2","MA",27.0702452830189,10.4590173114024,27.501,5.618,54.475,1.01586956487151,0.386365812428133,38.203
"23","Gibert","2","MU",25.9878990825688,10.0525052902295,24.359,6.575,56.203,0.962855379930648,0.386814850184335,25.248
"24","Gibert","2","RE",21.4833285714286,9.2904207135847,21.808,5.441,52.304,1.11041766296293,0.432447918054019,28.626
"25","Gibert","2","UM",27.07549,11.1661595266975,25.3995,9.066,56.85,1.11661595266975,0.412408400612416,49.457
"26","Gibert","2","VA",27.1283181818182,10.2799230907163,26.9115,9.256,53.013,0.980152208731993,0.37893698466004,25.163
"27","Gibert","2","YE",23.0333714285714,10.198744150872,22.404,2.639,52.514,0.995295516081937,0.442781213444987,23.601
"28","Gibert","3","AK",26.9544,9.83720364309845,28.0175,9.807,42.477,2.19966560544767,0.36495724791123,32.074
