Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.28577E-7,0.000012858,0.000688989,1,0,0
1.2871E-7,0.000025729,0.000689703,0.999912119,0,0
1.31367E-7,0.00005193,0.000703936,0.999736356,0,0
1.35484E-7,0.000105423,0.000725989,0.999384832,0,0
1.44691E-7,0.000260682,0.000775306,0.998418139,0,0
1.5483E-7,0.000502166,0.000829612,0.99701204,0,0
1.79503E-7,0.001011027,0.000961747,0.994375604,0,0
2.29807E-7,0.002511853,0.001231104,0.987872397,0,0
3.0092E-7,0.005016189,0.00161176,0.979611565,0,0
4.31854E-7,0.010002215,0.002312242,0.96739608,0,0
7.01469E-7,0.025057817,0.003753109,0.944195448,0,0
9.53331E-7,0.050094033,0.005097221,0.917918974,0,0
1.37311E-6,0.100092066,0.007333409,0.879778539,0.000724638,0
2.28836E-6,0.200081655,0.012191633,0.828983215,0.000724638,0
3.3111E-6,0.300082968,0.017592291,0.797697513,0.002173913,0
3.95455E-6,0.400073938,0.020974963,0.773442306,0.002898551,0.006535948
4.56416E-6,0.500109191,0.024168952,0.752790228,0.003623188,0.013071895
5.15222E-6,0.600366048,0.027240181,0.734686704,0.004347826,0.013071895
5.78698E-6,0.700160879,0.030544451,0.718692328,0.007246377,0.013071895
6.22041E-6,0.750408803,0.032794243,0.711310308,0.008695652,0.013071895
6.66841E-6,0.80063547,0.0351142,0.704455576,0.00942029,0.013071895
7.39939E-6,0.900526287,0.038887544,0.691976448,0.00942029,0.013071895
8.10916E-6,1.000515312,0.0425373,0.680639775,0.010144928,0.013071895
8.67445E-6,1.100067748,0.045434204,0.670181914,0.010869565,0.013071895
9.35812E-6,1.200044549,0.048926072,0.660427103,0.010869565,0.013071895
1.0101E-5,1.300220257,0.052705889,0.651375341,0.010869565,0.013071895
1.066E-5,1.400949469,0.05554004,0.642850866,0.010869565,0.013071895
1.13725E-5,1.501079729,0.059140571,0.634853678,0.010869565,0.013071895
1.33317E-5,1.751120425,0.068970012,0.616925916,0.011594203,0.019607843
1.49546E-5,2.001366523,0.077034227,0.601370946,0.013043478,0.019607843
1.67695E-5,2.250014416,0.085969683,0.5875736,0.015942029,0.019607843
1.86384E-5,2.501789769,0.095080961,0.575094472,0.019565217,0.026143791
2.03452E-5,2.75142505,0.103322351,0.563845681,0.020289855,0.032679739
2.17965E-5,3.001574307,0.110271332,0.55338782,0.022463768,0.039215686
2.32053E-5,3.251648883,0.116964835,0.543633008,0.023913043,0.039215686
2.45281E-5,3.500342059,0.123203987,0.534493365,0.026086957,0.045751634
2.58617E-5,3.752417768,0.129449781,0.525705247,0.028985507,0.045751634
2.71109E-5,4.001583501,0.135259694,0.517444415,0.028985507,0.045751634
2.83813E-5,4.251375467,0.141128167,0.509535109,0.034057971,0.045751634
2.98359E-5,4.501402752,0.147799282,0.501977327,0.036956522,0.052287582
3.14096E-5,4.753105528,0.154957866,0.49477107,0.038405797,0.065359477
3.25679E-5,5.00278872,0.160188394,0.487916337,0.042753623,0.065359477
3.36744E-5,5.25101742,0.165154869,0.481325248,0.047101449,0.065359477
3.48369E-5,5.500991305,0.170340852,0.474909922,0.052173913,0.065359477
3.5928E-5,5.752697642,0.175179258,0.468670358,0.054347826,0.071895425
3.71199E-5,6.000828784,0.180432308,0.462694437,0.056521739,0.071895425
3.82761E-5,6.253207882,0.185496031,0.456806398,0.057246377,0.071895425
3.96039E-5,6.502504252,0.191272677,0.451182002,0.060144928,0.078431373
4.07493E-5,6.751681538,0.196222922,0.445733368,0.063768116,0.078431373
4.18942E-5,7.003909364,0.201140782,0.440372616,0.065217391,0.078431373
4.31632E-5,7.251247752,0.206556483,0.435275508,0.068115942,0.08496732
4.41885E-5,7.504274089,0.210905523,0.430178399,0.071014493,0.08496732
4.55333E-5,7.751415626,0.216573263,0.425344934,0.073188406,0.08496732
4.6618E-5,8.000349335,0.221115424,0.42059935,0.077536232,0.08496732
4.76902E-5,8.250145822,0.225578925,0.415941647,0.078985507,0.08496732
4.86808E-5,8.500833151,0.229680354,0.411371825,0.080434783,0.08496732
4.98039E-5,8.751873074,0.234304007,0.406889885,0.081884058,0.08496732
5.1132E-5,9.003691086,0.239735717,0.402495826,0.084057971,0.08496732
5.2291E-5,9.252040056,0.244444482,0.398277529,0.086956522,0.08496732
5.35964E-5,9.501306229,0.24971283,0.394147113,0.087681159,0.08496732
5.48084E-5,9.750937155,0.254571546,0.390104579,0.089130435,0.08496732
5.61058E-5,10.000072479,0.259737883,0.386149925,0.091304348,0.08496732
5.73982E-5,10.25526414,0.264848413,0.382195272,0.094202899,0.08496732
5.90832E-5,10.500094308,0.271458816,0.378504262,0.097101449,0.08496732
6.02776E-5,10.750866001,0.27610823,0.374813252,0.099275362,0.08496732
6.16924E-5,11.001306542,0.281577662,0.371210124,0.103623188,0.08496732
6.35353E-5,11.251571376,0.288639487,0.367694877,0.105797101,0.08496732
6.49984E-5,11.502378422,0.29419675,0.36426751,0.108695652,0.08496732
6.62864E-5,11.751567626,0.299053279,0.360928025,0.110144928,0.08496732
6.80857E-5,12.006496138,0.305781315,0.35758854,0.112318841,0.08496732
6.99559E-5,12.254951935,0.312706044,0.354424818,0.115942029,0.08496732
7.21916E-5,12.501590708,0.320893743,0.351348976,0.118115942,0.08496732
7.45177E-5,12.753537145,0.329308956,0.348361016,0.121014493,0.091503268
7.63459E-5,13.002405219,0.335849487,0.345460937,0.124637681,0.091503268
7.88574E-5,13.251745344,0.344730927,0.342648739,0.126811594,0.091503268
