X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
71.4,34.01,train,1.241926687963496E-4,21.251015944576256,0.4845175588485052
72.34,34.06,train,1.4169287755657443E-4,24.279989397040225,0.5304720775326299
71.46,34.12,train,1.519958775030149E-4,25.944797336301484,0.5555870117233619
72.05,34.14,train,1.4850954496012397E-4,25.301946345599656,0.5472426955042227
51.09,34.15,train,2.829864713135066E-5,4.3430147905029415,0.14014581540266158
71.54,34.3,train,1.0244043845166566E-4,17.225770920306914,0.4210789405846943
8.4,34.48,train,1.0912958588521508E-4,18.332044336248565,0.4413769062810198
-1.21,34.53,train,7.548461709216048E-5,12.875140669658744,0.33152854182886315
0.0,35.0,train,8.50621946200441E-5,14.074938159193046,0.3648311718483479
10.0,35.0,train,1.8818610547230392E-4,33.91510631296738,0.6336259170210555
25.35,35.0,train,2.5078336104271675E-4,51.25877322877893,0.7376561302270906
37.0,35.0,train,5.502734503534205E-5,9.856099266148627,0.25443143033736104
5.0,35.0,train,1.0515154832534335E-4,17.678594294472546,0.42939310607333414
33.26,35.08,train,4.5968473863034814E-5,8.037312804237699,0.21750907583949108
-5.16,35.1,train,1.7879398253591302E-4,31.721970021031662,0.61479785986884
3.4,35.14,train,1.0814523588208574E-4,18.168938713561268,0.4384352020503187
25.0,35.15,train,1.9795639224821291E-4,36.251136216353366,0.6522361018189475
25.08,35.2,train,2.2108498053790364E-4,42.8667019793705,0.6926100594903235
24.28,35.23,train,1.9410256876644736E-4,35.230588553548145,0.645011087871063
24.09,35.26,train,1.903065101039398E-4,34.43651037621323,0.6377476383300535
23.55,35.27,train,2.241399589527155E-4,43.70499320121585,0.6975800161394095
63.19,35.38,train,2.0748482537913176E-5,2.985416680587521,0.10479918627198515
51.26,35.4,train,4.6711474800158216E-5,8.179110408187247,0.2206050524542279
10.01,35.42,train,1.5384270027939088E-4,26.395509998464654,0.5599447738512993
-0.38,35.45,train,1.919580282360914E-4,34.81765451863228,0.6409257712754566
10.59,35.46,train,2.911125651616838E-4,63.65425580550725,0.7884476483851728
10.0,36.0,train,1.422359671752808E-4,24.371720399393666,0.5318306831851525
10.0,36.2,train,1.613317100632972E-4,27.838006827124353,0.5771822261922551
43.08,36.21,train,2.0510610887742686E-5,2.941086862756946,0.10366227030554354
33.57,36.22,train,1.1135491277217709E-4,18.68483926879896,0.44797056560889803
36.21,36.24,train,1.958251905255039E-4,35.55839667063408,0.6482589676592941
10.2,36.4,train,1.6836593828414932E-4,29.186458140296423,0.59275746474728
4.05,36.44,train,1.4002796982455352E-4,23.86409170942674,0.5262824867151413
45.44,36.44,train,2.5464646940695773E-5,3.793117686368246,0.12704489068521185
-6.21,36.46,train,3.0504242482191945E-4,67.99653648434237,0.8036012063854574
36.1,36.46,train,1.5577756024266163E-4,26.7499296311715,0.5644644409310722
10.1,36.48,train,1.692245657533122E-4,29.407232207690797,0.5946189218789573
10.13,36.5,train,1.785062582829141E-4,31.651614008766106,0.6142060418980109
3.0,36.5,train,2.5817302430604177E-4,53.27179043925976,0.7477987795586449
-5.23,36.51,train,2.4392271239455796E-4,49.571890758800926,0.7278747788033371
43.01,36.52,train,2.151095096862829E-5,3.1147430006320875,0.1084337207725028
30.42,36.53,train,1.3687491586991348E-4,23.353553249202175,0.5182453980666816
7.47,36.55,train,1.5675054653733992E-4,26.939273385613273,0.5667196825546015
8.45,36.55,train,1.3767959037089535E-4,23.5131343054405,0.5203093696080507
-6.12,36.57,train,3.2337068150168117E-4,73.80045414041751,0.8218985048518687
10.0,37.0,train,1.5103006627221452E-4,25.709985686245656,0.5532909261571424
14.35,37.02,train,2.983371183716396E-4,65.85278674071544,0.7964473677311262
22.25,37.03,train,2.3401731190169606E-4,46.73765903237074,0.7131055564249752
-3.35,37.1,train,1.0435097321229193E-4,17.54054125263507,0.42695048231764765
36.11,37.13,train,1.38677097997026E-4,23.63549965114393,0.5228556827473358
