Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.3053E-7,0.000013053,0.000700429,1,0,0
1.32423E-7,0.000026295,0.00071058,0.999912111,0,0
1.34347E-7,0.000053039,0.0007209,0.999736333,0,0
1.36004E-7,0.00010706,0.000729792,0.999384778,0,0
1.47763E-7,0.000263713,0.000792862,0.998418,0,0
1.59146E-7,0.000510369,0.000853917,0.997011777,0,0
1.82547E-7,0.001015255,0.000979413,0.994462999,0,0
2.37606E-7,0.00250608,0.001274634,0.988134997,0,0
3.04205E-7,0.005025099,0.001631613,0.979961329,0,0
4.14115E-7,0.010039785,0.00222046,0.967568993,0,0
7.23716E-7,0.025066611,0.003877304,0.944805766,0,0
1.03138E-6,0.050040971,0.005521063,0.920196871,0,0
1.42354E-6,0.100109732,0.007612286,0.884250308,0,0
2.26167E-6,0.200211558,0.012067017,0.835032519,0.000724638,0
3.34374E-6,0.300102655,0.017788777,0.803744067,0.002173913,0
4.03487E-6,0.400088552,0.021425947,0.780101951,0.003623188,0
4.59923E-6,0.50038293,0.024385999,0.759711724,0.004347826,0
5.16888E-6,0.600141318,0.027364678,0.741694498,0.004347826,0
5.72244E-6,0.700139644,0.030250515,0.725610828,0.007246377,0
6.06215E-6,0.750151324,0.032017307,0.718140271,0.008695652,0
6.4581E-6,0.800130827,0.034072471,0.711109158,0.00942029,0
7.17826E-6,0.900005071,0.037799285,0.698277377,0.010144928,0.006535948
7.95954E-6,1.000643967,0.041826168,0.686588153,0.010869565,0.006535948
8.62723E-6,1.100423244,0.045254236,0.675953595,0.010869565,0.006535948
9.19381E-6,1.200391311,0.048153537,0.666110037,0.011594203,0.006535948
9.90176E-6,1.300537845,0.05176387,0.656881702,0.011594203,0.006535948
1.05E-5,1.400860276,0.054804215,0.648268589,0.011594203,0.006535948
1.11051E-5,1.500292666,0.057869392,0.640182809,0.011594203,0.006535948
1.28047E-5,1.750279103,0.066425318,0.621726138,0.012318841,0.006535948
1.4695E-5,2.000231421,0.075850263,0.605730357,0.012318841,0.006535948
1.62989E-5,2.2509893,0.083773036,0.591492354,0.015217391,0.006535948
1.80848E-5,2.501661949,0.092514182,0.578660573,0.018115942,0.013071895
1.96618E-5,2.751703118,0.100163924,0.567059237,0.020289855,0.013071895
2.13609E-5,3.000225062,0.108333764,0.556424679,0.023188406,0.013071895
2.27731E-5,3.251058196,0.115067407,0.546405344,0.024637681,0.013071895
2.42178E-5,3.502360369,0.121903433,0.53700123,0.027536232,0.019607843
2.54501E-5,3.751353612,0.127692946,0.52821234,0.029710145,0.019607843
2.68693E-5,4.002314282,0.13431313,0.519775004,0.031884058,0.019607843
2.81807E-5,4.250382455,0.140385836,0.511865003,0.035507246,0.019607843
2.96983E-5,4.50272099,0.147359968,0.504218668,0.037681159,0.019607843
3.07803E-5,4.750845175,0.152297768,0.497011777,0.037681159,0.019607843
3.21151E-5,5.001958167,0.158350065,0.489980664,0.043478261,0.019607843
3.33301E-5,5.250414618,0.163821105,0.483301107,0.046376812,0.032679739
3.44707E-5,5.502007857,0.168925446,0.476797328,0.052898551,0.032679739
3.57818E-5,5.752067027,0.174753839,0.470557216,0.054347826,0.032679739
3.71139E-5,6.000032735,0.180633827,0.46458077,0.056521739,0.045751634
3.80089E-5,6.251840761,0.184560728,0.458692213,0.060144928,0.045751634
3.91845E-5,6.502956488,0.189690457,0.452979434,0.060869565,0.045751634
4.05199E-5,6.753899618,0.19547817,0.447442433,0.063043478,0.058823529
4.15417E-5,7.004152416,0.199878722,0.442081209,0.065217391,0.065359477
4.26116E-5,7.252285924,0.204460694,0.436895764,0.069565217,0.065359477
4.40181E-5,7.503671993,0.210444267,0.431798207,0.073188406,0.071895425
4.52473E-5,7.753928289,0.215636787,0.426876428,0.075362319,0.071895425
4.65045E-5,8.001878311,0.220912626,0.422130427,0.076811594,0.071895425
4.78815E-5,8.252035503,0.226650049,0.417472315,0.077536232,0.071895425
4.90919E-5,8.503802763,0.231658427,0.412902092,0.079710145,0.071895425
5.00482E-5,8.751731289,0.235592187,0.408507646,0.083333333,0.071895425
5.10501E-5,9.004619571,0.239692524,0.404113201,0.084057971,0.071895425
5.18984E-5,9.251860776,0.243146634,0.399894533,0.085507246,0.071895425
5.28797E-5,9.503270601,0.247122862,0.395675866,0.088405797,0.071895425
5.41492E-5,9.75479114,0.252236088,0.391545087,0.089855072,0.08496732
5.54135E-5,10.001741593,0.257293675,0.387590086,0.092028986,0.091503268
5.68847E-5,10.25423104,0.263135936,0.383635085,0.093478261,0.091503268
5.85421E-5,10.50253451,0.269662547,0.379855862,0.097101449,0.091503268
6.00495E-5,10.751886505,0.275548394,0.376164528,0.100724638,0.098039216
6.15852E-5,11.001066904,0.281495749,0.372561083,0.102898551,0.098039216
6.33635E-5,11.251290293,0.288321616,0.369045526,0.105797101,0.098039216
6.47728E-5,11.501359034,0.293685138,0.365617859,0.107971014,0.098039216
6.65771E-5,11.750795602,0.300493039,0.362278081,0.108695652,0.098039216
6.8568E-5,12.001216443,0.307928794,0.359026191,0.108695652,0.098039216
7.04775E-5,12.251585509,0.314986343,0.35586219,0.111594203,0.098039216
7.18496E-5,12.500696981,0.320013309,0.352786078,0.115217391,0.098039216
7.35264E-5,12.755657726,0.326106258,0.349709967,0.116666667,0.104575163
7.54535E-5,13.001744139,0.333041599,0.346809633,0.119565217,0.111111111
7.77128E-5,13.254782884,0.341081343,0.343909299,0.12173913,0.111111111
8.00629E-5,13.507505304,0.34934123,0.341096854,0.126086957,0.117647059
8.21369E-5,13.751126192,0.356545191,0.338460186,0.128985507,0.117647059
8.34901E-5,14.008137426,0.36120192,0.33573563,0.130434783,0.124183007
8.49518E-5,14.252166093,0.366194667,0.333186852,0.13115942,0.124183007
8.6853E-5,14.501580961,0.372629946,0.330638073,0.132608696,0.130718954
8.85086E-5,14.756037388,0.378180741,0.328089295,0.136231884,0.130718954
9.02359E-5,15.006563103,0.383919717,0.325628406,0.136956522,0.130718954
9.19752E-5,15.252648277,0.38964483,0.323255405,0.137681159,0.130718954
9.32779E-5,15.502490377,0.393898189,0.320882405,0.138405797,0.130718954
9.47417E-5,15.756145263,0.398641883,0.318509404,0.138405797,0.130718954
9.65748E-5,16.004881748,0.40453011,0.316224292,0.141304348,0.14379085
9.76725E-5,16.2575822,0.408028488,0.313939181,0.141304348,0.14379085
9.88279E-5,16.503182596,0.411688763,0.311741958,0.142753623,0.14379085
1.0022E-4,16.752537381,0.416069572,0.309544735,0.144202899,0.150326797
1.01526E-4,17.005030284,0.420147679,0.307347513,0.147101449,0.156862745
1.02549E-4,17.259999073,0.423322001,0.30515029,0.147826087,0.156862745
1.03862E-4,17.507755872,0.427374992,0.303040956,0.150724638,0.156862745
1.05339E-4,17.759088235,0.431896584,0.300931622,0.154347826,0.156862745
1.06352E-4,18.002674863,0.434976294,0.298910178,0.157971014,0.156862745
1.07879E-4,18.259880419,0.43958793,0.296800844,0.161594203,0.163398693
1.09788E-4,18.510012566,0.445302383,0.294779399,0.164492754,0.163398693
1.10869E-4,18.752678857,0.448512665,0.292845843,0.166666667,0.163398693
1.12525E-4,19.009541239,0.453392568,0.290824398,0.167391304,0.163398693
1.13736E-4,19.258591026,0.456934696,0.288890842,0.17173913,0.163398693
1.15465E-4,19.51104537,0.461950979,0.286957286,0.175362319,0.169934641
1.16374E-4,19.754677305,0.464570938,0.285111619,0.176086957,0.176470588
1.17703E-4,20.000558851,0.468375995,0.283265952,0.17826087,0.176470588
1.18754E-4,20.260629645,0.471366612,0.281332396,0.180434783,0.183006536
1.19913E-4,20.511005985,0.474646161,0.279486729,0.182608696,0.183006536
1.20918E-4,20.751873133,0.477471073,0.277728951,0.184782609,0.189542484
1.22287E-4,21.007085999,0.481296841,0.275883284,0.187681159,0.189542484
1.23438E-4,21.252630613,0.484491401,0.274125505,0.191304348,0.196078431
1.24786E-4,21.50108239,0.488209415,0.272367727,0.192753623,0.196078431
1.25959E-4,21.751765407,0.491420497,0.270609949,0.194202899,0.196078431
1.27309E-4,22.005356457,0.495095247,0.268852171,0.196376812,0.196078431
1.28445E-4,22.261180486,0.498164193,0.267094393,0.198550725,0.196078431
1.2988E-4,22.506633157,0.502013157,0.265424503,0.204347826,0.202614379
1.31551E-4,22.755012974,0.506461566,0.263754614,0.205797101,0.215686275
1.32968E-4,23.006394258,0.510201747,0.262084725,0.208695652,0.215686275
1.34541E-4,23.258070117,0.514318118,0.260414836,0.20942029,0.215686275
1.35693E-4,23.504044855,0.517312864,0.258832835,0.211594203,0.222222222
1.36993E-4,23.763075364,0.520668952,0.257162946,0.214492754,0.222222222
1.38366E-4,24.01099721,0.524188552,0.255580946,0.215217391,0.222222222
1.39185E-4,24.26084533,0.526277746,0.253998945,0.216666667,0.222222222
1.40506E-4,24.512878511,0.529624581,0.252416945,0.218115942,0.222222222
1.42186E-4,24.75307322,0.533846029,0.250922834,0.218115942,0.222222222
1.43555E-4,25.010228504,0.537261173,0.249340833,0.220289855,0.235294118
1.44896E-4,25.255935933,0.540578416,0.247846722,0.223188406,0.235294118
1.46097E-4,25.503444073,0.543530786,0.24635261,0.225362319,0.241830065
1.47663E-4,25.753223091,0.547351972,0.244858499,0.22826087,0.241830065
1.48734E-4,26.005281177,0.549947013,0.243364387,0.231884058,0.241830065
1.49808E-4,26.259164262,0.552534859,0.241870276,0.234057971,0.241830065
1.51243E-4,26.515065337,0.555967737,0.240376165,0.236231884,0.241830065
1.52231E-4,26.757913569,0.558317572,0.238969942,0.239130435,0.241830065
1.53842E-4,27.002670882,0.562120763,0.237563719,0.239855072,0.241830065
1.55145E-4,27.26499132,0.565172708,0.236069608,0.243478261,0.241830065
1.56226E-4,27.514043832,0.567687255,0.234663385,0.245652174,0.241830065
1.5794E-4,27.765387381,0.571647474,0.233257163,0.246376812,0.261437908
1.59289E-4,28.003192465,0.574738065,0.231938829,0.25,0.261437908
1.60292E-4,28.2588165,0.577021889,0.230532607,0.256521739,0.261437908
1.61133E-4,28.516111591,0.578926703,0.229126384,0.260144928,0.261437908
1.62323E-4,28.758762065,0.581607019,0.227808051,0.262318841,0.267973856
1.63046E-4,29.002811644,0.583227606,0.226489717,0.265217391,0.274509804
1.64466E-4,29.2648525,0.586393104,0.225083494,0.268115942,0.281045752
1.66361E-4,29.512946435,0.590579567,0.223765161,0.271014493,0.281045752
1.66764E-4,29.762830543,0.59146307,0.222446827,0.273913043,0.281045752
1.68158E-4,30.01414951,0.594508755,0.221128494,0.274637681,0.287581699
1.68985E-4,30.250224341,0.596304637,0.219898049,0.277536232,0.287581699
1.70269E-4,30.504699547,0.599078078,0.218579715,0.280434783,0.294117647
1.71631E-4,30.761505951,0.60199932,0.217261382,0.284057971,0.294117647
1.72943E-4,31.002985677,0.604792415,0.216030937,0.286231884,0.294117647
1.73985E-4,31.263196605,0.606996266,0.214712603,0.289130435,0.294117647
1.74731E-4,31.507344481,0.608565652,0.213482159,0.292753623,0.294117647
1.75746E-4,31.752913114,0.610694208,0.212251714,0.294202899,0.294117647
1.76973E-4,32.01758474,0.613248106,0.21093338,0.296376812,0.294117647
1.77719E-4,32.265890787,0.614794098,0.209702935,0.3,0.294117647
1.78787E-4,32.515318579,0.616996008,0.208472491,0.301449275,0.294117647
1.799E-4,32.76666439,0.61927838,0.207242046,0.302898551,0.294117647
1.80678E-4,33.001165075,0.620863925,0.20609949,0.303623188,0.294117647
1.82131E-4,33.25514848,0.623809617,0.204869046,0.305797101,0.300653595
1.82839E-4,33.510785742,0.625236895,0.203638601,0.307971014,0.300653595
1.84247E-4,33.767796895,0.628059491,0.202408156,0.310869565,0.307189542
1.84971E-4,34.007880905,0.629502524,0.2012656,0.313768116,0.307189542
1.85938E-4,34.267575849,0.631419809,0.200035156,0.316666667,0.307189542
1.86741E-4,34.50983196,0.633005398,0.1988926,0.321014493,0.307189542
1.88094E-4,34.753581456,0.635660599,0.197750044,0.32173913,0.307189542
1.89429E-4,35.017966575,0.638262715,0.196519599,0.325362319,0.307189542
