Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,DrosoEu_wc2.1_30s_tmax_02 contribution,DrosoEu_wc2.1_30s_tmin_01 contribution,DrosoEu_wc2.1_30s_tmin_12 contribution,DrosoEu_wc2_1_30s_bio_3 contribution,DrosoEu_wc2_1_30s_bio_4 contribution,DrosoEu_wc2_1_30s_bio_7 contribution,DrosoEu_wc2_1_30s_vapr_01 contribution,DrosoEu_wc2_1_30s_vapr_02 contribution,DrosoEu_wc2_1_30s_vapr_10 contribution,DrosoEu_wc2.1_30s_tmax_02 permutation importance,DrosoEu_wc2.1_30s_tmin_01 permutation importance,DrosoEu_wc2.1_30s_tmin_12 permutation importance,DrosoEu_wc2_1_30s_bio_3 permutation importance,DrosoEu_wc2_1_30s_bio_4 permutation importance,DrosoEu_wc2_1_30s_bio_7 permutation importance,DrosoEu_wc2_1_30s_vapr_01 permutation importance,DrosoEu_wc2_1_30s_vapr_02 permutation importance,DrosoEu_wc2_1_30s_vapr_10 permutation importance,Training gain without DrosoEu_wc2.1_30s_tmax_02,Training gain without DrosoEu_wc2.1_30s_tmin_01,Training gain without DrosoEu_wc2.1_30s_tmin_12,Training gain without DrosoEu_wc2_1_30s_bio_3,Training gain without DrosoEu_wc2_1_30s_bio_4,Training gain without DrosoEu_wc2_1_30s_bio_7,Training gain without DrosoEu_wc2_1_30s_vapr_01,Training gain without DrosoEu_wc2_1_30s_vapr_02,Training gain without DrosoEu_wc2_1_30s_vapr_10,Training gain with only DrosoEu_wc2.1_30s_tmax_02,Training gain with only DrosoEu_wc2.1_30s_tmin_01,Training gain with only DrosoEu_wc2.1_30s_tmin_12,Training gain with only DrosoEu_wc2_1_30s_bio_3,Training gain with only DrosoEu_wc2_1_30s_bio_4,Training gain with only DrosoEu_wc2_1_30s_bio_7,Training gain with only DrosoEu_wc2_1_30s_vapr_01,Training gain with only DrosoEu_wc2_1_30s_vapr_02,Training gain with only DrosoEu_wc2_1_30s_vapr_10,Test gain without DrosoEu_wc2.1_30s_tmax_02,Test gain without DrosoEu_wc2.1_30s_tmin_01,Test gain without DrosoEu_wc2.1_30s_tmin_12,Test gain without DrosoEu_wc2_1_30s_bio_3,Test gain without DrosoEu_wc2_1_30s_bio_4,Test gain without DrosoEu_wc2_1_30s_bio_7,Test gain without DrosoEu_wc2_1_30s_vapr_01,Test gain without DrosoEu_wc2_1_30s_vapr_02,Test gain without DrosoEu_wc2_1_30s_vapr_10,Test gain with only DrosoEu_wc2.1_30s_tmax_02,Test gain with only DrosoEu_wc2.1_30s_tmin_01,Test gain with only DrosoEu_wc2.1_30s_tmin_12,Test gain with only DrosoEu_wc2_1_30s_bio_3,Test gain with only DrosoEu_wc2_1_30s_bio_4,Test gain with only DrosoEu_wc2_1_30s_bio_7,Test gain with only DrosoEu_wc2_1_30s_vapr_01,Test gain with only DrosoEu_wc2_1_30s_vapr_02,Test gain with only DrosoEu_wc2_1_30s_vapr_10,AUC without DrosoEu_wc2.1_30s_tmax_02,AUC without DrosoEu_wc2.1_30s_tmin_01,AUC without DrosoEu_wc2.1_30s_tmin_12,AUC without DrosoEu_wc2_1_30s_bio_3,AUC without DrosoEu_wc2_1_30s_bio_4,AUC without DrosoEu_wc2_1_30s_bio_7,AUC without DrosoEu_wc2_1_30s_vapr_01,AUC without DrosoEu_wc2_1_30s_vapr_02,AUC without DrosoEu_wc2_1_30s_vapr_10,AUC with only DrosoEu_wc2.1_30s_tmax_02,AUC with only DrosoEu_wc2.1_30s_tmin_01,AUC with only DrosoEu_wc2.1_30s_tmin_12,AUC with only DrosoEu_wc2_1_30s_bio_3,AUC with only DrosoEu_wc2_1_30s_bio_4,AUC with only DrosoEu_wc2_1_30s_bio_7,AUC with only DrosoEu_wc2_1_30s_vapr_01,AUC with only DrosoEu_wc2_1_30s_vapr_02,AUC with only DrosoEu_wc2_1_30s_vapr_10,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Dmelanogaster_0,1379,0.7639,0.8139,500,0.8361,154,0.7193,0.8181,0.0126,11377,2.3335,0.0269,1.5719,19.7078,36.5837,16.7896,10.5935,10.1425,2.2505,37.0470,0.0001,8.7145,4.3924,3.9726,22.9094,3.1898,5.8976,13.8764,0.7541,0.7630,0.7577,0.7485,0.7625,0.7500,0.7632,0.7626,0.7555,0.5105,0.5210,0.4856,0.5172,0.5984,0.5577,0.4880,0.4925,0.4870,0.7093,0.7203,0.7144,0.6977,0.7143,0.7318,0.7236,0.7167,0.6980,0.5250,0.5462,0.5143,0.5300,0.5450,0.4493,0.5230,0.5107,0.5019,0.8161,0.8182,0.8173,0.8123,0.8169,0.8193,0.8185,0.8173,0.8142,0.7592,0.7557,0.7483,0.7707,0.7797,0.7570,0.7631,0.7584,0.7709,8.5781,0.2787,1.0000,0.0420,0.6837,0.0109,0.0065,6.9E-17,5.0000,0.1563,0.4860,0.0464,0.0325,3.002E-33,10.0000,0.2564,0.3829,0.0935,0.1169,1.192E-37,0.1020,0.0074,0.8801,0.0000,0.0000,2.323E-6,10.8213,0.2798,0.3707,0.0993,0.1234,6.104E-39,26.7083,0.5581,0.2363,0.2364,0.3247,5.819E-38,15.9006,0.3983,0.3135,0.1385,0.1948,8.317E-40,22.0691,0.4953,0.2652,0.1951,0.2662,6.28E-40,12.0836,0.3120,0.3537,0.1095,0.1234,2.905E-42,2.0475,0.0770,0.6014,0.0131,0.0065,1.414E-23,5.7280,0.1709,0.4671,0.0529,0.0714,8.435E-31
Dmelanogaster_1,1379,0.7574,0.8086,500,0.8351,154,0.7820,0.8303,0.0121,11377,1.1611,0.2270,2.6322,19.1414,42.7122,11.5424,10.7933,9.7418,2.0487,35.1510,1.3751,7.4140,3.9701,8.4110,16.0790,4.9486,5.7475,16.9037,0.7483,0.7579,0.7523,0.7431,0.7571,0.7451,0.7569,0.7571,0.7483,0.5073,0.5175,0.4820,0.5171,0.5970,0.5500,0.4853,0.4887,0.4834,0.7756,0.7815,0.7689,0.7612,0.7817,0.7711,0.7849,0.7772,0.7742,0.5585,0.5762,0.5464,0.5249,0.5541,0.5262,0.5419,0.5435,0.5297,0.8294,0.8302,0.8274,0.8249,0.8303,0.8284,0.8307,0.8297,0.8288,0.7857,0.7732,0.7543,0.7706,0.7785,0.7720,0.7504,0.7504,0.7624,8.5848,0.2806,1.0000,0.0421,0.6878,0.0116,0.0000,3.111E-17,5.0000,0.1555,0.4891,0.0413,0.0519,2.28E-30,10.0000,0.2545,0.3843,0.0914,0.1039,2.878E-39,0.1053,0.0079,0.8781,0.0000,0.0000,1.882E-6,11.0043,0.2792,0.3690,0.0993,0.1234,2.966E-39,26.8735,0.5693,0.2368,0.2371,0.2727,8.475E-47,18.1931,0.4439,0.2947,0.1574,0.1883,2.84E-45,24.0677,0.5315,0.2532,0.2096,0.2532,2.392E-45,15.8708,0.4052,0.3146,0.1407,0.1623,1.043E-44,2.0987,0.0780,0.6020,0.0138,0.0000,3.052E-24,5.7230,0.1702,0.4702,0.0529,0.0649,3.314E-31
Dmelanogaster_2,1379,0.7507,0.7991,500,0.8334,154,0.8789,0.8511,0.0121,11377,1.4846,3.2967,2.6320,14.9248,37.0144,11.1877,18.2793,9.1244,2.0560,36.5194,0.3061,9.8148,4.4939,8.0247,17.5526,3.3327,6.2321,13.7237,0.7421,0.7505,0.7445,0.7361,0.7499,0.7389,0.7501,0.7504,0.7438,0.5094,0.5216,0.4871,0.5155,0.5912,0.5415,0.4905,0.4935,0.4833,0.8541,0.8792,0.8671,0.8492,0.8779,0.8676,0.8744,0.8738,0.8472,0.5452,0.5474,0.5031,0.5448,0.6265,0.6245,0.5013,0.5078,0.5416,0.8461,0.8517,0.8484,0.8448,0.8512,0.8493,0.8505,0.8506,0.8460,0.7749,0.7716,0.7595,0.7769,0.8028,0.8013,0.7634,0.7631,0.7776,8.5917,0.2832,1.0000,0.0447,0.6754,0.0102,0.0195,3.062E-16,5.0000,0.1627,0.4885,0.0450,0.0390,4.448E-32,10.0000,0.2601,0.3880,0.0928,0.0714,2.007E-43,0.0827,0.0064,0.8821,0.0000,0.0000,2.864E-6,10.8259,0.2772,0.3754,0.0993,0.0909,6.953E-43,26.9366,0.5678,0.2400,0.2400,0.1883,2.998E-62,16.2542,0.4163,0.3148,0.1429,0.1234,2.994E-51,32.1696,0.6160,0.2124,0.2980,0.2143,0E0,24.9349,0.5437,0.2516,0.2226,0.1558,1.074E-64,2.1087,0.0843,0.5936,0.0131,0.0195,7.092E-23,5.5953,0.1762,0.4734,0.0537,0.0455,2.936E-33
Dmelanogaster_3,1380,0.7609,0.8091,500,0.8354,153,0.7516,0.8230,0.0125,11378,1.1566,2.3443,2.1445,12.8070,34.2154,11.9205,22.3433,11.9454,1.1229,37.5515,0.1783,9.2059,3.6307,6.3993,17.7359,2.9750,6.8534,15.4701,0.7521,0.7607,0.7552,0.7464,0.7607,0.7488,0.7599,0.7594,0.7515,0.5193,0.5310,0.4958,0.5163,0.5923,0.5505,0.4968,0.4998,0.4978,0.7377,0.7530,0.7376,0.7231,0.7495,0.7421,0.7615,0.7502,0.7409,0.4344,0.4478,0.4113,0.5380,0.6100,0.5265,0.4359,0.4397,0.3991,0.8208,0.8233,0.8204,0.8182,0.8226,0.8212,0.8250,0.8229,0.8209,0.7456,0.7491,0.7396,0.7721,0.7965,0.7743,0.7493,0.7516,0.7476,8.5845,0.2809,1.0000,0.0421,0.6780,0.0109,0.0065,3.362E-17,5.0000,0.1590,0.4842,0.0420,0.0654,3.606E-29,10.0000,0.2642,0.3837,0.0920,0.0980,5.577E-40,0.1046,0.0075,0.8757,0.0000,0.0000,1.584E-6,10.9420,0.2896,0.3700,0.1000,0.1046,1.329E-41,26.8291,0.5636,0.2380,0.2377,0.2614,3.432E-48,16.7313,0.4198,0.3082,0.1478,0.1634,8.855E-46,25.6164,0.5480,0.2451,0.2246,0.2484,2.35E-48,14.9506,0.3892,0.3245,0.1370,0.1307,2.846E-47,2.6225,0.0995,0.5673,0.0159,0.0458,2.23E-22,5.5475,0.1719,0.4700,0.0500,0.0719,3.601E-30
Dmelanogaster_4,1380,0.7502,0.7992,500,0.8337,153,0.8647,0.8438,0.0105,11378,1.5875,0.9714,3.2137,16.7563,37.0529,12.0694,21.5173,5.9349,0.8965,36.6921,0.0513,9.7377,4.4941,7.3329,17.9010,1.5401,7.3888,14.8620,0.7416,0.7492,0.7449,0.7325,0.7498,0.7397,0.7499,0.7490,0.7412,0.5082,0.5213,0.4871,0.5161,0.5867,0.5390,0.4900,0.4917,0.4839,0.8434,0.8627,0.8560,0.8718,0.8673,0.8388,0.8607,0.8656,0.8499,0.5486,0.5409,0.4945,0.5367,0.6623,0.6441,0.5001,0.5183,0.5351,0.8387,0.8432,0.8418,0.8460,0.8446,0.8382,0.8429,0.8438,0.8417,0.7617,0.7510,0.7350,0.7631,0.8044,0.8026,0.7560,0.7521,0.7644,8.5926,0.2830,1.0000,0.0433,0.6856,0.0109,0.0065,1.185E-16,5.0000,0.1599,0.4916,0.0442,0.0196,5.633E-34,10.0000,0.2603,0.3897,0.0928,0.0654,9.44E-44,0.1180,0.0083,0.8712,0.0000,0.0000,9.825E-7,10.9034,0.2799,0.3760,0.1000,0.0784,2.018E-44,26.7637,0.5608,0.2400,0.2399,0.1961,2.961E-60,18.1238,0.4368,0.2995,0.1587,0.1242,6.56E-55,29.4279,0.5899,0.2253,0.2732,0.2222,2.012E-60,20.8294,0.4766,0.2786,0.1899,0.1307,5.173E-60,2.2898,0.0874,0.5903,0.0145,0.0065,1.812E-24,5.6879,0.1753,0.4738,0.0565,0.0196,2.003E-36
Dmelanogaster_5,1380,0.7658,0.8173,500,0.8361,153,0.7242,0.8271,0.0147,11379,1.0040,3.2378,4.0550,13.9211,30.9201,13.0755,18.5907,14.1145,1.0813,35.3872,1.0834,9.3952,4.3805,4.6121,18.7030,3.5593,6.9915,15.8879,0.7563,0.7656,0.7593,0.7501,0.7659,0.7541,0.7654,0.7651,0.7572,0.5236,0.5345,0.4986,0.5292,0.5931,0.5434,0.5003,0.5029,0.4963,0.7110,0.7246,0.7242,0.7079,0.7192,0.7084,0.7248,0.7283,0.7228,0.4014,0.4148,0.3841,0.4101,0.6103,0.6046,0.4003,0.4098,0.4105,0.8239,0.8273,0.8274,0.8241,0.8263,0.8244,0.8274,0.8277,0.8274,0.7439,0.7427,0.7346,0.7480,0.8027,0.7973,0.7463,0.7425,0.7504,8.5776,0.2792,1.0000,0.0447,0.6626,0.0080,0.0392,3.091E-15,5.0000,0.1640,0.4809,0.0442,0.0719,8.608E-29,10.0000,0.2660,0.3821,0.0920,0.1176,1.903E-37,0.2120,0.0135,0.8036,0.0000,0.0131,5.706E-9,10.7752,0.2815,0.3709,0.1000,0.1242,1.51E-38,26.7645,0.5634,0.2377,0.2377,0.2484,1.005E-50,17.2718,0.4298,0.3027,0.1493,0.1895,7.459E-43,26.0207,0.5541,0.2420,0.2297,0.2418,1.507E-50,22.3111,0.5006,0.2650,0.1993,0.2157,2.65E-48,2.3151,0.0934,0.5724,0.0130,0.0523,3.168E-21,5.5628,0.1748,0.4667,0.0536,0.0719,1.336E-30
Dmelanogaster_6,1380,0.7552,0.8056,500,0.8347,153,0.8111,0.8337,0.0118,11378,1.3795,0.0612,2.3020,19.5108,37.0338,15.5520,21.2390,0.3855,2.5362,32.5390,0.3633,10.1547,3.9811,6.6138,19.8755,3.4343,6.1741,16.8642,0.7478,0.7554,0.7495,0.7395,0.7549,0.7446,0.7544,0.7547,0.7467,0.5053,0.5200,0.4854,0.5088,0.5907,0.5497,0.4878,0.4904,0.4868,0.7789,0.8135,0.8053,0.8004,0.8103,0.7870,0.8111,0.8102,0.8155,0.5801,0.5556,0.5164,0.6108,0.6261,0.5381,0.5250,0.5337,0.5061,0.8276,0.8343,0.8330,0.8315,0.8337,0.8289,0.8339,0.8335,0.8355,0.7740,0.7665,0.7556,0.7823,0.7985,0.7790,0.7661,0.7635,0.7617,8.5888,0.2819,1.0000,0.0433,0.6831,0.0109,0.0065,7.809E-17,5.0000,0.1608,0.4891,0.0399,0.0523,3.79E-30,10.0000,0.2597,0.3878,0.0899,0.0980,3.031E-39,0.0962,0.0073,0.8824,0.0000,0.0000,3.158E-6,10.9970,0.2853,0.3728,0.1000,0.0980,4.843E-42,26.7827,0.5613,0.2389,0.2391,0.2418,1.4E-51,17.0541,0.4156,0.3071,0.1478,0.1111,3.579E-55,26.5531,0.5593,0.2402,0.2370,0.2418,3.822E-51,17.0541,0.4156,0.3071,0.1478,0.1111,3.579E-55,2.1314,0.0817,0.5972,0.0130,0.0131,4.233E-23,5.6692,0.1758,0.4721,0.0522,0.0523,2.315E-32
Dmelanogaster_7,1380,0.7590,0.8118,500,0.8357,153,0.7713,0.8296,0.0127,11378,1.1045,3.4863,2.2496,18.2574,34.6227,16.8942,18.0915,3.6439,1.6500,35.6872,0.0025,9.2432,4.0081,4.1160,23.2968,3.5689,5.2117,14.8655,0.7500,0.7595,0.7528,0.7429,0.7583,0.7482,0.7587,0.7587,0.7495,0.5089,0.5190,0.4841,0.5171,0.5915,0.5493,0.4881,0.4918,0.4873,0.7562,0.7728,0.7670,0.7648,0.7729,0.7619,0.7704,0.7689,0.7672,0.5418,0.5662,0.5310,0.5289,0.6149,0.5413,0.5212,0.5207,0.5027,0.8270,0.8298,0.8282,0.8269,0.8303,0.8279,0.8293,0.8295,0.8279,0.7656,0.7697,0.7633,0.7715,0.7941,0.7813,0.7564,0.7561,0.7602,8.5822,0.2800,1.0000,0.0427,0.6818,0.0109,0.0065,6.379E-17,5.0000,0.1573,0.4868,0.0435,0.0327,6.58E-33,10.0000,0.2577,0.3839,0.0928,0.1176,3.936E-37,0.0997,0.0074,0.8768,0.0000,0.0000,1.767E-6,10.8297,0.2811,0.3714,0.1000,0.1176,2.15E-39,26.6544,0.5633,0.2374,0.2377,0.2745,5.3E-46,16.7229,0.4139,0.3068,0.1420,0.2026,7.692E-40,24.8739,0.5399,0.2478,0.2232,0.2484,1.515E-47,23.5845,0.5222,0.2558,0.2116,0.2288,1.131E-48,2.0771,0.0788,0.5989,0.0116,0.0131,6.015E-23,5.6951,0.1732,0.4689,0.0514,0.0654,3.936E-31
Dmelanogaster_8,1380,0.7560,0.8055,500,0.8347,153,0.8125,0.8354,0.0124,11379,1.1236,3.0253,3.9862,14.9437,36.3671,11.8223,18.7333,8.9704,1.0282,39.1375,2.0362,8.1113,3.6327,7.5845,16.4033,3.5686,5.9866,13.5392,0.7458,0.7560,0.7496,0.7405,0.7557,0.7447,0.7554,0.7550,0.7481,0.5116,0.5231,0.4864,0.5185,0.5969,0.5477,0.4914,0.4946,0.4866,0.8062,0.8116,0.8059,0.7885,0.8128,0.7927,0.8076,0.8092,0.7940,0.5150,0.5261,0.5044,0.5116,0.5659,0.5586,0.4882,0.4910,0.5092,0.8338,0.8350,0.8334,0.8320,0.8353,0.8308,0.8345,0.8346,0.8337,0.7675,0.7655,0.7531,0.7632,0.7871,0.7844,0.7446,0.7469,0.7643,8.5868,0.2814,1.0000,0.0425,0.6806,0.0101,0.0131,2.218E-16,5.0000,0.1602,0.4879,0.0428,0.0654,1.042E-28,10.0000,0.2597,0.3861,0.0913,0.0850,1.84E-41,0.0968,0.0072,0.8819,0.0000,0.0000,2.995E-6,10.7993,0.2777,0.3741,0.1000,0.0850,8.743E-44,26.9061,0.5643,0.2382,0.2384,0.2157,6.469E-57,18.0975,0.4413,0.2977,0.1572,0.1176,1.172E-56,28.6224,0.5816,0.2288,0.2572,0.2288,9.47E-58,17.3065,0.4296,0.3042,0.1551,0.1046,3.303E-57,2.1888,0.0837,0.5908,0.0138,0.0196,5.607E-23,5.6562,0.1735,0.4710,0.0543,0.0654,7.575E-31
Dmelanogaster_9,1380,0.7559,0.8068,500,0.8351,153,0.8009,0.8312,0.0112,11378,1.5643,3.1206,1.8983,19.0966,35.6516,15.5475,14.6965,6.9342,1.4904,35.4272,0.0512,10.0092,4.4116,8.3059,17.5444,4.8730,4.4517,14.9259,0.7467,0.7561,0.7497,0.7395,0.7549,0.7452,0.7545,0.7550,0.7462,0.5090,0.5186,0.4836,0.5169,0.5909,0.5461,0.4862,0.4906,0.4856,0.7762,0.8027,0.7940,0.8061,0.8033,0.7796,0.8060,0.7946,0.7961,0.5446,0.5712,0.5357,0.5287,0.6230,0.5730,0.5419,0.5341,0.5175,0.8253,0.8314,0.8295,0.8336,0.8318,0.8264,0.8320,0.8300,0.8311,0.7697,0.7783,0.7703,0.7604,0.7973,0.7861,0.7691,0.7679,0.7652,8.5882,0.2817,1.0000,0.0418,0.6866,0.0109,0.0065,1.386E-16,5.0000,0.1584,0.4900,0.0435,0.0196,3.465E-34,10.0000,0.2573,0.3876,0.0920,0.0915,3.144E-40,0.1025,0.0077,0.8828,0.0000,0.0000,3.274E-6,10.7339,0.2753,0.3763,0.1000,0.0980,2.307E-41,26.7275,0.5579,0.2391,0.2391,0.2418,1.713E-51,17.3628,0.4249,0.3043,0.1478,0.1569,7.329E-48,26.2592,0.5525,0.2419,0.2341,0.2418,1.343E-50,15.8107,0.3999,0.3180,0.1391,0.1307,7.453E-49,2.1487,0.0803,0.5971,0.0130,0.0065,7.979E-24,5.7056,0.1743,0.4717,0.0536,0.0327,5.753E-35
