variable,x,y
DrosoEu_wc2.1_30s_tmin_01,-37.21000165939331,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-37.106561656188966,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-37.003121652984625,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-36.89968164978028,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-36.79624164657593,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-36.69280164337159,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-36.58936164016724,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-36.48592163696289,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-36.382481633758545,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-36.279041630554204,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-36.175601627349856,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-36.07216162414551,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-35.96872162094117,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-35.86528161773682,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-35.76184161453247,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-35.65840161132813,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-35.55496160812378,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-35.451521604919435,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-35.348081601715094,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-35.244641598510746,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-35.1412015953064,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-35.03776159210205,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-34.93432158889771,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-34.83088158569336,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-34.727441582489014,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-34.62400157928467,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-34.520561576080325,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-34.41712157287598,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-34.31368156967163,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-34.21024156646729,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-34.10680156326294,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-34.00336156005859,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-33.89992155685425,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-33.796481553649905,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-33.69304155044556,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-33.589601547241216,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-33.48616154403687,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-33.38272154083252,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-33.27928153762818,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-33.17584153442383,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-33.072401531219484,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-32.96896152801514,2.248287491966039E-4
DrosoEu_wc2.1_30s_tmin_01,-32.865521524810795,2.272624260513112E-4
DrosoEu_wc2.1_30s_tmin_01,-32.76208152160645,2.3472236352972686E-4
DrosoEu_wc2.1_30s_tmin_01,-32.6586415184021,2.4242715153377503E-4
DrosoEu_wc2.1_30s_tmin_01,-32.55520151519776,2.503847936168313E-4
DrosoEu_wc2.1_30s_tmin_01,-32.45176151199341,2.5860362802632153E-4
DrosoEu_wc2.1_30s_tmin_01,-32.34832150878906,2.6709254598245025E-4
DrosoEu_wc2.1_30s_tmin_01,-32.24488150558472,2.758597256615758E-4
DrosoEu_wc2.1_30s_tmin_01,-32.141441502380374,2.8491465491242707E-4
DrosoEu_wc2.1_30s_tmin_01,-32.038001499176026,2.9426676337607205E-4
DrosoEu_wc2.1_30s_tmin_01,-31.934561495971682,3.039259754586965E-4
DrosoEu_wc2.1_30s_tmin_01,-31.831121492767338,3.139020118396729E-4
DrosoEu_wc2.1_30s_tmin_01,-31.72768148956299,3.242054663132876E-4
DrosoEu_wc2.1_30s_tmin_01,-31.624241486358645,3.3484725281596184E-4
DrosoEu_wc2.1_30s_tmin_01,-31.520801483154298,3.458380524534732E-4
DrosoEu_wc2.1_30s_tmin_01,-31.417361479949953,3.5718956496566534E-4
DrosoEu_wc2.1_30s_tmin_01,-31.31392147674561,3.689138393383473E-4
DrosoEu_wc2.1_30s_tmin_01,-31.21048147354126,3.810226044151932E-4
DrosoEu_wc2.1_30s_tmin_01,-31.107041470336917,3.935287822969258E-4
DrosoEu_wc2.1_30s_tmin_01,-31.00360146713257,4.064455861225724E-4
DrosoEu_wc2.1_30s_tmin_01,-30.900161463928224,4.197859962005168E-4
DrosoEu_wc2.1_30s_tmin_01,-30.79672146072388,4.335641860961914E-4
DrosoEu_wc2.1_30s_tmin_01,-30.693281457519532,4.477947950363159E-4
DrosoEu_wc2.1_30s_tmin_01,-30.589841454315188,4.624920547939837E-4
DrosoEu_wc2.1_30s_tmin_01,-30.486401451110844,4.7767191426828504E-4
DrosoEu_wc2.1_30s_tmin_01,-30.382961447906496,4.933495656587183E-4
DrosoEu_wc2.1_30s_tmin_01,-30.27952144470215,5.095416563563049E-4
DrosoEu_wc2.1_30s_tmin_01,-30.176081441497807,5.262652994133532E-4
DrosoEu_wc2.1_30s_tmin_01,-30.07264143829346,5.435374332591891E-4
DrosoEu_wc2.1_30s_tmin_01,-29.96920143508911,5.613762186840177E-4
DrosoEu_wc2.1_30s_tmin_01,-29.865761431884767,5.798006895929575E-4
DrosoEu_wc2.1_30s_tmin_01,-29.762321428680423,5.988292978145182E-4
DrosoEu_wc2.1_30s_tmin_01,-29.658881425476075,6.184822414070368E-4
DrosoEu_wc2.1_30s_tmin_01,-29.55544142227173,6.387803587131202E-4
DrosoEu_wc2.1_30s_tmin_01,-29.452001419067386,6.597439642064273E-4
DrosoEu_wc2.1_30s_tmin_01,-29.34856141586304,6.81395351421088E-4
DrosoEu_wc2.1_30s_tmin_01,-29.245121412658694,7.03757512383163E-4
DrosoEu_wc2.1_30s_tmin_01,-29.14168140945435,7.268527988344431E-4
DrosoEu_wc2.1_30s_tmin_01,-29.038241406250002,7.507057162001729E-4
DrosoEu_wc2.1_30s_tmin_01,-28.934801403045658,7.753415848128498E-4
DrosoEu_wc2.1_30s_tmin_01,-28.83136139984131,8.007851429283619E-4
DrosoEu_wc2.1_30s_tmin_01,-28.727921396636965,8.270638063549995E-4
DrosoEu_wc2.1_30s_tmin_01,-28.624481393432617,8.542039431631565E-4
DrosoEu_wc2.1_30s_tmin_01,-28.521041390228273,8.82234307937324E-4
DrosoEu_wc2.1_30s_tmin_01,-28.41760138702393,9.111845283769071E-4
DrosoEu_wc2.1_30s_tmin_01,-28.31416138381958,9.410838247276843E-4
DrosoEu_wc2.1_30s_tmin_01,-28.210721380615237,9.719636873342097E-4
DrosoEu_wc2.1_30s_tmin_01,-28.107281377410892,0.0010038568871095777
DrosoEu_wc2.1_30s_tmin_01,-28.003841374206544,0.0010367955546826124
DrosoEu_wc2.1_30s_tmin_01,-27.900401371002197,0.0010708143236115575
DrosoEu_wc2.1_30s_tmin_01,-27.796961367797856,0.001105949399061501
DrosoEu_wc2.1_30s_tmin_01,-27.693521364593508,0.0011422359384596348
DrosoEu_wc2.1_30s_tmin_01,-27.59008136138916,0.0011797123588621616
DrosoEu_wc2.1_30s_tmin_01,-27.486641358184816,0.0012184183578938246
DrosoEu_wc2.1_30s_tmin_01,-27.38320135498047,0.001258392701856792
DrosoEu_wc2.1_30s_tmin_01,-27.279761351776123,0.001299677649512887
DrosoEu_wc2.1_30s_tmin_01,-27.17632134857178,0.0013423169730231166
DrosoEu_wc2.1_30s_tmin_01,-27.072881345367435,0.001386353513225913
DrosoEu_wc2.1_30s_tmin_01,-26.969441342163087,0.0014318344183266163
DrosoEu_wc2.1_30s_tmin_01,-26.86600133895874,0.0014788054395467043
DrosoEu_wc2.1_30s_tmin_01,-26.7625613357544,0.0015273161698132753
DrosoEu_wc2.1_30s_tmin_01,-26.65912133255005,0.0015774178318679333
DrosoEu_wc2.1_30s_tmin_01,-26.555681329345703,0.0016291608335450292
DrosoEu_wc2.1_30s_tmin_01,-26.452241326141362,0.001682599657215178
DrosoEu_wc2.1_30s_tmin_01,-26.348801322937014,0.0017377907643094659
DrosoEu_wc2.1_30s_tmin_01,-26.245361319732666,0.0017947896849364042
DrosoEu_wc2.1_30s_tmin_01,-26.141921316528325,0.001853656256571412
DrosoEu_wc2.1_30s_tmin_01,-26.038481313323977,0.0019144528778269887
