variable,x,y
DrosoEu_wc2.1_30s_tmax_02,-30.619999504089357,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-30.50671950683594,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-30.39343950958252,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-30.280159512329103,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-30.166879515075685,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-30.053599517822267,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-29.94031952056885,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-29.82703952331543,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-29.713759526062013,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-29.600479528808595,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-29.487199531555177,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-29.37391953430176,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-29.26063953704834,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-29.147359539794923,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-29.034079542541505,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-28.920799545288087,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-28.80751954803467,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-28.69423955078125,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-28.580959553527833,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-28.467679556274415,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-28.354399559020997,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-28.24111956176758,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-28.12783956451416,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-28.014559567260743,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-27.901279570007326,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-27.787999572753908,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-27.67471957550049,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-27.56143957824707,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-27.448159580993654,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-27.334879583740236,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-27.221599586486818,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-27.1083195892334,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-26.99503959197998,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-26.881759594726564,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-26.768479597473146,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-26.655199600219728,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-26.54191960296631,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-26.428639605712892,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-26.315359608459474,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-26.202079611206056,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-26.088799613952638,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-25.97551961669922,1.902732765302062E-4
DrosoEu_wc2.1_30s_tmax_02,-25.862239619445802,1.9253969367127866E-4
DrosoEu_wc2.1_30s_tmax_02,-25.748959622192384,1.9950220303144306E-4
DrosoEu_wc2.1_30s_tmax_02,-25.635679624938966,2.0671657694038004E-4
DrosoEu_wc2.1_30s_tmax_02,-25.522399627685548,2.1419167751446366E-4
DrosoEu_wc2.1_30s_tmax_02,-25.40911963043213,2.2193705081008375E-4
DrosoEu_wc2.1_30s_tmax_02,-25.295839633178712,2.2996262123342603E-4
DrosoEu_wc2.1_30s_tmax_02,-25.182559635925294,2.3827821132726967E-4
DrosoEu_wc2.1_30s_tmax_02,-25.069279638671876,2.4689463316462934E-4
DrosoEu_wc2.1_30s_tmax_02,-24.955999641418458,2.558224368840456E-4
DrosoEu_wc2.1_30s_tmax_02,-24.84271964416504,2.6507300208322704E-4
DrosoEu_wc2.1_30s_tmax_02,-24.729439646911622,2.7465823222883046E-4
DrosoEu_wc2.1_30s_tmax_02,-24.616159649658204,2.8458982706069946E-4
DrosoEu_wc2.1_30s_tmax_02,-24.502879652404786,2.948804758489132E-4
DrosoEu_wc2.1_30s_tmax_02,-24.38959965515137,3.05543391732499E-4
DrosoEu_wc2.1_30s_tmax_02,-24.27631965789795,3.165916132275015E-4
DrosoEu_wc2.1_30s_tmax_02,-24.163039660644532,3.2803925569169223E-4
DrosoEu_wc2.1_30s_tmax_02,-24.049759663391114,3.3990098745562136E-4
DrosoEu_wc2.1_30s_tmax_02,-23.936479666137696,3.521913313306868E-4
DrosoEu_wc2.1_30s_tmax_02,-23.82319966888428,3.649260033853352E-4
DrosoEu_wc2.1_30s_tmax_02,-23.70991967163086,3.781212726607919E-4
DrosoEu_wc2.1_30s_tmax_02,-23.596639674377442,3.917933499906212E-4
DrosoEu_wc2.1_30s_tmax_02,-23.483359677124025,4.059596685692668E-4
DrosoEu_wc2.1_30s_tmax_02,-23.370079679870607,4.206383600831032E-4
DrosoEu_wc2.1_30s_tmax_02,-23.25679968261719,4.358474398031831E-4
DrosoEu_wc2.1_30s_tmax_02,-23.14351968536377,4.516062908805907E-4
DrosoEu_wc2.1_30s_tmax_02,-23.030239688110353,4.679350822698325E-4
DrosoEu_wc2.1_30s_tmax_02,-22.916959690856935,4.8485383740626276E-4
DrosoEu_wc2.1_30s_tmax_02,-22.803679693603517,5.023841513320804E-4
DrosoEu_wc2.1_30s_tmax_02,-22.6903996963501,5.20548433996737E-4
DrosoEu_wc2.1_30s_tmax_02,-22.57711969909668,5.39369008038193E-4
DrosoEu_wc2.1_30s_tmax_02,-22.463839701843263,5.588697968050838E-4
DrosoEu_wc2.1_30s_tmax_02,-22.350559704589845,5.790758295916021E-4
DrosoEu_wc2.1_30s_tmax_02,-22.237279707336427,6.000118446536362E-4
DrosoEu_wc2.1_30s_tmax_02,-22.12399971008301,6.217045010998845E-4
DrosoEu_wc2.1_30s_tmax_02,-22.01071971282959,6.441815639846027E-4
DrosoEu_wc2.1_30s_tmax_02,-21.897439715576173,6.674706237390637E-4
DrosoEu_wc2.1_30s_tmax_02,-21.784159718322755,6.916013080626726E-4
DrosoEu_wc2.1_30s_tmax_02,-21.670879721069337,7.166045252233744E-4
DrosoEu_wc2.1_30s_tmax_02,-21.55759972381592,7.425108924508095E-4
DrosoEu_wc2.1_30s_tmax_02,-21.4443197265625,7.693534716963768E-4
DrosoEu_wc2.1_30s_tmax_02,-21.331039729309083,7.971664890646935E-4
DrosoEu_wc2.1_30s_tmax_02,-21.217759732055665,8.259841124527156E-4
DrosoEu_wc2.1_30s_tmax_02,-21.104479734802247,8.558435365557671E-4
DrosoEu_wc2.1_30s_tmax_02,-20.99119973754883,8.867813739925623E-4
DrosoEu_wc2.1_30s_tmax_02,-20.87791974029541,9.188370895572007E-4
DrosoEu_wc2.1_30s_tmax_02,-20.764639743041993,9.520515450276434E-4
DrosoEu_wc2.1_30s_tmax_02,-20.651359745788575,9.8646548576653E-4
DrosoEu_wc2.1_30s_tmax_02,-20.538079748535157,0.0010221228003501892
DrosoEu_wc2.1_30s_tmax_02,-20.42479975128174,0.0010590688325464725
DrosoEu_wc2.1_30s_tmax_02,-20.31151975402832,0.0010973491007462144
DrosoEu_wc2.1_30s_tmax_02,-20.198239756774903,0.0011370120337232947
DrosoEu_wc2.1_30s_tmax_02,-20.084959759521485,0.0011781086213886738
DrosoEu_wc2.1_30s_tmax_02,-19.971679762268067,0.0012206888059154153
DrosoEu_wc2.1_30s_tmax_02,-19.85839976501465,0.0012648070696741343
DrosoEu_wc2.1_30s_tmax_02,-19.74511976776123,0.001310519641265273
DrosoEu_wc2.1_30s_tmax_02,-19.631839770507813,0.0013578824000433087
DrosoEu_wc2.1_30s_tmax_02,-19.518559773254395,0.0014069556491449475
DrosoEu_wc2.1_30s_tmax_02,-19.405279776000977,0.0014578019035980105
DrosoEu_wc2.1_30s_tmax_02,-19.29199977874756,0.0015104834455996752
DrosoEu_wc2.1_30s_tmax_02,-19.17871978149414,0.001565067213959992
DrosoEu_wc2.1_30s_tmax_02,-19.065439784240723,0.0016216229414567351
DrosoEu_wc2.1_30s_tmax_02,-18.952159786987306,0.0016802196623757482
DrosoEu_wc2.1_30s_tmax_02,-18.838879789733888,0.0017409317661076784
DrosoEu_wc2.1_30s_tmax_02,-18.72559979248047,0.0018038367852568626
DrosoEu_wc2.1_30s_tmax_02,-18.61231979522705,0.0018690115539357066
DrosoEu_wc2.1_30s_tmax_02,-18.499039797973634,0.0019365388434380293
DrosoEu_wc2.1_30s_tmax_02,-18.385759800720216,0.0020065046846866608
DrosoEu_wc2.1_30s_tmax_02,-18.272479803466798,0.0020789944101125
DrosoEu_wc2.1_30s_tmax_02,-18.15919980621338,0.0021541002206504345
DrosoEu_wc2.1_30s_tmax_02,-18.04591980895996,0.002231917344033718
DrosoEu_wc2.1_30s_tmax_02,-17.932639811706544,0.002312541240826249
DrosoEu_wc2.1_30s_tmax_02,-17.819359814453126,0.0023960741236805916
DrosoEu_wc2.1_30s_tmax_02,-17.706079817199708,0.002482621930539608
DrosoEu_wc2.1_30s_tmax_02,-17.59279981994629,0.0025722903665155172
DrosoEu_wc2.1_30s_tmax_02,-17.479519822692872,0.002665194682776928
DrosoEu_wc2.1_30s_tmax_02,-17.366239825439454,0.002761448035016656
DrosoEu_wc2.1_30s_tmax_02,-17.252959828186036,0.002861172892153263
