variable,x,y
DrosoEu_wc2.1_30s_tmin_01,-37.21000165939331,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-37.106561656188966,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-37.003121652984625,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-36.89968164978028,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-36.79624164657593,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-36.69280164337159,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-36.58936164016724,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-36.48592163696289,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-36.382481633758545,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-36.279041630554204,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-36.175601627349856,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-36.07216162414551,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-35.96872162094117,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-35.86528161773682,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-35.76184161453247,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-35.65840161132813,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-35.55496160812378,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-35.451521604919435,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-35.348081601715094,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-35.244641598510746,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-35.1412015953064,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-35.03776159210205,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-34.93432158889771,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-34.83088158569336,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-34.727441582489014,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-34.62400157928467,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-34.520561576080325,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-34.41712157287598,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-34.31368156967163,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-34.21024156646729,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-34.10680156326294,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-34.00336156005859,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-33.89992155685425,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-33.796481553649905,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-33.69304155044556,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-33.589601547241216,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-33.48616154403687,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-33.38272154083252,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-33.27928153762818,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-33.17584153442383,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-33.072401531219484,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-32.96896152801514,5.125417956151068E-4
DrosoEu_wc2.1_30s_tmin_01,-32.865521524810795,5.174102843739092E-4
DrosoEu_wc2.1_30s_tmin_01,-32.76208152160645,5.322945071384311E-4
DrosoEu_wc2.1_30s_tmin_01,-32.6586415184021,5.476067890413105E-4
DrosoEu_wc2.1_30s_tmin_01,-32.55520151519776,5.633594701066613E-4
DrosoEu_wc2.1_30s_tmin_01,-32.45176151199341,5.795651231892407E-4
DrosoEu_wc2.1_30s_tmin_01,-32.34832150878906,5.962374270893633E-4
DrosoEu_wc2.1_30s_tmin_01,-32.24488150558472,6.133885472081602E-4
DrosoEu_wc2.1_30s_tmin_01,-32.141441502380374,6.310328608378768E-4
DrosoEu_wc2.1_30s_tmin_01,-32.038001499176026,6.491845706477761E-4
DrosoEu_wc2.1_30s_tmin_01,-31.934561495971682,6.678586360067129E-4
DrosoEu_wc2.1_30s_tmin_01,-31.831121492767338,6.8706925958395E-4
DrosoEu_wc2.1_30s_tmin_01,-31.72768148956299,7.06832273863256E-4
DrosoEu_wc2.1_30s_tmin_01,-31.624241486358645,7.271639769896865E-4
DrosoEu_wc2.1_30s_tmin_01,-31.520801483154298,7.480798522010446E-4
DrosoEu_wc2.1_30s_tmin_01,-31.417361479949953,7.695971871726215E-4
DrosoEu_wc2.1_30s_tmin_01,-31.31392147674561,7.917335024103522E-4
