"","Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Gonzalez","F","AK",84.8932038834951,23.0502101912274,88,8,184,0.858434686369616,0.271520088025666,72
"2","Gonzalez","F","GI",75.4206896551724,23.5110530822165,72,24,144,1.12726871321976,0.31173214126933,72
"3","Gonzalez","F","KA",80.4490644490645,23.3337649697726,80,32,160,1.06392810363186,0.290043956751618,72
"4","Gonzalez","F","MA",79.9535558780842,25.8438545219646,80,24,168,0.98457244413702,0.32323583658208,72
"5","Gonzalez","F","MU",89.0047095761382,25.5277930260085,88,24,168,1.011447985766,0.286813957908273,72
"6","Gonzalez","F","RE",80.1287356321839,21.3356320600609,80,24,144,1.02296525867942,0.266266925238883,80
"7","Gonzalez","F","UM",79.5011990407674,24.31959924038,80,24,160,1.19093589863549,0.305902294981855,88
"8","Gonzalez","F","VA",87.598615916955,26.8953578778449,88,8,168,1.1186994081096,0.307029484385258,72
"9","Gonzalez","F","YE",69.8856015779093,21.4644372160791,72,24,152,0.953269123439007,0.307136759667874,72
"10","Gonzalez","M","AK",56.4945904173107,16.4443771651759,56,16,120,0.646495176243861,0.291078792565901,48
"11","Gonzalez","M","GI",47.934693877551,16.7433355300228,48,24,120,0.756386798618494,0.349294721121899,40
"12","Gonzalez","M","KA",57.7848605577689,19.0035591235367,56,24,136,0.84817035254468,0.328867439327614,56
"13","Gonzalez","M","MA",51.1619613670134,16.4660250054665,48,16,120,0.634718619409915,0.321841160219533,48
"14","Gonzalez","M","MU",60.9615384615385,18.6476614072649,56,16,128,0.746503898481924,0.305892237595512,56
"15","Gonzalez","M","RE",52.1335952848723,15.1719096219309,48,16,136,0.672483070792884,0.291019822036586,48
"16","Gonzalez","M","UM",53.1900826446281,16.9502079478559,48,16,120,0.770463997629814,0.318672337117863,40
"17","Gonzalez","M","VA",55.7295774647887,20.4064510000249,48,24,144,0.765840459258458,0.366169131874688,48
"18","Gonzalez","M","YE",45.4252873563218,13.6316450995009,40,16,136,0.516706174034678,0.300089353151968,40
"19","Onder","F","AK",92.6241846462619,21.4660411076043,88,24,168,0.48083747439798,0.231754170787949,96
"20","Onder","F","GI",88.1396910678308,19.392433957525,88,32,168,0.502556589970603,0.220019309377894,88
"21","Onder","F","KA",97.2678034102307,22.0873033183555,96,32,168,0.494629618317048,0.227077229504212,96
"22","Onder","F","MA",92.4265593561368,23.1587840602104,88,24,168,0.519406718873944,0.250564169233816,96
"23","Onder","F","MU",101.796979865772,22.9616416281356,104,32,184,0.470272744232188,0.225563092917025,96
"24","Onder","F","RE",88.7657550535077,19.0736963855437,88,24,160,0.465073795052113,0.214876743560015,88
"25","Onder","F","UM",93.2280071813286,23.4085829141844,96,24,168,0.572646879728777,0.251089598736726,96
"26","Onder","F","VA",102.129248444232,24.2211346445095,104,24,184,0.529938245933743,0.237161587042674,96
"27","Onder","F","YE",80.1325301204819,19.2654278754615,80,24,168,0.431652232952821,0.240419563022598,72
"28","Onder","M","AK",73.2646608873024,16.2601246480821,72,24,136,0.367185120315233,0.221936803516963,72
"29","Onder","M","GI",70.1102791014295,17.3755233349051,72,24,128,0.453343085465562,0.247831324558952,64
"30","Onder","M","KA",75.6389167502508,16.3890853143528,72,24,136,0.367022035092305,0.216675304439741,80
"31","Onder","M","MA",73.1764705882353,16.2210533382697,72,24,144,0.365279750113939,0.221670343047094,72
"32","Onder","M","MU",78.7556311092223,16.4271801673816,80,32,144,0.338650761697766,0.208584198183868,80
"33","Onder","M","RE",70.1589958158996,16.2049099696661,72,24,136,0.396185568713115,0.230974086518976,64
"34","Onder","M","UM",76.6939759036145,18.8498802806212,72,24,144,0.462652115390987,0.245780454834039,72
"35","Onder","M","VA",77.6923076923077,19.0405137152642,80,24,160,0.417490881142448,0.24507591910736,72
"36","Onder","M","YE",64.9138276553106,15.3846126028805,64,24,128,0.34435492314841,0.237000546086606,64
"37","Pasyukova","F","AK",107.404566210046,23.8584943862775,112,16,184,0.509824821906486,0.22213668587999,112
"38","Pasyukova","F","GI",112.049230769231,23.7948126593279,112,16,192,0.659949362563586,0.212360339254217,112
"39","Pasyukova","F","KA",108.968844221106,24.1319073720797,112,16,192,0.540959947715614,0.221456945281666,112
"40","Pasyukova","F","MA",105.156,24.394450364874,104,16,208,0.545476492896029,0.231983437605786,112
"41","Pasyukova","F","MU",110.102512562814,25.9598937241764,112,16,200,0.58193753751853,0.235779303486522,112
"42","Pasyukova","F","RE",107.723964868256,26.0606100310936,112,16,200,0.652740288369493,0.24192026410247,112
"43","Pasyukova","F","UM",107.932584269663,26.094047810718,112,8,192,0.618488248981427,0.241762466703509,112
"44","Pasyukova","F","VA",114.502008032129,23.7895721446741,112,16,192,0.53301810910311,0.207765545369291,112
"45","Pasyukova","F","YE",92.6237776634071,22.2780387383349,88,16,160,0.505406187458701,0.240521810925191,72
"46","Pasyukova","M","AK",69.5203619909502,17.0150465155652,72,16,160,0.361940351531087,0.244749106999474,72
"47","Pasyukova","M","GI",69.3353846153846,16.282006965182,72,8,136,0.451581622926351,0.234829691296892,72
"48","Pasyukova","M","KA",73.4231155778894,18.7921035463848,72,8,176,0.421258676124391,0.255942606064565,72
"49","Pasyukova","M","MA",69.8,18.3564833298788,72,24,144,0.410463445534508,0.262986867190241,64
"50","Pasyukova","M","MU",76.5405405405405,19.545463561319,72,8,144,0.43726854070481,0.255360929296894,72
"51","Pasyukova","M","RE",69.885,18.6961290318473,72,8,144,0.467403225796183,0.267527066349679,72
"52","Pasyukova","M","UM",72.9072625698324,20.4481731214776,72,16,168,0.483312467028764,0.280468260646762,72
"53","Pasyukova","M","VA",75.6824120603015,20.3248540095336,72,8,192,0.455618024418815,0.268554522196509,72
"54","Pasyukova","M","YE",59.8406454866364,17.294703901316,56,16,144,0.388375453922333,0.289012656208367,72
