"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Mensch","S","F","1",6,"AK; KA; MA; UM; VA; YE",14,"AK1; AK2; KA10; KA23; MA33; MA5; UM28; UM29; UM5; VA11; VA46; YE19; YE22; YE48",14,"Mensch_1_AK1_F_1; Mensch_1_AK2_F_1; Mensch_1_KA10_F_1; Mensch_1_KA23_F_1; Mensch_1_MA33_F_1; Mensch_1_MA5_F_1; Mensch_1_UM28_F_1; Mensch_1_UM29_F_1; Mensch_1_UM5_F_1; Mensch_1_VA11_F_1; Mensch_1_VA46_F_1; Mensch_1_YE19_F_1; Mensch_1_YE22_F_1; Mensch_1_YE48_F_1",84
"Mensch","S","F","2",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",13,"AK4; AK9; GI15; GI8; KA24; KA3; MA3; MU2; RE1; RE3; UM4; VA18; YE21",13,"Mensch_2_AK4_F_1; Mensch_2_AK9_F_1; Mensch_2_GI15_F_1; Mensch_2_GI8_F_1; Mensch_2_KA24_F_1; Mensch_2_KA3_F_1; Mensch_2_MA3_F_1; Mensch_2_MU2_F_1; Mensch_2_RE1_F_1; Mensch_2_RE3_F_1; Mensch_2_UM4_F_1; Mensch_2_VA18_F_1; Mensch_2_YE21_F_1",77
"Mensch","S","F","3",8,"AK; GI; KA; MA; MU; RE; UM; VA",15,"AK10; AK21; GI9; KA1; KA15; MA9; MU15; MU3; RE5; RE7; UM17; UM25; VA1; VA66; VA67",15,"Mensch_3_AK10_F_1; Mensch_3_AK21_F_1; Mensch_3_GI9_F_1; Mensch_3_KA1_F_1; Mensch_3_KA15_F_1; Mensch_3_MA9_F_1; Mensch_3_MU15_F_1; Mensch_3_MU3_F_1; Mensch_3_RE5_F_1; Mensch_3_RE7_F_1; Mensch_3_UM17_F_1; Mensch_3_UM25_F_1; Mensch_3_VA1_F_1; Mensch_3_VA66_F_1; Mensch_3_VA67_F_1",90
"Mensch","S","F","4",6,"AK; GI; KA; UM; VA; YE",8,"AK3; AK5; GI3; KA6; UM2; UM23; VA44; YE13",8,"Mensch_4_AK3_F_1; Mensch_4_AK5_F_1; Mensch_4_GI3_F_1; Mensch_4_KA6_F_1; Mensch_4_UM2_F_1; Mensch_4_UM23_F_1; Mensch_4_VA44_F_1; Mensch_4_YE13_F_1",48
"Mensch","S","F","5",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",16,"AK13; AK15; GI2; KA29; KA7; MA16; MA21; MU20; MU7; RE10; RE12; UM26; UM8; VA22; VA6; YE11",16,"Mensch_5_AK13_F_1; Mensch_5_AK15_F_1; Mensch_5_GI2_F_1; Mensch_5_KA29_F_1; Mensch_5_KA7_F_1; Mensch_5_MA16_F_1; Mensch_5_MA21_F_1; Mensch_5_MU20_F_1; Mensch_5_MU7_F_1; Mensch_5_RE10_F_1; Mensch_5_RE12_F_1; Mensch_5_UM26_F_1; Mensch_5_UM8_F_1; Mensch_5_VA22_F_1; Mensch_5_VA6_F_1; Mensch_5_YE11_F_1",96
"Mensch","S","F","6",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",16,"AK14; AK6; GI5; GI6; KA13; KA25; MA19; MU10; MU12; RE15; UM13; UM9; VA35; VA48; YE27; YE49",16,"Mensch_6_AK14_F_1; Mensch_6_AK6_F_1; Mensch_6_GI5_F_1; Mensch_6_GI6_F_1; Mensch_6_KA13_F_1; Mensch_6_KA25_F_1; Mensch_6_MA19_F_1; Mensch_6_MU10_F_1; Mensch_6_MU12_F_1; Mensch_6_RE15_F_1; Mensch_6_UM13_F_1; Mensch_6_UM9_F_1; Mensch_6_VA35_F_1; Mensch_6_VA48_F_1; Mensch_6_YE27_F_1; Mensch_6_YE49_F_1",95
"Mensch","S","F","7",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",27,"AK17; AK7; GI1; GI12; GI7; KA17; KA9; MA12; MA27; MA31; MU14; MU8; MU9; RE16; RE2; RE8; UM18; UM20; UM6; UM7; VA30; VA9; YE15; YE23; YE26; YE40; YE80",27,"Mensch_7_AK17_F_1; Mensch_7_AK7_F_1; Mensch_7_GI1_F_1; Mensch_7_GI12_F_1; Mensch_7_GI7_F_1; Mensch_7_KA17_F_1; Mensch_7_KA9_F_1; Mensch_7_MA12_F_1; Mensch_7_MA27_F_1; Mensch_7_MA31_F_1; Mensch_7_MU14_F_1; Mensch_7_MU8_F_1; Mensch_7_MU9_F_1; Mensch_7_RE16_F_1; Mensch_7_RE2_F_1; Mensch_7_RE8_F_1; Mensch_7_UM18_F_1; Mensch_7_UM20_F_1; Mensch_7_UM6_F_1; Mensch_7_UM7_F_1; Mensch_7_VA30_F_1; Mensch_7_VA9_F_1; Mensch_7_YE15_F_1; Mensch_7_YE23_F_1; Mensch_7_YE26_F_1; Mensch_7_YE40_F_1; Mensch_7_YE80_F_1",162
"Mensch","S","F","8",8,"AK; GI; KA; MA; MU; RE; VA; YE",25,"AK11; AK12; AK18; GI11; GI13; GI14; KA13; KA18; MA26; MA30; MA32; MA6; MU17; MU4; MU6; RE18; RE6; VA34; VA47; VA55; VA71; YE14; YE21; YE33; YE69",25,"Mensch_8_AK11_F_1; Mensch_8_AK12_F_1; Mensch_8_AK18_F_1; Mensch_8_GI11_F_1; Mensch_8_GI13_F_1; Mensch_8_GI14_F_1; Mensch_8_KA13_F_1; Mensch_8_KA18_F_1; Mensch_8_MA26_F_1; Mensch_8_MA30_F_1; Mensch_8_MA32_F_1; Mensch_8_MA6_F_1; Mensch_8_MU17_F_1; Mensch_8_MU4_F_1; Mensch_8_MU6_F_1; Mensch_8_RE18_F_1; Mensch_8_RE6_F_1; Mensch_8_VA34_F_1; Mensch_8_VA47_F_1; Mensch_8_VA55_F_1; Mensch_8_VA71_F_1; Mensch_8_YE14_F_1; Mensch_8_YE21_F_1; Mensch_8_YE33_F_1; Mensch_8_YE69_F_1",144
"Mensch","S","F","9",8,"AK; KA; MA; MU; RE; UM; VA; YE",14,"AK20; KA14; KA28; MA13; MA20; MA7; MU11; MU16; MU5; RE13; RE4; UM21; VA26; YE51",14,"Mensch_9_AK20_F_1; Mensch_9_KA14_F_1; Mensch_9_KA28_F_1; Mensch_9_MA13_F_1; Mensch_9_MA20_F_1; Mensch_9_MA7_F_1; Mensch_9_MU11_F_1; Mensch_9_MU16_F_1; Mensch_9_MU5_F_1; Mensch_9_RE13_F_1; Mensch_9_RE4_F_1; Mensch_9_UM21_F_1; Mensch_9_VA26_F_1; Mensch_9_YE51_F_1",84
"Mensch","S","F","10",8,"AK; GI; KA; MA; MU; RE; VA; YE",19,"AK16; AK8; GI10; KA11; KA16; KA2; KA5; MA23; MU1; MU13; MU18; MU19; RE11; RE17; RE6; VA15; VA57; YE20; YE24",19,"Mensch_10_AK16_F_1; Mensch_10_AK8_F_1; Mensch_10_GI10_F_1; Mensch_10_KA11_F_1; Mensch_10_KA16_F_1; Mensch_10_KA2_F_1; Mensch_10_KA5_F_1; Mensch_10_MA23_F_1; Mensch_10_MU1_F_1; Mensch_10_MU13_F_1; Mensch_10_MU18_F_1; Mensch_10_MU19_F_1; Mensch_10_RE11_F_1; Mensch_10_RE17_F_1; Mensch_10_RE6_F_1; Mensch_10_VA15_F_1; Mensch_10_VA57_F_1; Mensch_10_YE20_F_1; Mensch_10_YE24_F_1",110
