"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Mensch","S","F","AK","AK1","Mensch_1_AK1_F_1",6,1,"1"
"Mensch","S","F","AK","AK10","Mensch_3_AK10_F_1",6,1,"3"
"Mensch","S","F","AK","AK11","Mensch_8_AK11_F_1",6,1,"8"
"Mensch","S","F","AK","AK12","Mensch_8_AK12_F_1",6,1,"8"
"Mensch","S","F","AK","AK13","Mensch_5_AK13_F_1",6,1,"5"
"Mensch","S","F","AK","AK14","Mensch_6_AK14_F_1",6,1,"6"
"Mensch","S","F","AK","AK15","Mensch_5_AK15_F_1",6,1,"5"
"Mensch","S","F","AK","AK16","Mensch_10_AK16_F_1",6,1,"10"
"Mensch","S","F","AK","AK17","Mensch_7_AK17_F_1",6,1,"7"
"Mensch","S","F","AK","AK18","Mensch_8_AK18_F_1",6,1,"8"
"Mensch","S","F","AK","AK2","Mensch_1_AK2_F_1",6,1,"1"
"Mensch","S","F","AK","AK20","Mensch_9_AK20_F_1",6,1,"9"
"Mensch","S","F","AK","AK21","Mensch_3_AK21_F_1",6,1,"3"
"Mensch","S","F","AK","AK3","Mensch_4_AK3_F_1",6,1,"4"
"Mensch","S","F","AK","AK4","Mensch_2_AK4_F_1",6,1,"2"
"Mensch","S","F","AK","AK5","Mensch_4_AK5_F_1",6,1,"4"
"Mensch","S","F","AK","AK6","Mensch_6_AK6_F_1",6,1,"6"
"Mensch","S","F","AK","AK7","Mensch_7_AK7_F_1",6,1,"7"
"Mensch","S","F","AK","AK8","Mensch_10_AK8_F_1",6,1,"10"
"Mensch","S","F","AK","AK9","Mensch_2_AK9_F_1",6,1,"2"
"Mensch","S","F","GI","GI1","Mensch_7_GI1_F_1",6,1,"7"
"Mensch","S","F","GI","GI10","Mensch_10_GI10_F_1",6,1,"10"
"Mensch","S","F","GI","GI11","Mensch_8_GI11_F_1",6,1,"8"
"Mensch","S","F","GI","GI12","Mensch_7_GI12_F_1",6,1,"7"
"Mensch","S","F","GI","GI13","Mensch_8_GI13_F_1",6,1,"8"
"Mensch","S","F","GI","GI14","Mensch_8_GI14_F_1",6,1,"8"
"Mensch","S","F","GI","GI15","Mensch_2_GI15_F_1",6,1,"2"
"Mensch","S","F","GI","GI2","Mensch_5_GI2_F_1",6,1,"5"
"Mensch","S","F","GI","GI3","Mensch_4_GI3_F_1",6,1,"4"
"Mensch","S","F","GI","GI5","Mensch_6_GI5_F_1",6,1,"6"
"Mensch","S","F","GI","GI6","Mensch_6_GI6_F_1",6,1,"6"
"Mensch","S","F","GI","GI7","Mensch_7_GI7_F_1",6,1,"7"
"Mensch","S","F","GI","GI8","Mensch_2_GI8_F_1",6,1,"2"
