"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Mensch","S","F","AK","AK1",1,"Mensch_1_AK1_F_1",6,1,"1"
"Mensch","S","F","AK","AK10",1,"Mensch_3_AK10_F_1",6,1,"3"
"Mensch","S","F","AK","AK11",1,"Mensch_8_AK11_F_1",6,1,"8"
"Mensch","S","F","AK","AK12",1,"Mensch_8_AK12_F_1",6,1,"8"
"Mensch","S","F","AK","AK13",1,"Mensch_5_AK13_F_1",6,1,"5"
"Mensch","S","F","AK","AK14",1,"Mensch_6_AK14_F_1",6,1,"6"
"Mensch","S","F","AK","AK15",1,"Mensch_5_AK15_F_1",6,1,"5"
"Mensch","S","F","AK","AK16",1,"Mensch_10_AK16_F_1",6,1,"10"
"Mensch","S","F","AK","AK17",1,"Mensch_7_AK17_F_1",6,1,"7"
"Mensch","S","F","AK","AK18",1,"Mensch_8_AK18_F_1",6,1,"8"
"Mensch","S","F","AK","AK2",1,"Mensch_1_AK2_F_1",6,1,"1"
"Mensch","S","F","AK","AK20",1,"Mensch_9_AK20_F_1",6,1,"9"
"Mensch","S","F","AK","AK21",1,"Mensch_3_AK21_F_1",6,1,"3"
"Mensch","S","F","AK","AK3",1,"Mensch_4_AK3_F_1",6,1,"4"
"Mensch","S","F","AK","AK4",1,"Mensch_2_AK4_F_1",6,1,"2"
"Mensch","S","F","AK","AK5",1,"Mensch_4_AK5_F_1",6,1,"4"
"Mensch","S","F","AK","AK6",1,"Mensch_6_AK6_F_1",6,1,"6"
"Mensch","S","F","AK","AK7",1,"Mensch_7_AK7_F_1",6,1,"7"
"Mensch","S","F","AK","AK8",1,"Mensch_10_AK8_F_1",6,1,"10"
"Mensch","S","F","AK","AK9",1,"Mensch_2_AK9_F_1",6,1,"2"
"Mensch","S","F","GI","GI1",1,"Mensch_7_GI1_F_1",6,1,"7"
"Mensch","S","F","GI","GI10",1,"Mensch_10_GI10_F_1",6,1,"10"
"Mensch","S","F","GI","GI11",1,"Mensch_8_GI11_F_1",6,1,"8"
"Mensch","S","F","GI","GI12",1,"Mensch_7_GI12_F_1",6,1,"7"
"Mensch","S","F","GI","GI13",1,"Mensch_8_GI13_F_1",6,1,"8"
"Mensch","S","F","GI","GI14",1,"Mensch_8_GI14_F_1",6,1,"8"
"Mensch","S","F","GI","GI15",1,"Mensch_2_GI15_F_1",6,1,"2"
"Mensch","S","F","GI","GI2",1,"Mensch_5_GI2_F_1",6,1,"5"
"Mensch","S","F","GI","GI3",1,"Mensch_4_GI3_F_1",6,1,"4"
"Mensch","S","F","GI","GI5",1,"Mensch_6_GI5_F_1",6,1,"6"
"Mensch","S","F","GI","GI6",1,"Mensch_6_GI6_F_1",6,1,"6"
"Mensch","S","F","GI","GI7",1,"Mensch_7_GI7_F_1",6,1,"7"
"Mensch","S","F","GI","GI8",1,"Mensch_2_GI8_F_1",6,1,"2"
"Mensch","S","F","GI","GI9",1,"Mensch_3_GI9_F_1",6,1,"3"
"Mensch","S","F","KA","KA1",1,"Mensch_3_KA1_F_1",6,1,"3"
"Mensch","S","F","KA","KA10",1,"Mensch_1_KA10_F_1",6,1,"1"
"Mensch","S","F","KA","KA11",1,"Mensch_10_KA11_F_1",6,1,"10"
"Mensch","S","F","KA","KA13",2,"Mensch_6_KA13_F_1; Mensch_8_KA13_F_1",6,2,"6; 8"
"Mensch","S","F","KA","KA14",1,"Mensch_9_KA14_F_1",6,1,"9"
"Mensch","S","F","KA","KA15",1,"Mensch_3_KA15_F_1",6,1,"3"
"Mensch","S","F","KA","KA16",1,"Mensch_10_KA16_F_1",6,1,"10"
"Mensch","S","F","KA","KA17",1,"Mensch_7_KA17_F_1",6,1,"7"
"Mensch","S","F","KA","KA18",1,"Mensch_8_KA18_F_1",6,1,"8"
"Mensch","S","F","KA","KA2",1,"Mensch_10_KA2_F_1",6,1,"10"
"Mensch","S","F","KA","KA23",1,"Mensch_1_KA23_F_1",6,1,"1"
"Mensch","S","F","KA","KA24",1,"Mensch_2_KA24_F_1",6,1,"2"
"Mensch","S","F","KA","KA25",1,"Mensch_6_KA25_F_1",6,1,"6"
"Mensch","S","F","KA","KA28",1,"Mensch_9_KA28_F_1",6,1,"9"
"Mensch","S","F","KA","KA29",1,"Mensch_5_KA29_F_1",6,1,"5"
"Mensch","S","F","KA","KA3",1,"Mensch_2_KA3_F_1",6,1,"2"
"Mensch","S","F","KA","KA5",1,"Mensch_10_KA5_F_1",6,1,"10"
