"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Vieira","S","F","1",1,"MU",6,"MU1; MU10; MU2; MU3; MU5; MU6",18,"Vieira_1_MU1_F_1; Vieira_1_MU1_F_2; Vieira_1_MU1_F_3; Vieira_1_MU10_F_1; Vieira_1_MU10_F_2; Vieira_1_MU10_F_3; Vieira_1_MU2_F_1; Vieira_1_MU2_F_2; Vieira_1_MU2_F_3; Vieira_1_MU3_F_1; Vieira_1_MU3_F_2; Vieira_1_MU3_F_3; Vieira_1_MU5_F_1; Vieira_1_MU5_F_2; Vieira_1_MU5_F_3; Vieira_1_MU6_F_1; Vieira_1_MU6_F_2; Vieira_1_MU6_F_3",18
"Vieira","S","F","2",4,"AK; GI; MU; UM",9,"AK2; AK3; GI2; GI3; MU14; MU18; MU20; UM2; UM5",27,"Vieira_2_AK2_F_1; Vieira_2_AK2_F_2; Vieira_2_AK2_F_3; Vieira_2_AK3_F_1; Vieira_2_AK3_F_2; Vieira_2_AK3_F_3; Vieira_2_GI2_F_1; Vieira_2_GI2_F_2; Vieira_2_GI2_F_3; Vieira_2_GI3_F_1; Vieira_2_GI3_F_2; Vieira_2_GI3_F_3; Vieira_2_MU14_F_1; Vieira_2_MU14_F_2; Vieira_2_MU14_F_3; Vieira_2_MU18_F_1; Vieira_2_MU18_F_2; Vieira_2_MU18_F_3; Vieira_2_MU20_F_1; Vieira_2_MU20_F_2; Vieira_2_MU20_F_3; Vieira_2_UM2_F_1; Vieira_2_UM2_F_2; Vieira_2_UM2_F_3; Vieira_2_UM5_F_1; Vieira_2_UM5_F_2; Vieira_2_UM5_F_3",27
"Vieira","S","F","3",4,"AK; GI; MU; UM",10,"AK9; GI7; MU11; MU12; MU13; MU15; MU17; MU19; UM6; UM7",30,"Vieira_3_AK9_F_1; Vieira_3_AK9_F_2; Vieira_3_AK9_F_3; Vieira_3_GI7_F_1; Vieira_3_GI7_F_2; Vieira_3_GI7_F_3; Vieira_3_MU11_F_1; Vieira_3_MU11_F_2; Vieira_3_MU11_F_3; Vieira_3_MU12_F_1; Vieira_3_MU12_F_2; Vieira_3_MU12_F_3; Vieira_3_MU13_F_1; Vieira_3_MU13_F_2; Vieira_3_MU13_F_3; Vieira_3_MU15_F_1; Vieira_3_MU15_F_2; Vieira_3_MU15_F_3; Vieira_3_MU17_F_1; Vieira_3_MU17_F_2; Vieira_3_MU17_F_3; Vieira_3_MU19_F_1; Vieira_3_MU19_F_2; Vieira_3_MU19_F_3; Vieira_3_UM6_F_1; Vieira_3_UM6_F_2; Vieira_3_UM6_F_3; Vieira_3_UM7_F_1; Vieira_3_UM7_F_2; Vieira_3_UM7_F_3",30
"Vieira","S","F","4",2,"AK; MU",8,"AK14; AK15; AK18; AK19; MU4; MU7; MU8; MU9",24,"Vieira_4_AK15_F_1; Vieira_4_AK14_F_1; Vieira_4_AK14_F_2; Vieira_4_AK14_F_3; Vieira_4_AK15_F_2; Vieira_4_AK15_F_3; Vieira_4_AK18_F_1; Vieira_4_AK18_F_2; Vieira_4_AK18_F_3; Vieira_4_AK19_F_1; Vieira_4_AK19_F_2; Vieira_4_AK19_F_3; Vieira_4_MU4_F_1; Vieira_4_MU4_F_2; Vieira_4_MU4_F_3; Vieira_4_MU7_F_1; Vieira_4_MU7_F_2; Vieira_4_MU7_F_3; Vieira_4_MU8_F_1; Vieira_4_MU8_F_2; Vieira_4_MU8_F_3; Vieira_4_MU9_F_1; Vieira_4_MU9_F_2; Vieira_4_MU9_F_3",24
"Vieira","S","F","5",3,"AK; GI; MU",6,"AK1; AK5; AK7; AK8; GI4; MU16",18,"Vieira_5_AK7_F_1; Vieira_5_GI4_F_1; Vieira_5_AK1_F_1; Vieira_5_AK1_F_2; Vieira_5_AK1_F_3; Vieira_5_AK5_F_1; Vieira_5_AK5_F_2; Vieira_5_AK5_F_3; Vieira_5_AK7_F_2; Vieira_5_AK7_F_3; Vieira_5_AK8_F_1; Vieira_5_AK8_F_2; Vieira_5_AK8_F_3; Vieira_5_GI4_F_2; Vieira_5_GI4_F_3; Vieira_5_MU16_F_1; Vieira_5_MU16_F_2; Vieira_5_MU16_F_3",18
"Vieira","S","F","6",1,"AK",4,"AK10; AK11; AK12; AK13",12,"Vieira_6_AK10_F_1; Vieira_6_AK10_F_2; Vieira_6_AK10_F_3; Vieira_6_AK11_F_1; Vieira_6_AK11_F_2; Vieira_6_AK11_F_3; Vieira_6_AK12_F_1; Vieira_6_AK12_F_2; Vieira_6_AK12_F_3; Vieira_6_AK13_F_1; Vieira_6_AK13_F_2; Vieira_6_AK13_F_3",12
"Vieira","S","F","7",1,"GI",3,"GI1; GI11; GI15",9,"Vieira_7_GI15_F_1; Vieira_7_GI1_F_1; Vieira_7_GI1_F_2; Vieira_7_GI1_F_3; Vieira_7_GI11_F_1; Vieira_7_GI11_F_2; Vieira_7_GI11_F_3; Vieira_7_GI15_F_2; Vieira_7_GI15_F_3",9
"Vieira","S","F","8",2,"AK; GI",4,"AK20; AK6; GI5; GI8",12,"Vieira_8_AK20_F_1; Vieira_8_AK20_F_2; Vieira_8_AK20_F_3; Vieira_8_AK6_F_1; Vieira_8_AK6_F_2; Vieira_8_AK6_F_3; Vieira_8_GI5_F_1; Vieira_8_GI5_F_2; Vieira_8_GI5_F_3; Vieira_8_GI8_F_1; Vieira_8_GI8_F_2; Vieira_8_GI8_F_3",12
"Vieira","S","F","9",1,"GI",4,"GI10; GI12; GI13; GI9",12,"Vieira_9_GI10_F_1; Vieira_9_GI10_F_2; Vieira_9_GI10_F_3; Vieira_9_GI12_F_1; Vieira_9_GI12_F_2; Vieira_9_GI12_F_3; Vieira_9_GI13_F_1; Vieira_9_GI13_F_2; Vieira_9_GI13_F_3; Vieira_9_GI9_F_1; Vieira_9_GI9_F_2; Vieira_9_GI9_F_3",12
"Vieira","S","F","10",1,"UM",5,"UM13; UM17; UM18; UM20; UM9",15,"Vieira_10_UM13_F_1; Vieira_10_UM13_F_2; Vieira_10_UM13_F_3; Vieira_10_UM17_F_1; Vieira_10_UM17_F_2; Vieira_10_UM17_F_3; Vieira_10_UM18_F_1; Vieira_10_UM18_F_2; Vieira_10_UM18_F_3; Vieira_10_UM20_F_1; Vieira_10_UM20_F_2; Vieira_10_UM20_F_3; Vieira_10_UM9_F_1; Vieira_10_UM9_F_2; Vieira_10_UM9_F_3",15
"Vieira","S","F","11",1,"UM",3,"UM21; UM23; UM24",9,"Vieira_11_UM21_F_1; Vieira_11_UM21_F_2; Vieira_11_UM21_F_3; Vieira_11_UM23_F_1; Vieira_11_UM23_F_2; Vieira_11_UM23_F_3; Vieira_11_UM24_F_1; Vieira_11_UM24_F_2; Vieira_11_UM24_F_3",9
"Vieira","S","F","12",1,"RE",4,"RE5; RE6; RE7; RE8",12,"Vieira_12_RE5_F_1; Vieira_12_RE5_F_2; Vieira_12_RE5_F_3; Vieira_12_RE6_F_1; Vieira_12_RE6_F_2; Vieira_12_RE6_F_3; Vieira_12_RE7_F_1; Vieira_12_RE7_F_2; Vieira_12_RE7_F_3; Vieira_12_RE8_F_1; Vieira_12_RE8_F_2; Vieira_12_RE8_F_3",12
"Vieira","S","F","13",1,"RE",4,"RE2; RE3; RE4; RE9",12,"Vieira_13_RE2_F_1; Vieira_13_RE2_F_2; Vieira_13_RE2_F_3; Vieira_13_RE3_F_1; Vieira_13_RE3_F_2; Vieira_13_RE3_F_3; Vieira_13_RE4_F_1; Vieira_13_RE4_F_2; Vieira_13_RE4_F_3; Vieira_13_RE9_F_1; Vieira_13_RE9_F_2; Vieira_13_RE9_F_3",12
"Vieira","S","F","14",1,"AK",3,"AK16; AK17; AK4",9,"Vieira_14_AK16_F_1; Vieira_14_AK16_F_2; Vieira_14_AK16_F_3; Vieira_14_AK17_F_1; Vieira_14_AK17_F_2; Vieira_14_AK17_F_3; Vieira_14_AK4_F_1; Vieira_14_AK4_F_2; Vieira_14_AK4_F_3",9
"Vieira","S","F","15",1,"RE",7,"RE10; RE11; RE13; RE15; RE16; RE17; RE18",21,"Vieira_15_RE10_F_1; Vieira_15_RE10_F_2; Vieira_15_RE10_F_3; Vieira_15_RE11_F_1; Vieira_15_RE11_F_2; Vieira_15_RE11_F_3; Vieira_15_RE13_F_1; Vieira_15_RE13_F_2; Vieira_15_RE13_F_3; Vieira_15_RE15_F_1; Vieira_15_RE15_F_2; Vieira_15_RE15_F_3; Vieira_15_RE16_F_1; Vieira_15_RE16_F_2; Vieira_15_RE16_F_3; Vieira_15_RE17_F_1; Vieira_15_RE17_F_2; Vieira_15_RE17_F_3; Vieira_15_RE18_F_1; Vieira_15_RE18_F_2; Vieira_15_RE18_F_3",21
"Vieira","S","F","16",2,"KA; RE",5,"KA10; KA6; KA7; KA9; RE12",15,"Vieira_16_KA10_F_1; Vieira_16_KA10_F_2; Vieira_16_KA10_F_3; Vieira_16_KA6_F_1; Vieira_16_KA6_F_2; Vieira_16_KA6_F_3; Vieira_16_KA7_F_1; Vieira_16_KA7_F_2; Vieira_16_KA7_F_3; Vieira_16_KA9_F_1; Vieira_16_KA9_F_2; Vieira_16_KA9_F_3; Vieira_16_RE12_F_1; Vieira_16_RE12_F_2; Vieira_16_RE12_F_3",15
