"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Vieira","S","F","AK","AK1","Vieira_5_AK1_F_1",1,1,"5"
"Vieira","S","F","AK","AK1","Vieira_5_AK1_F_2",1,1,"5"
"Vieira","S","F","AK","AK1","Vieira_5_AK1_F_3",1,1,"5"
"Vieira","S","F","AK","AK10","Vieira_6_AK10_F_1",1,1,"6"
"Vieira","S","F","AK","AK10","Vieira_6_AK10_F_2",1,1,"6"
"Vieira","S","F","AK","AK10","Vieira_6_AK10_F_3",1,1,"6"
"Vieira","S","F","AK","AK11","Vieira_6_AK11_F_1",1,1,"6"
"Vieira","S","F","AK","AK11","Vieira_6_AK11_F_2",1,1,"6"
"Vieira","S","F","AK","AK11","Vieira_6_AK11_F_3",1,1,"6"
"Vieira","S","F","AK","AK12","Vieira_6_AK12_F_1",1,1,"6"
"Vieira","S","F","AK","AK12","Vieira_6_AK12_F_2",1,1,"6"
"Vieira","S","F","AK","AK12","Vieira_6_AK12_F_3",1,1,"6"
"Vieira","S","F","AK","AK13","Vieira_6_AK13_F_1",1,1,"6"
"Vieira","S","F","AK","AK13","Vieira_6_AK13_F_2",1,1,"6"
"Vieira","S","F","AK","AK13","Vieira_6_AK13_F_3",1,1,"6"
"Vieira","S","F","AK","AK14","Vieira_4_AK14_F_1",1,1,"4"
"Vieira","S","F","AK","AK14","Vieira_4_AK14_F_2",1,1,"4"
"Vieira","S","F","AK","AK14","Vieira_4_AK14_F_3",1,1,"4"
"Vieira","S","F","AK","AK15","Vieira_4_AK15_F_1",1,1,"4"
"Vieira","S","F","AK","AK15","Vieira_4_AK15_F_2",1,1,"4"
"Vieira","S","F","AK","AK15","Vieira_4_AK15_F_3",1,1,"4"
"Vieira","S","F","AK","AK16","Vieira_14_AK16_F_1",1,1,"14"
"Vieira","S","F","AK","AK16","Vieira_14_AK16_F_2",1,1,"14"
"Vieira","S","F","AK","AK16","Vieira_14_AK16_F_3",1,1,"14"
"Vieira","S","F","AK","AK17","Vieira_14_AK17_F_1",1,1,"14"
"Vieira","S","F","AK","AK17","Vieira_14_AK17_F_2",1,1,"14"
"Vieira","S","F","AK","AK17","Vieira_14_AK17_F_3",1,1,"14"
"Vieira","S","F","AK","AK18","Vieira_4_AK18_F_1",1,1,"4"
"Vieira","S","F","AK","AK18","Vieira_4_AK18_F_2",1,1,"4"
"Vieira","S","F","AK","AK18","Vieira_4_AK18_F_3",1,1,"4"
"Vieira","S","F","AK","AK19","Vieira_4_AK19_F_1",1,1,"4"
"Vieira","S","F","AK","AK19","Vieira_4_AK19_F_2",1,1,"4"
"Vieira","S","F","AK","AK19","Vieira_4_AK19_F_3",1,1,"4"
"Vieira","S","F","AK","AK2","Vieira_2_AK2_F_1",1,1,"2"
"Vieira","S","F","AK","AK2","Vieira_2_AK2_F_2",1,1,"2"
"Vieira","S","F","AK","AK2","Vieira_2_AK2_F_3",1,1,"2"
"Vieira","S","F","AK","AK20","Vieira_8_AK20_F_1",1,1,"8"
"Vieira","S","F","AK","AK20","Vieira_8_AK20_F_2",1,1,"8"
"Vieira","S","F","AK","AK20","Vieira_8_AK20_F_3",1,1,"8"
"Vieira","S","F","AK","AK3","Vieira_2_AK3_F_1",1,1,"2"
"Vieira","S","F","AK","AK3","Vieira_2_AK3_F_2",1,1,"2"
"Vieira","S","F","AK","AK3","Vieira_2_AK3_F_3",1,1,"2"
"Vieira","S","F","AK","AK4","Vieira_14_AK4_F_1",1,1,"14"
"Vieira","S","F","AK","AK4","Vieira_14_AK4_F_2",1,1,"14"
"Vieira","S","F","AK","AK4","Vieira_14_AK4_F_3",1,1,"14"
"Vieira","S","F","AK","AK5","Vieira_5_AK5_F_1",1,1,"5"
"Vieira","S","F","AK","AK5","Vieira_5_AK5_F_2",1,1,"5"
"Vieira","S","F","AK","AK5","Vieira_5_AK5_F_3",1,1,"5"
"Vieira","S","F","AK","AK6","Vieira_8_AK6_F_1",1,1,"8"
"Vieira","S","F","AK","AK6","Vieira_8_AK6_F_2",1,1,"8"
"Vieira","S","F","AK","AK6","Vieira_8_AK6_F_3",1,1,"8"
"Vieira","S","F","AK","AK7","Vieira_5_AK7_F_1",1,1,"5"
"Vieira","S","F","AK","AK7","Vieira_5_AK7_F_2",1,1,"5"
"Vieira","S","F","AK","AK7","Vieira_5_AK7_F_3",1,1,"5"
"Vieira","S","F","AK","AK8","Vieira_5_AK8_F_1",1,1,"5"
"Vieira","S","F","AK","AK8","Vieira_5_AK8_F_2",1,1,"5"
"Vieira","S","F","AK","AK8","Vieira_5_AK8_F_3",1,1,"5"
"Vieira","S","F","AK","AK9","Vieira_3_AK9_F_1",1,1,"3"
"Vieira","S","F","AK","AK9","Vieira_3_AK9_F_2",1,1,"3"
"Vieira","S","F","AK","AK9","Vieira_3_AK9_F_3",1,1,"3"
"Vieira","S","F","GI","GI1","Vieira_7_GI1_F_1",1,1,"7"
"Vieira","S","F","GI","GI1","Vieira_7_GI1_F_2",1,1,"7"
"Vieira","S","F","GI","GI1","Vieira_7_GI1_F_3",1,1,"7"
"Vieira","S","F","GI","GI10","Vieira_9_GI10_F_1",1,1,"9"
"Vieira","S","F","GI","GI10","Vieira_9_GI10_F_2",1,1,"9"
