"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Gibert","NS","F","AK","AK1","Gibert_1_AK1_1",17,1,"1"
"Gibert","NS","F","AK","AK1","Gibert_1_AK1_2",12,1,"1"
"Gibert","NS","F","AK","AK1","Gibert_1_AK1_3",13,1,"1"
"Gibert","NS","F","AK","AK10","Gibert_1_AK10_1",15,1,"1"
"Gibert","NS","F","AK","AK10","Gibert_1_AK10_2",17,1,"1"
"Gibert","NS","F","AK","AK10","Gibert_1_AK10_3",11,1,"1"
"Gibert","NS","F","AK","AK11","Gibert_2_AK11_1",15,1,"2"
"Gibert","NS","F","AK","AK11","Gibert_2_AK11_2",18,1,"2"
"Gibert","NS","F","AK","AK11","Gibert_2_AK11_3",15,1,"2"
"Gibert","NS","F","AK","AK12","Gibert_1_AK12_1",19,1,"1"
"Gibert","NS","F","AK","AK12","Gibert_1_AK12_2",20,1,"1"
"Gibert","NS","F","AK","AK12","Gibert_1_AK12_3",15,1,"1"
"Gibert","NS","F","AK","AK12","Gibert_2_AK12_1",9,1,"2"
"Gibert","NS","F","AK","AK12","Gibert_2_AK12_2",20,1,"2"
"Gibert","NS","F","AK","AK12","Gibert_2_AK12_3",17,1,"2"
"Gibert","NS","F","AK","AK13","Gibert_2_AK13_1",16,1,"2"
"Gibert","NS","F","AK","AK13","Gibert_2_AK13_2",15,1,"2"
"Gibert","NS","F","AK","AK13","Gibert_2_AK13_3",15,1,"2"
"Gibert","NS","F","AK","AK14","Gibert_2_AK14_1",16,1,"2"
"Gibert","NS","F","AK","AK14","Gibert_2_AK14_2",9,1,"2"
"Gibert","NS","F","AK","AK14","Gibert_2_AK14_3",16,1,"2"
"Gibert","NS","F","AK","AK15","Gibert_3_AK15_1",18,1,"3"
"Gibert","NS","F","AK","AK15","Gibert_3_AK15_2",21,1,"3"
"Gibert","NS","F","AK","AK15","Gibert_3_AK15_3",11,1,"3"
"Gibert","NS","F","AK","AK16","Gibert_2_AK16_1",15,1,"2"
"Gibert","NS","F","AK","AK16","Gibert_2_AK16_2",16,1,"2"
"Gibert","NS","F","AK","AK16","Gibert_2_AK16_3",17,1,"2"
"Gibert","NS","F","AK","AK17","Gibert_1_AK17_1",13,1,"1"
"Gibert","NS","F","AK","AK17","Gibert_1_AK17_2",12,1,"1"
"Gibert","NS","F","AK","AK17","Gibert_1_AK17_3",14,1,"1"
"Gibert","NS","F","AK","AK18","Gibert_1_AK18_1",19,1,"1"
"Gibert","NS","F","AK","AK18","Gibert_1_AK18_2",5,1,"1"
"Gibert","NS","F","AK","AK18","Gibert_1_AK18_3",12,1,"1"
"Gibert","NS","F","AK","AK2","Gibert_1_AK2_1",11,1,"1"
"Gibert","NS","F","AK","AK2","Gibert_1_AK2_2",17,1,"1"
"Gibert","NS","F","AK","AK2","Gibert_1_AK2_3",15,1,"1"
"Gibert","NS","F","AK","AK20","Gibert_1_AK20_1",14,1,"1"
"Gibert","NS","F","AK","AK20","Gibert_1_AK20_2",15,1,"1"
"Gibert","NS","F","AK","AK20","Gibert_1_AK20_3",13,1,"1"
"Gibert","NS","F","AK","AK21","Gibert_1_AK21_1",12,1,"1"
"Gibert","NS","F","AK","AK21","Gibert_1_AK21_2",17,1,"1"
"Gibert","NS","F","AK","AK21","Gibert_1_AK21_3",12,1,"1"
"Gibert","NS","F","AK","AK3","Gibert_1_AK3_1",12,1,"1"
"Gibert","NS","F","AK","AK3","Gibert_1_AK3_2",18,1,"1"
