"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Bergland","S","F","AK","AK1",NA,1,1,"3"
"Bergland","S","F","AK","AK10",NA,1,1,"1"
"Bergland","S","F","AK","AK11",NA,1,1,"3"
"Bergland","S","F","AK","AK12",NA,1,1,"2"
"Bergland","S","F","AK","AK14",NA,1,1,"3"
"Bergland","S","F","AK","AK15",NA,1,1,"3"
"Bergland","S","F","AK","AK16",NA,1,1,"3"
"Bergland","S","F","AK","AK17",NA,1,1,"3"
"Bergland","S","F","AK","AK18",NA,1,1,"1"
"Bergland","S","F","AK","AK2",NA,1,1,"3"
"Bergland","S","F","AK","AK20",NA,1,1,"2"
"Bergland","S","F","AK","AK21",NA,1,1,"1"
"Bergland","S","F","AK","AK4",NA,1,1,"1"
"Bergland","S","F","AK","AK5",NA,1,1,"2"
"Bergland","S","F","AK","AK6",NA,1,1,"1"
"Bergland","S","F","AK","AK7",NA,1,1,"2"
"Bergland","S","F","AK","AK8",NA,1,1,"2"
"Bergland","S","F","AK","AK9",NA,1,1,"3"
"Bergland","S","F","GI","GI1",NA,1,1,"2"
"Bergland","S","F","GI","GI10",NA,1,1,"3"
"Bergland","S","F","GI","GI11",NA,1,1,"3"
"Bergland","S","F","GI","GI12",NA,1,1,"1"
"Bergland","S","F","GI","GI13",NA,1,1,"3"
"Bergland","S","F","GI","GI14",NA,1,1,"2"
"Bergland","S","F","GI","GI15",NA,1,1,"3"
"Bergland","S","F","GI","GI2",NA,1,1,"2"
"Bergland","S","F","GI","GI3",NA,1,1,"1"
"Bergland","S","F","GI","GI4",NA,1,1,"3"
"Bergland","S","F","GI","GI5",NA,3,3,"1; 2; 3"
"Bergland","S","F","GI","GI6",NA,1,1,"2"
"Bergland","S","F","GI","GI7",NA,1,1,"1"
"Bergland","S","F","GI","GI8",NA,1,1,"1"
"Bergland","S","F","GI","GI9",NA,1,1,"3"
"Bergland","S","F","KA","KA1",NA,3,3,"1; 2; 3"
"Bergland","S","F","KA","KA10",NA,3,3,"1; 2; 3"
"Bergland","S","F","KA","KA11",NA,1,1,"2"
"Bergland","S","F","KA","KA13",NA,1,1,"3"
"Bergland","S","F","KA","KA14",NA,1,1,"1"
"Bergland","S","F","KA","KA15",NA,1,1,"1"
"Bergland","S","F","KA","KA16",NA,1,1,"3"
"Bergland","S","F","KA","KA17",NA,1,1,"1"
"Bergland","S","F","KA","KA18",NA,1,1,"3"
"Bergland","S","F","KA","KA2",NA,1,1,"2"
"Bergland","S","F","KA","KA23",NA,1,1,"2"
"Bergland","S","F","KA","KA24",NA,3,3,"1; 2; 3"
"Bergland","S","F","KA","KA25",NA,1,1,"2"
"Bergland","S","F","KA","KA28",NA,1,1,"1"
"Bergland","S","F","KA","KA29",NA,1,1,"1"
"Bergland","S","F","KA","KA3",NA,1,1,"2"
"Bergland","S","F","KA","KA5",NA,1,1,"2"
"Bergland","S","F","KA","KA6",NA,1,1,"3"
"Bergland","S","F","KA","KA7",NA,1,1,"2"
"Bergland","S","F","KA","KA9",NA,1,1,"2"
"Bergland","S","F","MA","MA12",NA,1,1,"2"
"Bergland","S","F","MA","MA13",NA,1,1,"3"
"Bergland","S","F","MA","MA18",NA,1,1,"3"
"Bergland","S","F","MA","MA19",NA,1,1,"1"
"Bergland","S","F","MA","MA20",NA,1,1,"2"
"Bergland","S","F","MA","MA21",NA,1,1,"1"
"Bergland","S","F","MA","MA23",NA,1,1,"2"
"Bergland","S","F","MA","MA26",NA,1,1,"2"
"Bergland","S","F","MA","MA27",NA,1,1,"3"
"Bergland","S","F","MA","MA28",NA,1,1,"2"
"Bergland","S","F","MA","MA3",NA,1,1,"3"
"Bergland","S","F","MA","MA30",NA,1,1,"2"
"Bergland","S","F","MA","MA31",NA,1,1,"1"
"Bergland","S","F","MA","MA32",NA,3,3,"1; 2; 3"
"Bergland","S","F","MA","MA33",NA,1,1,"3"
"Bergland","S","F","MA","MA5",NA,1,1,"3"
"Bergland","S","F","MA","MA6",NA,1,1,"1"
"Bergland","S","F","MA","MA7",NA,1,1,"1"
"Bergland","S","F","MA","MA9",NA,1,1,"1"
"Bergland","S","F","MU","MU1",NA,1,1,"1"
"Bergland","S","F","MU","MU10",NA,1,1,"1"
"Bergland","S","F","MU","MU11",NA,1,1,"3"
"Bergland","S","F","MU","MU12",NA,1,1,"2"
"Bergland","S","F","MU","MU13",NA,1,1,"2"
"Bergland","S","F","MU","MU14",NA,1,1,"1"
"Bergland","S","F","MU","MU15",NA,1,1,"1"
"Bergland","S","F","MU","MU16",NA,3,3,"1; 2; 3"
"Bergland","S","F","MU","MU17",NA,1,1,"1"
"Bergland","S","F","MU","MU19",NA,1,1,"3"
"Bergland","S","F","MU","MU2",NA,1,1,"1"
"Bergland","S","F","MU","MU20",NA,3,3,"1; 2; 3"
"Bergland","S","F","MU","MU3",NA,3,3,"1; 2; 3"
"Bergland","S","F","MU","MU4",NA,1,1,"1"
"Bergland","S","F","MU","MU5",NA,1,1,"1"
"Bergland","S","F","MU","MU6",NA,1,1,"3"
"Bergland","S","F","MU","MU8",NA,1,1,"1"
"Bergland","S","F","MU","MU9",NA,1,1,"2"
"Bergland","S","F","RE","RE10",NA,1,1,"1"
"Bergland","S","F","RE","RE11",NA,1,1,"3"
"Bergland","S","F","RE","RE12",NA,1,1,"1"
"Bergland","S","F","RE","RE13",NA,1,1,"1"
"Bergland","S","F","RE","RE15",NA,3,3,"1; 2; 3"
"Bergland","S","F","RE","RE16",NA,1,1,"3"
"Bergland","S","F","RE","RE17",NA,1,1,"2"
"Bergland","S","F","RE","RE18",NA,1,1,"3"
"Bergland","S","F","RE","RE2",NA,1,1,"1"
"Bergland","S","F","RE","RE3",NA,1,1,"3"
"Bergland","S","F","RE","RE4",NA,1,1,"3"
"Bergland","S","F","RE","RE5",NA,1,1,"2"
"Bergland","S","F","RE","RE6",NA,1,1,"2"
"Bergland","S","F","RE","RE7",NA,1,1,"1"
"Bergland","S","F","UM","UM13",NA,3,3,"1; 2; 3"
"Bergland","S","F","UM","UM17",NA,3,3,"1; 2; 3"
"Bergland","S","F","UM","UM18",NA,1,1,"1"
"Bergland","S","F","UM","UM2",NA,1,1,"2"
"Bergland","S","F","UM","UM20",NA,3,3,"1; 2; 3"
"Bergland","S","F","UM","UM21",NA,1,1,"3"
"Bergland","S","F","UM","UM22",NA,1,1,"2"
"Bergland","S","F","UM","UM23",NA,1,1,"3"
"Bergland","S","F","UM","UM25",NA,1,1,"2"
"Bergland","S","F","UM","UM28",NA,1,1,"3"
"Bergland","S","F","UM","UM29",NA,1,1,"2"
"Bergland","S","F","UM","UM4",NA,1,1,"1"
"Bergland","S","F","UM","UM5",NA,1,1,"1"
"Bergland","S","F","UM","UM7",NA,1,1,"3"
"Bergland","S","F","UM","UM9",NA,1,1,"3"
"Bergland","S","F","VA","VA1",NA,3,3,"1; 2; 3"
"Bergland","S","F","VA","VA11",NA,1,1,"2"
"Bergland","S","F","VA","VA15",NA,1,1,"1"
"Bergland","S","F","VA","VA18",NA,1,1,"1"
