"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Bergland","S","F","AK","AK1",1,"",1,1,"3"
"Bergland","S","F","AK","AK10",1,"",1,1,"1"
"Bergland","S","F","AK","AK11",1,"",1,1,"3"
"Bergland","S","F","AK","AK12",1,"",1,1,"2"
"Bergland","S","F","AK","AK14",1,"",1,1,"3"
"Bergland","S","F","AK","AK15",1,"",1,1,"3"
"Bergland","S","F","AK","AK16",1,"",1,1,"3"
"Bergland","S","F","AK","AK17",1,"",1,1,"3"
"Bergland","S","F","AK","AK18",1,"",1,1,"1"
"Bergland","S","F","AK","AK2",1,"",1,1,"3"
"Bergland","S","F","AK","AK20",1,"",1,1,"2"
"Bergland","S","F","AK","AK21",1,"",1,1,"1"
"Bergland","S","F","AK","AK4",1,"",1,1,"1"
"Bergland","S","F","AK","AK5",1,"",1,1,"2"
"Bergland","S","F","AK","AK6",1,"",1,1,"1"
"Bergland","S","F","AK","AK7",1,"",1,1,"2"
"Bergland","S","F","AK","AK8",1,"",1,1,"2"
"Bergland","S","F","AK","AK9",1,"",1,1,"3"
"Bergland","S","F","GI","GI1",1,"",1,1,"2"
"Bergland","S","F","GI","GI10",1,"",1,1,"3"
"Bergland","S","F","GI","GI11",1,"",1,1,"3"
"Bergland","S","F","GI","GI12",1,"",1,1,"1"
"Bergland","S","F","GI","GI13",1,"",1,1,"3"
"Bergland","S","F","GI","GI14",1,"",1,1,"2"
"Bergland","S","F","GI","GI15",1,"",1,1,"3"
"Bergland","S","F","GI","GI2",1,"",1,1,"2"
"Bergland","S","F","GI","GI3",1,"",1,1,"1"
"Bergland","S","F","GI","GI4",1,"",1,1,"3"
"Bergland","S","F","GI","GI5",1,"",3,3,"1; 2; 3"
"Bergland","S","F","GI","GI6",1,"",1,1,"2"
"Bergland","S","F","GI","GI7",1,"",1,1,"1"
"Bergland","S","F","GI","GI8",1,"",1,1,"1"
"Bergland","S","F","GI","GI9",1,"",1,1,"3"
"Bergland","S","F","KA","KA1",1,"",3,3,"1; 2; 3"
