"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Tauber","NS","M","AK","AK1","Tauber_1_AK1_M_9",5,1,"1"
"Tauber","NS","M","AK","AK1","Tauber_2_AK1_M_2",5,1,"2"
"Tauber","NS","M","AK","AK2","Tauber_1_AK2_M_9",3,1,"1"
"Tauber","NS","M","AK","AK2","Tauber_2_AK2_M_2",6,1,"2"
"Tauber","NS","M","AK","AK3","Tauber_1_AK3_M_9",4,1,"1"
"Tauber","NS","M","AK","AK3","Tauber_2_AK3_M_2",3,1,"2"
"Tauber","NS","M","AK","AK4","Tauber_1_AK4_M_9",4,1,"1"
"Tauber","NS","M","AK","AK4","Tauber_2_AK4_M_2",6,1,"2"
"Tauber","NS","M","AK","AK5","Tauber_1_AK5_M_9",6,1,"1"
"Tauber","NS","M","AK","AK5","Tauber_2_AK5_M_2",4,1,"2"
"Tauber","NS","M","AK","AK6","Tauber_2_AK6_M_1",4,1,"2"
"Tauber","NS","M","AK","AK6","Tauber_2_AK6_M_2",4,1,"2"
"Tauber","NS","M","AK","AK7","Tauber_2_AK7_M_1",8,1,"2"
"Tauber","NS","M","AK","AK8","Tauber_2_AK8_M_1",9,1,"2"
"Tauber","NS","M","GI","GI1","Tauber_2_GI1_M_1",5,1,"2"
"Tauber","NS","M","GI","GI2","Tauber_1_GI2_M_8",2,1,"1"
"Tauber","NS","M","GI","GI2","Tauber_2_GI2_M_1",1,1,"2"
"Tauber","NS","M","GI","GI3","Tauber_1_GI3_M_8",5,1,"1"
"Tauber","NS","M","GI","GI3","Tauber_2_GI3_M_1",2,1,"2"
"Tauber","NS","M","GI","GI4","Tauber_1_GI4_M_8",3,1,"1"
"Tauber","NS","M","GI","GI4","Tauber_2_GI4_M_4",7,1,"2"
"Tauber","NS","M","GI","GI5","Tauber_1_GI5_M_8",3,1,"1"
"Tauber","NS","M","GI","GI5","Tauber_2_GI5_M_4",3,1,"2"
"Tauber","NS","M","GI","GI6","Tauber_1_GI6_M_8",6,1,"1"
"Tauber","NS","M","GI","GI6","Tauber_2_GI6_M_4",5,1,"2"
"Tauber","NS","M","GI","GI7","Tauber_1_GI7_M_8",3,1,"1"
"Tauber","NS","M","GI","GI7","Tauber_2_GI7_M_4",7,1,"2"
"Tauber","NS","M","GI","GI8","Tauber_1_GI8_M_8",2,1,"1"
"Tauber","NS","M","GI","GI8","Tauber_1_GI8_M_9",6,1,"1"
"Tauber","NS","M","GI","GI9","Tauber_2_GI9_M_4",1,1,"2"
"Tauber","NS","M","KA","KA1","Tauber_1_KA1_M_4",1,1,"1"
"Tauber","NS","M","KA","KA1","Tauber_2_KA1_M_10",3,1,"2"
"Tauber","NS","M","KA","KA10","Tauber_1_KA10_M_2",3,1,"1"
"Tauber","NS","M","KA","KA10","Tauber_2_KA10_M_7",2,1,"2"
"Tauber","NS","M","KA","KA11","Tauber_1_KA11_M_5",3,1,"1"
"Tauber","NS","M","KA","KA11","Tauber_2_KA11_M_7",3,1,"2"
