"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Parsch","NS","F","AK","AK1","Parsch_1_AK1_1",10,1,"1"
"Parsch","NS","F","AK","AK1","Parsch_1_AK1_2",9,1,"1"
"Parsch","NS","F","AK","AK1","Parsch_1_AK1_3",9,1,"1"
"Parsch","NS","F","AK","AK1","Parsch_2_AK1_4",9,1,"2"
"Parsch","NS","F","AK","AK1","Parsch_2_AK1_5",8,1,"2"
"Parsch","NS","F","AK","AK10","Parsch_1_AK10_1",10,1,"1"
"Parsch","NS","F","AK","AK10","Parsch_1_AK10_2",7,1,"1"
"Parsch","NS","F","AK","AK10","Parsch_2_AK10_3",10,1,"2"
"Parsch","NS","F","AK","AK10","Parsch_2_AK10_4",9,1,"2"
"Parsch","NS","F","AK","AK10","Parsch_2_AK10_5",8,1,"2"
"Parsch","NS","F","AK","AK11","Parsch_1_AK11_1",9,1,"1"
"Parsch","NS","F","AK","AK11","Parsch_1_AK11_2",10,1,"1"
"Parsch","NS","F","AK","AK11","Parsch_1_AK11_3",10,1,"1"
"Parsch","NS","F","AK","AK11","Parsch_2_AK11_4",9,1,"2"
"Parsch","NS","F","AK","AK11","Parsch_2_AK11_5",10,1,"2"
"Parsch","NS","F","AK","AK13","Parsch_1_AK13_1",10,1,"1"
"Parsch","NS","F","AK","AK13","Parsch_1_AK13_2",10,1,"1"
"Parsch","NS","F","AK","AK13","Parsch_2_AK13_3",10,1,"2"
"Parsch","NS","F","AK","AK13","Parsch_2_AK13_4",9,1,"2"
"Parsch","NS","F","AK","AK13","Parsch_2_AK13_5",10,1,"2"
"Parsch","NS","F","AK","AK14","Parsch_1_AK14_1",9,1,"1"
"Parsch","NS","F","AK","AK14","Parsch_2_AK14_2",9,1,"2"
"Parsch","NS","F","AK","AK14","Parsch_2_AK14_3",9,1,"2"
"Parsch","NS","F","AK","AK14","Parsch_2_AK14_4",10,1,"2"
"Parsch","NS","F","AK","AK14","Parsch_2_AK14_5",10,1,"2"
"Parsch","NS","F","AK","AK17","Parsch_1_AK17_1",10,1,"1"
"Parsch","NS","F","AK","AK17","Parsch_1_AK17_2",10,1,"1"
"Parsch","NS","F","AK","AK17","Parsch_2_AK17_3",10,1,"2"
"Parsch","NS","F","AK","AK17","Parsch_2_AK17_4",11,1,"2"
"Parsch","NS","F","AK","AK17","Parsch_2_AK17_5",9,1,"2"
"Parsch","NS","F","AK","AK18","Parsch_1_AK18_1",10,1,"1"
"Parsch","NS","F","AK","AK18","Parsch_1_AK18_2",9,1,"1"
"Parsch","NS","F","AK","AK18","Parsch_2_AK18_3",7,1,"2"
"Parsch","NS","F","AK","AK18","Parsch_2_AK18_4",10,1,"2"
"Parsch","NS","F","AK","AK18","Parsch_2_AK18_5",9,1,"2"
"Parsch","NS","F","AK","AK20","Parsch_1_AK20_1",10,1,"1"
"Parsch","NS","F","AK","AK20","Parsch_1_AK20_2",9,1,"1"
"Parsch","NS","F","AK","AK20","Parsch_1_AK20_3",10,1,"1"
"Parsch","NS","F","AK","AK20","Parsch_2_AK20_4",10,1,"2"
"Parsch","NS","F","AK","AK20","Parsch_2_AK20_5",10,1,"2"
"Parsch","NS","F","AK","AK21","Parsch_1_AK21_1",9,1,"1"
"Parsch","NS","F","AK","AK21","Parsch_1_AK21_2",9,1,"1"
"Parsch","NS","F","AK","AK21","Parsch_1_AK21_3",10,1,"1"
"Parsch","NS","F","AK","AK21","Parsch_2_AK21_4",10,1,"2"
"Parsch","NS","F","AK","AK21","Parsch_2_AK21_5",10,1,"2"
"Parsch","NS","F","AK","AK3","Parsch_1_AK3_1",8,1,"1"
"Parsch","NS","F","AK","AK3","Parsch_2_AK3_2",9,1,"2"
"Parsch","NS","F","AK","AK3","Parsch_2_AK3_3",10,1,"2"
"Parsch","NS","F","AK","AK3","Parsch_2_AK3_4",10,1,"2"
"Parsch","NS","F","AK","AK3","Parsch_2_AK3_5",10,1,"2"
"Parsch","NS","F","AK","AK4","Parsch_1_AK4_1",10,1,"1"
"Parsch","NS","F","AK","AK4","Parsch_1_AK4_2",10,1,"1"
"Parsch","NS","F","AK","AK4","Parsch_1_AK4_3",8,1,"1"
"Parsch","NS","F","AK","AK4","Parsch_2_AK4_4",10,1,"2"
"Parsch","NS","F","AK","AK4","Parsch_2_AK4_5",7,1,"2"
"Parsch","NS","F","AK","AK4","Parsch_2_AK4_6",10,1,"2"
"Parsch","NS","F","AK","AK6","Parsch_1_AK6_1",9,1,"1"
"Parsch","NS","F","AK","AK6","Parsch_2_AK6_2",10,1,"2"
"Parsch","NS","F","AK","AK6","Parsch_2_AK6_3",11,1,"2"
"Parsch","NS","F","AK","AK6","Parsch_2_AK6_4",10,1,"2"
"Parsch","NS","F","AK","AK6","Parsch_2_AK6_5",9,1,"2"
"Parsch","NS","F","AK","AK7","Parsch_1_AK7_1",9,1,"1"
"Parsch","NS","F","AK","AK7","Parsch_1_AK7_2",10,1,"1"
"Parsch","NS","F","AK","AK7","Parsch_1_AK7_3",10,1,"1"
"Parsch","NS","F","AK","AK7","Parsch_2_AK7_4",11,1,"2"
"Parsch","NS","F","AK","AK7","Parsch_2_AK7_5",11,1,"2"
"Parsch","NS","F","AK","AK8","Parsch_1_AK8_1",8,1,"1"
"Parsch","NS","F","AK","AK8","Parsch_1_AK8_2",10,1,"1"
"Parsch","NS","F","AK","AK8","Parsch_2_AK8_3",10,1,"2"
"Parsch","NS","F","AK","AK8","Parsch_2_AK8_4",13,1,"2"
"Parsch","NS","F","AK","AK8","Parsch_2_AK8_5",10,1,"2"
"Parsch","NS","F","AK","AK9","Parsch_1_AK9_1",10,1,"1"
"Parsch","NS","F","AK","AK9","Parsch_1_AK9_2",10,1,"1"
"Parsch","NS","F","AK","AK9","Parsch_1_AK9_3",10,1,"1"
"Parsch","NS","F","AK","AK9","Parsch_2_AK9_4",8,1,"2"
"Parsch","NS","F","AK","AK9","Parsch_2_AK9_5",12,1,"2"
"Parsch","NS","F","GI","GI1","Parsch_1_GI1_1",9,1,"1"
"Parsch","NS","F","GI","GI1","Parsch_1_GI1_2",10,1,"1"
"Parsch","NS","F","GI","GI1","Parsch_2_GI1_3",11,1,"2"
"Parsch","NS","F","GI","GI1","Parsch_2_GI1_4",9,1,"2"
"Parsch","NS","F","GI","GI1","Parsch_2_GI1_5",10,1,"2"
"Parsch","NS","F","GI","GI10","Parsch_1_GI10_1",10,1,"1"
"Parsch","NS","F","GI","GI10","Parsch_1_GI10_2",10,1,"1"
"Parsch","NS","F","GI","GI10","Parsch_1_GI10_3",10,1,"1"
"Parsch","NS","F","GI","GI10","Parsch_2_GI10_4",9,1,"2"
"Parsch","NS","F","GI","GI10","Parsch_2_GI10_5",10,1,"2"
"Parsch","NS","F","GI","GI11","Parsch_1_GI11_1",10,1,"1"
"Parsch","NS","F","GI","GI11","Parsch_1_GI11_2",10,1,"1"
"Parsch","NS","F","GI","GI11","Parsch_1_GI11_3",10,1,"1"
"Parsch","NS","F","GI","GI11","Parsch_2_GI11_4",9,1,"2"
"Parsch","NS","F","GI","GI11","Parsch_2_GI11_5",10,1,"2"
"Parsch","NS","F","GI","GI12","Parsch_1_GI12_1",10,1,"1"
"Parsch","NS","F","GI","GI12","Parsch_1_GI12_2",9,1,"1"
"Parsch","NS","F","GI","GI12","Parsch_1_GI12_3",9,1,"1"
"Parsch","NS","F","GI","GI12","Parsch_2_GI12_4",10,1,"2"
"Parsch","NS","F","GI","GI12","Parsch_2_GI12_5",10,1,"2"
"Parsch","NS","F","GI","GI13","Parsch_1_GI13_1",10,1,"1"
"Parsch","NS","F","GI","GI13","Parsch_2_GI13_2",10,1,"2"
"Parsch","NS","F","GI","GI13","Parsch_2_GI13_3",10,1,"2"
"Parsch","NS","F","GI","GI13","Parsch_2_GI13_4",11,1,"2"
"Parsch","NS","F","GI","GI13","Parsch_2_GI13_5",10,1,"2"
"Parsch","NS","F","GI","GI14","Parsch_1_GI14_1",9,1,"1"
"Parsch","NS","F","GI","GI14","Parsch_1_GI14_2",10,1,"1"
"Parsch","NS","F","GI","GI14","Parsch_1_GI14_3",10,1,"1"
"Parsch","NS","F","GI","GI14","Parsch_2_GI14_4",10,1,"2"
"Parsch","NS","F","GI","GI14","Parsch_2_GI14_5",9,1,"2"
"Parsch","NS","F","GI","GI15","Parsch_1_GI15_1",10,1,"1"
"Parsch","NS","F","GI","GI15","Parsch_1_GI15_2",10,1,"1"
"Parsch","NS","F","GI","GI15","Parsch_2_GI15_3",10,1,"2"
"Parsch","NS","F","GI","GI15","Parsch_2_GI15_4",10,1,"2"
"Parsch","NS","F","GI","GI15","Parsch_2_GI15_5",9,1,"2"
"Parsch","NS","F","GI","GI2","Parsch_1_GI2_1",10,1,"1"
"Parsch","NS","F","GI","GI2","Parsch_1_GI2_2",8,1,"1"
"Parsch","NS","F","GI","GI2","Parsch_2_GI2_3",10,1,"2"
"Parsch","NS","F","GI","GI2","Parsch_2_GI2_4",10,1,"2"
"Parsch","NS","F","GI","GI2","Parsch_2_GI2_5",9,1,"2"
"Parsch","NS","F","GI","GI3","Parsch_1_GI3_1",9,1,"1"
"Parsch","NS","F","GI","GI3","Parsch_1_GI3_2",10,1,"1"
"Parsch","NS","F","GI","GI3","Parsch_1_GI3_3",10,1,"1"
"Parsch","NS","F","GI","GI3","Parsch_2_GI3_4",10,1,"2"
"Parsch","NS","F","GI","GI3","Parsch_2_GI3_5",10,1,"2"
"Parsch","NS","F","GI","GI4","Parsch_1_GI4_1",9,1,"1"
"Parsch","NS","F","GI","GI4","Parsch_1_GI4_2",9,1,"1"
"Parsch","NS","F","GI","GI4","Parsch_2_GI4_3",10,1,"2"
"Parsch","NS","F","GI","GI4","Parsch_2_GI4_4",10,1,"2"
"Parsch","NS","F","GI","GI4","Parsch_2_GI4_5",9,1,"2"
"Parsch","NS","F","GI","GI5","Parsch_1_GI5_1",10,1,"1"
"Parsch","NS","F","GI","GI5","Parsch_1_GI5_2",10,1,"1"
"Parsch","NS","F","GI","GI5","Parsch_1_GI5_3",10,1,"1"
"Parsch","NS","F","GI","GI5","Parsch_2_GI5_4",10,1,"2"
"Parsch","NS","F","GI","GI5","Parsch_2_GI5_5",10,1,"2"
"Parsch","NS","F","GI","GI6","Parsch_1_GI6_1",10,1,"1"
"Parsch","NS","F","GI","GI6","Parsch_1_GI6_2",10,1,"1"
"Parsch","NS","F","GI","GI6","Parsch_2_GI6_3",9,1,"2"
"Parsch","NS","F","GI","GI6","Parsch_2_GI6_4",7,1,"2"
"Parsch","NS","F","GI","GI6","Parsch_2_GI6_5",10,1,"2"
"Parsch","NS","F","GI","GI7","Parsch_1_GI7_1",10,1,"1"
