"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Parsch","NS","F","AK","AK1",5,"Parsch_1_AK1_1; Parsch_1_AK1_2; Parsch_1_AK1_3; Parsch_2_AK1_4; Parsch_2_AK1_5",45,2,"1; 2"
"Parsch","NS","F","AK","AK10",5,"Parsch_1_AK10_1; Parsch_1_AK10_2; Parsch_2_AK10_3; Parsch_2_AK10_4; Parsch_2_AK10_5",44,2,"1; 2"
"Parsch","NS","F","AK","AK11",5,"Parsch_1_AK11_1; Parsch_1_AK11_2; Parsch_1_AK11_3; Parsch_2_AK11_4; Parsch_2_AK11_5",48,2,"1; 2"
"Parsch","NS","F","AK","AK13",5,"Parsch_1_AK13_1; Parsch_1_AK13_2; Parsch_2_AK13_3; Parsch_2_AK13_4; Parsch_2_AK13_5",49,2,"1; 2"
"Parsch","NS","F","AK","AK14",5,"Parsch_1_AK14_1; Parsch_2_AK14_2; Parsch_2_AK14_3; Parsch_2_AK14_4; Parsch_2_AK14_5",47,2,"1; 2"
"Parsch","NS","F","AK","AK17",5,"Parsch_1_AK17_1; Parsch_1_AK17_2; Parsch_2_AK17_3; Parsch_2_AK17_4; Parsch_2_AK17_5",50,2,"1; 2"
"Parsch","NS","F","AK","AK18",5,"Parsch_1_AK18_1; Parsch_1_AK18_2; Parsch_2_AK18_3; Parsch_2_AK18_4; Parsch_2_AK18_5",45,2,"1; 2"
"Parsch","NS","F","AK","AK20",5,"Parsch_1_AK20_1; Parsch_1_AK20_2; Parsch_1_AK20_3; Parsch_2_AK20_4; Parsch_2_AK20_5",49,2,"1; 2"
"Parsch","NS","F","AK","AK21",5,"Parsch_1_AK21_1; Parsch_1_AK21_2; Parsch_1_AK21_3; Parsch_2_AK21_4; Parsch_2_AK21_5",48,2,"1; 2"
"Parsch","NS","F","AK","AK3",5,"Parsch_1_AK3_1; Parsch_2_AK3_2; Parsch_2_AK3_3; Parsch_2_AK3_4; Parsch_2_AK3_5",47,2,"1; 2"
"Parsch","NS","F","AK","AK4",6,"Parsch_1_AK4_1; Parsch_1_AK4_2; Parsch_1_AK4_3; Parsch_2_AK4_4; Parsch_2_AK4_5; Parsch_2_AK4_6",55,2,"1; 2"
"Parsch","NS","F","AK","AK6",5,"Parsch_1_AK6_1; Parsch_2_AK6_2; Parsch_2_AK6_3; Parsch_2_AK6_4; Parsch_2_AK6_5",49,2,"1; 2"
"Parsch","NS","F","AK","AK7",5,"Parsch_1_AK7_1; Parsch_1_AK7_2; Parsch_1_AK7_3; Parsch_2_AK7_4; Parsch_2_AK7_5",51,2,"1; 2"
"Parsch","NS","F","AK","AK8",5,"Parsch_1_AK8_1; Parsch_1_AK8_2; Parsch_2_AK8_3; Parsch_2_AK8_4; Parsch_2_AK8_5",51,2,"1; 2"
"Parsch","NS","F","AK","AK9",5,"Parsch_1_AK9_1; Parsch_1_AK9_2; Parsch_1_AK9_3; Parsch_2_AK9_4; Parsch_2_AK9_5",50,2,"1; 2"
"Parsch","NS","F","GI","GI1",5,"Parsch_1_GI1_1; Parsch_1_GI1_2; Parsch_2_GI1_3; Parsch_2_GI1_4; Parsch_2_GI1_5",49,2,"1; 2"
"Parsch","NS","F","GI","GI10",5,"Parsch_1_GI10_1; Parsch_1_GI10_2; Parsch_1_GI10_3; Parsch_2_GI10_4; Parsch_2_GI10_5",49,2,"1; 2"
"Parsch","NS","F","GI","GI11",5,"Parsch_1_GI11_1; Parsch_1_GI11_2; Parsch_1_GI11_3; Parsch_2_GI11_4; Parsch_2_GI11_5",49,2,"1; 2"
"Parsch","NS","F","GI","GI12",5,"Parsch_1_GI12_1; Parsch_1_GI12_2; Parsch_1_GI12_3; Parsch_2_GI12_4; Parsch_2_GI12_5",48,2,"1; 2"
"Parsch","NS","F","GI","GI13",5,"Parsch_1_GI13_1; Parsch_2_GI13_2; Parsch_2_GI13_3; Parsch_2_GI13_4; Parsch_2_GI13_5",51,2,"1; 2"
"Parsch","NS","F","GI","GI14",5,"Parsch_1_GI14_1; Parsch_1_GI14_2; Parsch_1_GI14_3; Parsch_2_GI14_4; Parsch_2_GI14_5",48,2,"1; 2"
"Parsch","NS","F","GI","GI15",5,"Parsch_1_GI15_1; Parsch_1_GI15_2; Parsch_2_GI15_3; Parsch_2_GI15_4; Parsch_2_GI15_5",49,2,"1; 2"
"Parsch","NS","F","GI","GI2",5,"Parsch_1_GI2_1; Parsch_1_GI2_2; Parsch_2_GI2_3; Parsch_2_GI2_4; Parsch_2_GI2_5",47,2,"1; 2"
"Parsch","NS","F","GI","GI3",5,"Parsch_1_GI3_1; Parsch_1_GI3_2; Parsch_1_GI3_3; Parsch_2_GI3_4; Parsch_2_GI3_5",49,2,"1; 2"
"Parsch","NS","F","GI","GI4",5,"Parsch_1_GI4_1; Parsch_1_GI4_2; Parsch_2_GI4_3; Parsch_2_GI4_4; Parsch_2_GI4_5",47,2,"1; 2"
"Parsch","NS","F","GI","GI5",5,"Parsch_1_GI5_1; Parsch_1_GI5_2; Parsch_1_GI5_3; Parsch_2_GI5_4; Parsch_2_GI5_5",50,2,"1; 2"
"Parsch","NS","F","GI","GI6",5,"Parsch_1_GI6_1; Parsch_1_GI6_2; Parsch_2_GI6_3; Parsch_2_GI6_4; Parsch_2_GI6_5",46,2,"1; 2"
"Parsch","NS","F","GI","GI7",6,"Parsch_1_GI7_1; Parsch_2_GI7_2; Parsch_2_GI7_3; Parsch_2_GI7_4; Parsch_2_GI7_5; Parsch_2_GI7_6",57,2,"1; 2"
"Parsch","NS","F","GI","GI8",5,"Parsch_1_GI8_1; Parsch_1_GI8_2; Parsch_2_GI8_3; Parsch_2_GI8_4; Parsch_2_GI8_5",48,2,"1; 2"
"Parsch","NS","F","GI","GI9",5,"Parsch_1_GI9_1; Parsch_2_GI9_2; Parsch_2_GI9_3; Parsch_2_GI9_4; Parsch_2_GI9_5",48,2,"1; 2"
"Parsch","NS","F","KA","KA1",5,"Parsch_1_KA1_1; Parsch_1_KA1_2; Parsch_1_KA1_3; Parsch_2_KA1_4; Parsch_2_KA1_5",50,2,"1; 2"
"Parsch","NS","F","KA","KA10",5,"Parsch_1_KA10_1; Parsch_1_KA10_2; Parsch_1_KA10_3; Parsch_2_KA10_4; Parsch_2_KA10_5",49,2,"1; 2"
"Parsch","NS","F","KA","KA11",5,"Parsch_1_KA11_1; Parsch_1_KA11_2; Parsch_1_KA11_3; Parsch_2_KA11_4; Parsch_2_KA11_5",47,2,"1; 2"
"Parsch","NS","F","KA","KA14",5,"Parsch_1_KA14_1; Parsch_1_KA14_2; Parsch_1_KA14_3; Parsch_2_KA14_4; Parsch_2_KA14_5",49,2,"1; 2"
"Parsch","NS","F","KA","KA15",5,"Parsch_1_KA15_1; Parsch_1_KA15_2; Parsch_1_KA15_3; Parsch_2_KA15_4; Parsch_2_KA15_5",50,2,"1; 2"
"Parsch","NS","F","KA","KA17",5,"Parsch_1_KA17_1; Parsch_1_KA17_2; Parsch_1_KA17_3; Parsch_2_KA17_4; Parsch_2_KA17_5",48,2,"1; 2"
"Parsch","NS","F","KA","KA18",5,"Parsch_1_KA18_1; Parsch_1_KA18_2; Parsch_2_KA18_3; Parsch_2_KA18_4; Parsch_2_KA18_5",51,2,"1; 2"
"Parsch","NS","F","KA","KA23",5,"Parsch_1_KA23_1; Parsch_1_KA23_2; Parsch_1_KA23_3; Parsch_2_KA23_4; Parsch_2_KA23_5",49,2,"1; 2"
"Parsch","NS","F","KA","KA24",5,"Parsch_1_KA24_1; Parsch_1_KA24_2; Parsch_1_KA24_3; Parsch_2_KA24_4; Parsch_2_KA24_5",47,2,"1; 2"
"Parsch","NS","F","KA","KA28",5,"Parsch_1_KA28_1; Parsch_1_KA28_2; Parsch_1_KA28_3; Parsch_2_KA28_4; Parsch_2_KA28_5",48,2,"1; 2"
"Parsch","NS","F","KA","KA29",5,"Parsch_1_KA29_1; Parsch_1_KA29_2; Parsch_1_KA29_3; Parsch_2_KA29_4; Parsch_2_KA29_5",49,2,"1; 2"
"Parsch","NS","F","KA","KA3",5,"Parsch_1_KA3_1; Parsch_1_KA3_2; Parsch_1_KA3_3; Parsch_2_KA3_4; Parsch_2_KA3_5",48,2,"1; 2"
"Parsch","NS","F","KA","KA5",5,"Parsch_1_KA5_1; Parsch_1_KA5_2; Parsch_1_KA5_3; Parsch_2_KA5_4; Parsch_2_KA5_5",48,2,"1; 2"
"Parsch","NS","F","KA","KA7",5,"Parsch_1_KA7_1; Parsch_1_KA7_2; Parsch_1_KA7_3; Parsch_2_KA7_4; Parsch_2_KA7_5",48,2,"1; 2"
"Parsch","NS","F","KA","KA9",5,"Parsch_1_KA9_1; Parsch_1_KA9_2; Parsch_1_KA9_3; Parsch_2_KA9_4; Parsch_2_KA9_5",50,2,"1; 2"
"Parsch","NS","F","MA","MA12",5,"Parsch_1_MA12_1; Parsch_1_MA12_2; Parsch_1_MA12_3; Parsch_2_MA12_4; Parsch_2_MA12_5",48,2,"1; 2"
"Parsch","NS","F","MA","MA16",5,"Parsch_1_MA16_1; Parsch_1_MA16_2; Parsch_1_MA16_3; Parsch_2_MA16_4; Parsch_2_MA16_5",48,2,"1; 2"
"Parsch","NS","F","MA","MA18",5,"Parsch_1_MA18_1; Parsch_1_MA18_2; Parsch_1_MA18_3; Parsch_2_MA18_4; Parsch_2_MA18_5",50,2,"1; 2"
"Parsch","NS","F","MA","MA19",5,"Parsch_1_MA19_1; Parsch_1_MA19_2; Parsch_1_MA19_3; Parsch_2_MA19_4; Parsch_2_MA19_5",51,2,"1; 2"
