"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Flatt","S","F","AK",NA,NA,596,1,"1"
"Flatt","S","F","GI",NA,NA,600,1,"1"
"Flatt","S","F","KA",NA,NA,599,1,"1"
"Flatt","S","F","MA",NA,NA,590,1,"1"
"Flatt","S","F","MU",NA,NA,586,1,"1"
"Flatt","S","F","RE",NA,NA,596,1,"1"
"Flatt","S","F","UM",NA,NA,575,1,"1"
"Flatt","S","F","VA",NA,NA,588,1,"1"
"Flatt","S","F","YE",NA,NA,597,1,"1"
"Flatt","S","M","AK",NA,NA,590,1,"1"
"Flatt","S","M","GI",NA,NA,581,1,"1"
"Flatt","S","M","KA",NA,NA,578,1,"1"
"Flatt","S","M","MA",NA,NA,587,1,"1"
"Flatt","S","M","MU",NA,NA,605,1,"1"
"Flatt","S","M","RE",NA,NA,594,1,"1"
"Flatt","S","M","UM",NA,NA,587,1,"1"
"Flatt","S","M","VA",NA,NA,573,1,"1"
"Flatt","S","M","YE",NA,NA,590,1,"1"
"Parsch","NS","F","AK",NA,NA,728,2,"1; 2"
"Parsch","NS","F","GI",NA,NA,735,2,"1; 2"
"Parsch","NS","F","KA",NA,NA,731,2,"1; 2"
"Parsch","NS","F","MA",NA,NA,711,2,"1; 2"
"Parsch","NS","F","MU",NA,NA,720,2,"1; 2"
"Parsch","NS","F","RE",NA,NA,733,2,"1; 2"
"Parsch","NS","F","UM",NA,NA,727,2,"1; 2"
"Parsch","NS","F","VA",NA,NA,734,2,"1; 2"
"Parsch","NS","F","YE",NA,NA,721,2,"1; 2"
"Parsch","NS","M","AK",NA,NA,688,2,"1; 2"
"Parsch","NS","M","GI",NA,NA,718,2,"1; 2"
"Parsch","NS","M","KA",NA,NA,702,2,"1; 2"
"Parsch","NS","M","MA",NA,NA,686,2,"1; 2"
"Parsch","NS","M","MU",NA,NA,685,2,"1; 2"
"Parsch","NS","M","RE",NA,NA,692,2,"1; 2"
"Parsch","NS","M","UM",NA,NA,692,2,"1; 2"
"Parsch","NS","M","VA",NA,NA,702,2,"1; 2"
"Parsch","NS","M","YE",NA,NA,699,2,"1; 2"
"Pasyukova","S","F","AK",NA,NA,1760,2,"1; 2"
"Pasyukova","S","F","GI",NA,NA,1040,2,"1; 2"
"Pasyukova","S","F","KA",NA,NA,1600,2,"1; 2"
"Pasyukova","S","F","MA",NA,NA,1600,2,"1; 2"
"Pasyukova","S","F","MU",NA,NA,1600,2,"1; 2"
"Pasyukova","S","F","RE",NA,NA,1280,2,"1; 2"
"Pasyukova","S","F","UM",NA,NA,1440,2,"1; 2"
"Pasyukova","S","F","VA",NA,NA,1600,2,"1; 2"
"Pasyukova","S","F","YE",NA,NA,1600,2,"1; 2"
"Pasyukova","S","M","AK",NA,NA,1760,2,"1; 2"
"Pasyukova","S","M","GI",NA,NA,1040,2,"1; 2"
"Pasyukova","S","M","KA",NA,NA,1600,2,"1; 2"
"Pasyukova","S","M","MA",NA,NA,1600,2,"1; 2"
"Pasyukova","S","M","MU",NA,NA,1600,2,"1; 2"
"Pasyukova","S","M","RE",NA,NA,1280,2,"1; 2"
"Pasyukova","S","M","UM",NA,NA,1440,2,"1; 2"
"Pasyukova","S","M","VA",NA,NA,1600,2,"1; 2"
"Pasyukova","S","M","YE",NA,NA,1600,2,"1; 2"
