"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Flatt","S","F","AK",NA,1,"",596,1,"1"
"Flatt","S","F","GI",NA,1,"",600,1,"1"
"Flatt","S","F","KA",NA,1,"",599,1,"1"
"Flatt","S","F","MA",NA,1,"",590,1,"1"
"Flatt","S","F","MU",NA,1,"",586,1,"1"
"Flatt","S","F","RE",NA,1,"",596,1,"1"
"Flatt","S","F","UM",NA,1,"",575,1,"1"
"Flatt","S","F","VA",NA,1,"",588,1,"1"
"Flatt","S","F","YE",NA,1,"",597,1,"1"
"Flatt","S","M","AK",NA,1,"",590,1,"1"
"Flatt","S","M","GI",NA,1,"",581,1,"1"
"Flatt","S","M","KA",NA,1,"",578,1,"1"
"Flatt","S","M","MA",NA,1,"",587,1,"1"
"Flatt","S","M","MU",NA,1,"",605,1,"1"
"Flatt","S","M","RE",NA,1,"",594,1,"1"
"Flatt","S","M","UM",NA,1,"",587,1,"1"
"Flatt","S","M","VA",NA,1,"",573,1,"1"
"Flatt","S","M","YE",NA,1,"",590,1,"1"
"Parsch","NS","F","AK",NA,1,"",728,2,"1; 2"
"Parsch","NS","F","GI",NA,1,"",735,2,"1; 2"
"Parsch","NS","F","KA",NA,1,"",731,2,"1; 2"
"Parsch","NS","F","MA",NA,1,"",711,2,"1; 2"
"Parsch","NS","F","MU",NA,1,"",720,2,"1; 2"
"Parsch","NS","F","RE",NA,1,"",733,2,"1; 2"
"Parsch","NS","F","UM",NA,1,"",727,2,"1; 2"
"Parsch","NS","F","VA",NA,1,"",734,2,"1; 2"
"Parsch","NS","F","YE",NA,1,"",721,2,"1; 2"
"Parsch","NS","M","AK",NA,1,"",688,2,"1; 2"
"Parsch","NS","M","GI",NA,1,"",718,2,"1; 2"
"Parsch","NS","M","KA",NA,1,"",702,2,"1; 2"
"Parsch","NS","M","MA",NA,1,"",686,2,"1; 2"
"Parsch","NS","M","MU",NA,1,"",685,2,"1; 2"
"Parsch","NS","M","RE",NA,1,"",692,2,"1; 2"
"Parsch","NS","M","UM",NA,1,"",692,2,"1; 2"
"Parsch","NS","M","VA",NA,1,"",702,2,"1; 2"
"Parsch","NS","M","YE",NA,1,"",699,2,"1; 2"
"Pasyukova","S","F","AK",NA,1,"",1760,2,"1; 2"
"Pasyukova","S","F","GI",NA,1,"",1040,2,"1; 2"
"Pasyukova","S","F","KA",NA,1,"",1600,2,"1; 2"
"Pasyukova","S","F","MA",NA,1,"",1600,2,"1; 2"
"Pasyukova","S","F","MU",NA,1,"",1600,2,"1; 2"
"Pasyukova","S","F","RE",NA,1,"",1280,2,"1; 2"
"Pasyukova","S","F","UM",NA,1,"",1440,2,"1; 2"
"Pasyukova","S","F","VA",NA,1,"",1600,2,"1; 2"
"Pasyukova","S","F","YE",NA,1,"",1600,2,"1; 2"
"Pasyukova","S","M","AK",NA,1,"",1760,2,"1; 2"
"Pasyukova","S","M","GI",NA,1,"",1040,2,"1; 2"
"Pasyukova","S","M","KA",NA,1,"",1600,2,"1; 2"
"Pasyukova","S","M","MA",NA,1,"",1600,2,"1; 2"
"Pasyukova","S","M","MU",NA,1,"",1600,2,"1; 2"
"Pasyukova","S","M","RE",NA,1,"",1280,2,"1; 2"
"Pasyukova","S","M","UM",NA,1,"",1440,2,"1; 2"
"Pasyukova","S","M","VA",NA,1,"",1600,2,"1; 2"
"Pasyukova","S","M","YE",NA,1,"",1600,2,"1; 2"
