"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Flatt","S","F","AK",NA,"Flatt_AK_F_1",59,1,"1"
"Flatt","S","F","AK",NA,"Flatt_AK_F_10",58,1,"1"
"Flatt","S","F","AK",NA,"Flatt_AK_F_2",61,1,"1"
"Flatt","S","F","AK",NA,"Flatt_AK_F_3",60,1,"1"
"Flatt","S","F","AK",NA,"Flatt_AK_F_4",61,1,"1"
"Flatt","S","F","AK",NA,"Flatt_AK_F_5",59,1,"1"
"Flatt","S","F","AK",NA,"Flatt_AK_F_6",61,1,"1"
"Flatt","S","F","AK",NA,"Flatt_AK_F_7",59,1,"1"
"Flatt","S","F","AK",NA,"Flatt_AK_F_8",60,1,"1"
"Flatt","S","F","AK",NA,"Flatt_AK_F_9",58,1,"1"
"Flatt","S","F","GI",NA,"Flatt_GI_F_1",61,1,"1"
"Flatt","S","F","GI",NA,"Flatt_GI_F_10",62,1,"1"
"Flatt","S","F","GI",NA,"Flatt_GI_F_2",60,1,"1"
"Flatt","S","F","GI",NA,"Flatt_GI_F_3",55,1,"1"
"Flatt","S","F","GI",NA,"Flatt_GI_F_4",62,1,"1"
"Flatt","S","F","GI",NA,"Flatt_GI_F_5",60,1,"1"
"Flatt","S","F","GI",NA,"Flatt_GI_F_6",61,1,"1"
"Flatt","S","F","GI",NA,"Flatt_GI_F_7",60,1,"1"
"Flatt","S","F","GI",NA,"Flatt_GI_F_8",60,1,"1"
"Flatt","S","F","GI",NA,"Flatt_GI_F_9",59,1,"1"
"Flatt","S","F","KA",NA,"Flatt_KA_F_1",61,1,"1"
"Flatt","S","F","KA",NA,"Flatt_KA_F_10",60,1,"1"
"Flatt","S","F","KA",NA,"Flatt_KA_F_2",62,1,"1"
"Flatt","S","F","KA",NA,"Flatt_KA_F_3",57,1,"1"
"Flatt","S","F","KA",NA,"Flatt_KA_F_4",60,1,"1"
"Flatt","S","F","KA",NA,"Flatt_KA_F_5",60,1,"1"
"Flatt","S","F","KA",NA,"Flatt_KA_F_6",63,1,"1"
"Flatt","S","F","KA",NA,"Flatt_KA_F_7",57,1,"1"
"Flatt","S","F","KA",NA,"Flatt_KA_F_8",59,1,"1"
"Flatt","S","F","KA",NA,"Flatt_KA_F_9",60,1,"1"
"Flatt","S","F","MA",NA,"Flatt_MA_F_1",60,1,"1"
"Flatt","S","F","MA",NA,"Flatt_MA_F_10",63,1,"1"
"Flatt","S","F","MA",NA,"Flatt_MA_F_2",61,1,"1"
"Flatt","S","F","MA",NA,"Flatt_MA_F_3",59,1,"1"
"Flatt","S","F","MA",NA,"Flatt_MA_F_4",57,1,"1"
"Flatt","S","F","MA",NA,"Flatt_MA_F_5",60,1,"1"
"Flatt","S","F","MA",NA,"Flatt_MA_F_6",51,1,"1"
"Flatt","S","F","MA",NA,"Flatt_MA_F_7",60,1,"1"
"Flatt","S","F","MA",NA,"Flatt_MA_F_8",59,1,"1"
"Flatt","S","F","MA",NA,"Flatt_MA_F_9",60,1,"1"
"Flatt","S","F","MU",NA,"Flatt_MU_F_1",59,1,"1"
"Flatt","S","F","MU",NA,"Flatt_MU_F_10",60,1,"1"
