"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Gibert","NS","F","AK","AK1",NA,9,1,"1"
"Gibert","NS","F","AK","AK10",NA,10,1,"1"
"Gibert","NS","F","AK","AK11",NA,10,1,"2"
"Gibert","NS","F","AK","AK12",NA,20,2,"1; 2"
"Gibert","NS","F","AK","AK13",NA,10,1,"2"
"Gibert","NS","F","AK","AK14",NA,10,1,"2"
"Gibert","NS","F","AK","AK15",NA,10,1,"3"
"Gibert","NS","F","AK","AK16",NA,10,1,"2"
"Gibert","NS","F","AK","AK17",NA,10,1,"1"
"Gibert","NS","F","AK","AK18",NA,10,1,"1"
"Gibert","NS","F","AK","AK2",NA,10,1,"1"
"Gibert","NS","F","AK","AK20",NA,10,1,"1"
"Gibert","NS","F","AK","AK21",NA,10,1,"1"
"Gibert","NS","F","AK","AK3",NA,10,1,"1"
"Gibert","NS","F","AK","AK4",NA,10,1,"3"
"Gibert","NS","F","AK","AK5",NA,10,1,"2"
"Gibert","NS","F","AK","AK6",NA,10,1,"2"
"Gibert","NS","F","AK","AK7",NA,10,1,"1"
"Gibert","NS","F","AK","AK8",NA,10,1,"2"
"Gibert","NS","F","AK","AK9",NA,10,1,"2"
"Gibert","NS","F","GI","GI1",NA,10,1,"1"
"Gibert","NS","F","GI","GI10",NA,20,2,"1; 2"
"Gibert","NS","F","GI","GI11",NA,10,1,"1"
"Gibert","NS","F","GI","GI12",NA,10,1,"1"
"Gibert","NS","F","GI","GI13",NA,10,1,"2"
"Gibert","NS","F","GI","GI14",NA,10,1,"1"
"Gibert","NS","F","GI","GI15",NA,10,1,"1"
"Gibert","NS","F","GI","GI2",NA,10,1,"2"
"Gibert","NS","F","GI","GI3",NA,10,1,"2"
"Gibert","NS","F","GI","GI4",NA,10,1,"1"
"Gibert","NS","F","GI","GI5",NA,10,1,"1"
"Gibert","NS","F","GI","GI6",NA,10,1,"2"
"Gibert","NS","F","GI","GI7",NA,10,1,"1"
"Gibert","NS","F","GI","GI8",NA,10,1,"2"
"Gibert","NS","F","GI","GI9",NA,10,1,"1"
"Gibert","NS","F","KA","KA1",NA,10,1,"2"
"Gibert","NS","F","KA","KA10",NA,10,1,"1"
"Gibert","NS","F","KA","KA11",NA,20,2,"1; 2"
"Gibert","NS","F","KA","KA13",NA,10,1,"1"
"Gibert","NS","F","KA","KA14",NA,10,1,"2"
"Gibert","NS","F","KA","KA15",NA,10,1,"1"
"Gibert","NS","F","KA","KA16",NA,10,1,"1"
"Gibert","NS","F","KA","KA17",NA,10,1,"1"
"Gibert","NS","F","KA","KA18",NA,10,1,"2"
"Gibert","NS","F","KA","KA2",NA,10,1,"2"
"Gibert","NS","F","KA","KA23",NA,10,1,"1"
"Gibert","NS","F","KA","KA24",NA,10,1,"1"
"Gibert","NS","F","KA","KA25",NA,10,1,"2"
"Gibert","NS","F","KA","KA28",NA,10,1,"2"
"Gibert","NS","F","KA","KA29",NA,10,1,"2"
"Gibert","NS","F","KA","KA3",NA,10,1,"1"
"Gibert","NS","F","KA","KA5",NA,10,1,"2"
"Gibert","NS","F","KA","KA6",NA,10,1,"2"
"Gibert","NS","F","KA","KA7",NA,10,1,"1"
"Gibert","NS","F","KA","KA9",NA,10,1,"2"
"Gibert","NS","F","MA","MA13",NA,10,1,"2"
"Gibert","NS","F","MA","MA16",NA,10,1,"1"
"Gibert","NS","F","MA","MA18",NA,10,1,"1"
