"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Gibert","NS","F","AK","AK1",1,"",9,1,"1"
"Gibert","NS","F","AK","AK10",1,"",10,1,"1"
"Gibert","NS","F","AK","AK11",1,"",10,1,"2"
"Gibert","NS","F","AK","AK12",1,"",20,2,"1; 2"
"Gibert","NS","F","AK","AK13",1,"",10,1,"2"
"Gibert","NS","F","AK","AK14",1,"",10,1,"2"
"Gibert","NS","F","AK","AK15",1,"",10,1,"3"
"Gibert","NS","F","AK","AK16",1,"",10,1,"2"
"Gibert","NS","F","AK","AK17",1,"",10,1,"1"
"Gibert","NS","F","AK","AK18",1,"",10,1,"1"
"Gibert","NS","F","AK","AK2",1,"",10,1,"1"
"Gibert","NS","F","AK","AK20",1,"",10,1,"1"
"Gibert","NS","F","AK","AK21",1,"",10,1,"1"
"Gibert","NS","F","AK","AK3",1,"",10,1,"1"
"Gibert","NS","F","AK","AK4",1,"",10,1,"3"
"Gibert","NS","F","AK","AK5",1,"",10,1,"2"
"Gibert","NS","F","AK","AK6",1,"",10,1,"2"
"Gibert","NS","F","AK","AK7",1,"",10,1,"1"
"Gibert","NS","F","AK","AK8",1,"",10,1,"2"
"Gibert","NS","F","AK","AK9",1,"",10,1,"2"
"Gibert","NS","F","GI","GI1",1,"",10,1,"1"
"Gibert","NS","F","GI","GI10",1,"",20,2,"1; 2"
"Gibert","NS","F","GI","GI11",1,"",10,1,"1"
"Gibert","NS","F","GI","GI12",1,"",10,1,"1"
"Gibert","NS","F","GI","GI13",1,"",10,1,"2"
"Gibert","NS","F","GI","GI14",1,"",10,1,"1"
"Gibert","NS","F","GI","GI15",1,"",10,1,"1"
"Gibert","NS","F","GI","GI2",1,"",10,1,"2"
"Gibert","NS","F","GI","GI3",1,"",10,1,"2"
"Gibert","NS","F","GI","GI4",1,"",10,1,"1"
"Gibert","NS","F","GI","GI5",1,"",10,1,"1"
"Gibert","NS","F","GI","GI6",1,"",10,1,"2"
"Gibert","NS","F","GI","GI7",1,"",10,1,"1"
"Gibert","NS","F","GI","GI8",1,"",10,1,"2"
"Gibert","NS","F","GI","GI9",1,"",10,1,"1"
"Gibert","NS","F","KA","KA1",1,"",10,1,"2"
"Gibert","NS","F","KA","KA10",1,"",10,1,"1"
"Gibert","NS","F","KA","KA11",1,"",20,2,"1; 2"
"Gibert","NS","F","KA","KA13",1,"",10,1,"1"
"Gibert","NS","F","KA","KA14",1,"",10,1,"2"
"Gibert","NS","F","KA","KA15",1,"",10,1,"1"
"Gibert","NS","F","KA","KA16",1,"",10,1,"1"
"Gibert","NS","F","KA","KA17",1,"",10,1,"1"
"Gibert","NS","F","KA","KA18",1,"",10,1,"2"
"Gibert","NS","F","KA","KA2",1,"",10,1,"2"
"Gibert","NS","F","KA","KA23",1,"",10,1,"1"
"Gibert","NS","F","KA","KA24",1,"",10,1,"1"
"Gibert","NS","F","KA","KA25",1,"",10,1,"2"
"Gibert","NS","F","KA","KA28",1,"",10,1,"2"
"Gibert","NS","F","KA","KA29",1,"",10,1,"2"
"Gibert","NS","F","KA","KA3",1,"",10,1,"1"
"Gibert","NS","F","KA","KA5",1,"",10,1,"2"
"Gibert","NS","F","KA","KA6",1,"",10,1,"2"
"Gibert","NS","F","KA","KA7",1,"",10,1,"1"
"Gibert","NS","F","KA","KA9",1,"",10,1,"2"
"Gibert","NS","F","MA","MA13",1,"",10,1,"2"
"Gibert","NS","F","MA","MA16",1,"",10,1,"1"
"Gibert","NS","F","MA","MA18",1,"",10,1,"1"
"Gibert","NS","F","MA","MA19",1,"",10,1,"2"
"Gibert","NS","F","MA","MA20",1,"",10,1,"1"
"Gibert","NS","F","MA","MA21",1,"",10,1,"2"
"Gibert","NS","F","MA","MA23",1,"",10,1,"2"
"Gibert","NS","F","MA","MA26",1,"",10,1,"2"
"Gibert","NS","F","MA","MA27",1,"",10,1,"1"
"Gibert","NS","F","MA","MA28",1,"",10,1,"2"
"Gibert","NS","F","MA","MA3",1,"",10,1,"1"
"Gibert","NS","F","MA","MA30",1,"",20,2,"1; 2"
"Gibert","NS","F","MA","MA31",1,"",6,1,"2"
"Gibert","NS","F","MA","MA32",1,"",10,1,"1"
"Gibert","NS","F","MA","MA33",1,"",10,1,"1"
"Gibert","NS","F","MA","MA5",1,"",10,1,"2"
"Gibert","NS","F","MA","MA6",1,"",10,1,"2"
"Gibert","NS","F","MA","MA7",1,"",10,1,"2"
"Gibert","NS","F","MA","MA9",1,"",10,1,"1"
