"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Gonzalez","S","F","AK","AK1","Gonzalez_1_AK1_F_1",11,1,"1"
"Gonzalez","S","F","AK","AK1","Gonzalez_2_AK1_F_2",12,1,"2"
"Gonzalez","S","F","AK","AK1","Gonzalez_3_AK1_F_3",13,1,"3"
"Gonzalez","S","F","AK","AK10","Gonzalez_1_AK10_F_1",10,1,"1"
"Gonzalez","S","F","AK","AK10","Gonzalez_3_AK10_F_2",12,1,"3"
"Gonzalez","S","F","AK","AK10","Gonzalez_4_AK10_F_3",12,1,"4"
"Gonzalez","S","F","AK","AK11","Gonzalez_1_AK11_F_1",10,1,"1"
"Gonzalez","S","F","AK","AK11","Gonzalez_2_AK11_F_2",12,1,"2"
"Gonzalez","S","F","AK","AK11","Gonzalez_3_AK11_F_3",12,1,"3"
"Gonzalez","S","F","AK","AK12","Gonzalez_1_AK12_F_1",10,1,"1"
"Gonzalez","S","F","AK","AK12","Gonzalez_2_AK12_F_2",11,1,"2"
"Gonzalez","S","F","AK","AK12","Gonzalez_4_AK12_F_3",12,1,"4"
"Gonzalez","S","F","AK","AK13","Gonzalez_1_AK13_F_1",5,1,"1"
"Gonzalez","S","F","AK","AK13","Gonzalez_2_AK13_F_2",11,1,"2"
"Gonzalez","S","F","AK","AK13","Gonzalez_3_AK13_F_3",12,1,"3"
"Gonzalez","S","F","AK","AK14","Gonzalez_1_AK14_F_1",10,1,"1"
"Gonzalez","S","F","AK","AK14","Gonzalez_2_AK14_F_2",11,1,"2"
"Gonzalez","S","F","AK","AK14","Gonzalez_4_AK14_F_3",10,1,"4"
"Gonzalez","S","F","AK","AK15","Gonzalez_1_AK15_F_1",10,1,"1"
"Gonzalez","S","F","AK","AK15","Gonzalez_4_AK15_F_3",8,1,"4"
"Gonzalez","S","F","AK","AK15","Gonzalez_2_AK15_F_2",12,1,"2"
"Gonzalez","S","F","AK","AK16","Gonzalez_2_AK16_F_1",12,1,"2"
"Gonzalez","S","F","AK","AK16","Gonzalez_3_AK16_F_2",11,1,"3"
"Gonzalez","S","F","AK","AK16","Gonzalez_4_AK16_F_3",12,1,"4"
"Gonzalez","S","F","AK","AK17","Gonzalez_1_AK17_F_1",10,1,"1"
"Gonzalez","S","F","AK","AK17","Gonzalez_2_AK17_F_2",12,1,"2"
"Gonzalez","S","F","AK","AK17","Gonzalez_3_AK17_F_3",12,1,"3"
"Gonzalez","S","F","AK","AK17","Gonzalez_4_AK17_F_4",13,1,"4"
"Gonzalez","S","F","AK","AK17","Gonzalez_5_AK17_F_5",12,1,"5"
"Gonzalez","S","F","AK","AK17","Gonzalez_6_AK17_F_6",12,1,"6"
"Gonzalez","S","F","AK","AK17","Gonzalez_7_AK17_F_7",12,1,"7"
"Gonzalez","S","F","AK","AK18","Gonzalez_1_AK18_F_1",10,1,"1"
"Gonzalez","S","F","AK","AK18","Gonzalez_2_AK18_F_2",16,1,"2"
"Gonzalez","S","F","AK","AK18","Gonzalez_3_AK18_F_3",10,1,"3"
"Gonzalez","S","F","AK","AK2","Gonzalez_2_AK2_F_1",11,1,"2"
"Gonzalez","S","F","AK","AK2","Gonzalez_3_AK2_F_2",18,1,"3"
"Gonzalez","S","F","AK","AK2","Gonzalez_4_AK2_F_3",12,1,"4"
"Gonzalez","S","F","AK","AK20","Gonzalez_1_AK20_F_1",9,1,"1"
"Gonzalez","S","F","AK","AK20","Gonzalez_2_AK20_F_2",12,1,"2"
"Gonzalez","S","F","AK","AK20","Gonzalez_3_AK20_F_3",12,1,"3"
"Gonzalez","S","F","AK","AK21","Gonzalez_1_AK21_F_1",10,1,"1"
"Gonzalez","S","F","AK","AK21","Gonzalez_2_AK21_F_2",12,1,"2"
