"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Gonzalez","S","F","AK","AK1",3,"Gonzalez_1_AK1_F_1; Gonzalez_2_AK1_F_2; Gonzalez_3_AK1_F_3",36,3,"1; 2; 3"
"Gonzalez","S","F","AK","AK10",3,"Gonzalez_1_AK10_F_1; Gonzalez_3_AK10_F_2; Gonzalez_4_AK10_F_3",34,3,"1; 3; 4"
"Gonzalez","S","F","AK","AK11",3,"Gonzalez_1_AK11_F_1; Gonzalez_2_AK11_F_2; Gonzalez_3_AK11_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","AK","AK12",3,"Gonzalez_1_AK12_F_1; Gonzalez_2_AK12_F_2; Gonzalez_4_AK12_F_3",33,3,"1; 2; 4"
"Gonzalez","S","F","AK","AK13",3,"Gonzalez_1_AK13_F_1; Gonzalez_2_AK13_F_2; Gonzalez_3_AK13_F_3",28,3,"1; 2; 3"
"Gonzalez","S","F","AK","AK14",3,"Gonzalez_1_AK14_F_1; Gonzalez_2_AK14_F_2; Gonzalez_4_AK14_F_3",31,3,"1; 2; 4"
"Gonzalez","S","F","AK","AK15",3,"Gonzalez_1_AK15_F_1; Gonzalez_4_AK15_F_3; Gonzalez_2_AK15_F_2",30,3,"1; 2; 4"
"Gonzalez","S","F","AK","AK16",3,"Gonzalez_2_AK16_F_1; Gonzalez_3_AK16_F_2; Gonzalez_4_AK16_F_3",35,3,"2; 3; 4"
"Gonzalez","S","F","AK","AK17",7,"Gonzalez_1_AK17_F_1; Gonzalez_2_AK17_F_2; Gonzalez_3_AK17_F_3; Gonzalez_4_AK17_F_4; Gonzalez_5_AK17_F_5; Gonzalez_6_AK17_F_6; Gonzalez_7_AK17_F_7",83,7,"1; 2; 3; 4; 5; 6; 7"
"Gonzalez","S","F","AK","AK18",3,"Gonzalez_1_AK18_F_1; Gonzalez_2_AK18_F_2; Gonzalez_3_AK18_F_3",36,3,"1; 2; 3"
"Gonzalez","S","F","AK","AK2",3,"Gonzalez_2_AK2_F_1; Gonzalez_3_AK2_F_2; Gonzalez_4_AK2_F_3",41,3,"2; 3; 4"
"Gonzalez","S","F","AK","AK20",3,"Gonzalez_1_AK20_F_1; Gonzalez_2_AK20_F_2; Gonzalez_3_AK20_F_3",33,3,"1; 2; 3"
"Gonzalez","S","F","AK","AK21",3,"Gonzalez_1_AK21_F_1; Gonzalez_2_AK21_F_2; Gonzalez_3_AK21_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","AK","AK3",3,"Gonzalez_5_AK3_F_1; Gonzalez_6_AK3_F_2; Gonzalez_7_AK3_F_3",35,3,"5; 6; 7"
"Gonzalez","S","F","AK","AK4",3,"Gonzalez_1_AK4_F_1; Gonzalez_2_AK4_F_2; Gonzalez_4_AK4_F_3",35,3,"1; 2; 4"
"Gonzalez","S","F","AK","AK5",3,"Gonzalez_3_AK5_F_2; Gonzalez_4_AK5_F_3; Gonzalez_1_AK5_F_1",29,3,"1; 3; 4"
"Gonzalez","S","F","AK","AK6",3,"Gonzalez_1_AK6_F_1; Gonzalez_2_AK6_F_2; Gonzalez_3_AK6_F_3",33,3,"1; 2; 3"
"Gonzalez","S","F","AK","AK7",3,"Gonzalez_1_AK7_F_1; Gonzalez_2_AK7_F_2; Gonzalez_3_AK7_F_3",33,3,"1; 2; 3"
"Gonzalez","S","F","AK","AK8",3,"Gonzalez_1_AK8_F_1; Gonzalez_2_AK8_F_2; Gonzalez_3_AK8_F_3",33,3,"1; 2; 3"
"Gonzalez","S","F","AK","AK9",3,"Gonzalez_2_AK9_F_1; Gonzalez_3_AK9_F_2; Gonzalez_4_AK9_F_3",35,3,"2; 3; 4"
"Gonzalez","S","F","GI","GI1",3,"Gonzalez_1_GI1_F_1; Gonzalez_4_GI1_F_3; Gonzalez_2_GI1_F_2",32,3,"1; 2; 4"
"Gonzalez","S","F","GI","GI10",3,"Gonzalez_5_GI10_F_1; Gonzalez_6_GI10_F_2; Gonzalez_7_GI10_F_3",36,3,"5; 6; 7"
"Gonzalez","S","F","GI","GI11",3,"Gonzalez_5_GI11_F_1; Gonzalez_6_GI11_F_2; Gonzalez_7_GI11_F_3",33,3,"5; 6; 7"
"Gonzalez","S","F","GI","GI12",3,"Gonzalez_1_GI12_F_1; Gonzalez_2_GI12_F_2; Gonzalez_3_GI12_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","GI","GI13",3,"Gonzalez_1_GI13_F_1; Gonzalez_2_GI13_F_2; Gonzalez_3_GI13_F_3",32,3,"1; 2; 3"
"Gonzalez","S","F","GI","GI15",3,"Gonzalez_1_GI15_F_1; Gonzalez_2_GI15_F_2; Gonzalez_3_GI15_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","GI","GI3",3,"Gonzalez_1_GI3_F_1; Gonzalez_2_GI3_F_2; Gonzalez_3_GI3_F_3",33,3,"1; 2; 3"
"Gonzalez","S","F","GI","GI4",3,"Gonzalez_1_GI4_F_1; Gonzalez_2_GI4_F_2; Gonzalez_3_GI4_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","GI","GI5",3,"Gonzalez_5_GI5_F_1; Gonzalez_6_GI5_F_2; Gonzalez_7_GI5_F_3",36,3,"5; 6; 7"
"Gonzalez","S","F","GI","GI6",3,"Gonzalez_1_GI6_F_1; Gonzalez_2_GI6_F_2; Gonzalez_3_GI6_F_3",32,3,"1; 2; 3"
"Gonzalez","S","F","GI","GI7",3,"Gonzalez_4_GI7_F_3; Gonzalez_1_GI7_F_1; Gonzalez_2_GI7_F_2",34,3,"1; 2; 4"
