"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Kozeretska","NS","F","AK","AK1","Kozeretska_1_AK1_1",20,1,"1"
"Kozeretska","NS","F","AK","AK1","Kozeretska_2_AK1_1",20,1,"2"
"Kozeretska","NS","F","AK","AK10","Kozeretska_1_AK10_1",20,1,"1"
"Kozeretska","NS","F","AK","AK10","Kozeretska_2_AK10_1",20,1,"2"
"Kozeretska","NS","F","AK","AK11","Kozeretska_1_AK11_1",20,1,"1"
"Kozeretska","NS","F","AK","AK11","Kozeretska_2_AK11_1",20,1,"2"
"Kozeretska","NS","F","AK","AK12","Kozeretska_1_AK12_1",20,1,"1"
"Kozeretska","NS","F","AK","AK12","Kozeretska_2_AK12_1",20,1,"2"
"Kozeretska","NS","F","AK","AK13","Kozeretska_1_AK13_1",20,1,"1"
"Kozeretska","NS","F","AK","AK13","Kozeretska_2_AK13_1",20,1,"2"
"Kozeretska","NS","F","AK","AK14","Kozeretska_1_AK14_1",20,1,"1"
"Kozeretska","NS","F","AK","AK14","Kozeretska_2_AK14_1",20,1,"2"
"Kozeretska","NS","F","AK","AK15","Kozeretska_1_AK15_1",20,1,"1"
"Kozeretska","NS","F","AK","AK16","Kozeretska_1_AK16_1",20,1,"1"
"Kozeretska","NS","F","AK","AK16","Kozeretska_2_AK16_1",20,1,"2"
"Kozeretska","NS","F","AK","AK17","Kozeretska_1_AK17_1",20,1,"1"
"Kozeretska","NS","F","AK","AK17","Kozeretska_2_AK17_1",20,1,"2"
"Kozeretska","NS","F","AK","AK2","Kozeretska_1_AK2_1",20,1,"1"
"Kozeretska","NS","F","AK","AK20","Kozeretska_1_AK20_1",20,1,"1"
"Kozeretska","NS","F","AK","AK20","Kozeretska_2_AK20_1",20,1,"2"
"Kozeretska","NS","F","AK","AK21","Kozeretska_1_AK21_1",20,1,"1"
"Kozeretska","NS","F","AK","AK3","Kozeretska_1_AK3_1",20,1,"1"
"Kozeretska","NS","F","AK","AK3","Kozeretska_2_AK3_1",20,1,"2"
"Kozeretska","NS","F","AK","AK4","Kozeretska_1_AK4_1",20,1,"1"
"Kozeretska","NS","F","AK","AK4","Kozeretska_2_AK4_1",20,1,"2"
"Kozeretska","NS","F","AK","AK5","Kozeretska_1_AK5_1",20,1,"1"
"Kozeretska","NS","F","AK","AK5","Kozeretska_2_AK5_1",20,1,"2"
"Kozeretska","NS","F","AK","AK6","Kozeretska_1_AK6_1",20,1,"1"
"Kozeretska","NS","F","AK","AK7","Kozeretska_1_AK7_1",20,1,"1"
"Kozeretska","NS","F","AK","AK7","Kozeretska_2_AK7_1",20,1,"2"
"Kozeretska","NS","F","AK","AK8","Kozeretska_1_AK8_1",20,1,"1"
"Kozeretska","NS","F","AK","AK8","Kozeretska_2_AK8_1",20,1,"2"
"Kozeretska","NS","F","AK","AK9","Kozeretska_1_AK9_1",20,1,"1"
"Kozeretska","NS","F","AK","AK9","Kozeretska_2_AK9_1",20,1,"2"
"Kozeretska","NS","F","GI","GI1","Kozeretska_1_GI1_1",20,1,"1"
"Kozeretska","NS","F","GI","GI1","Kozeretska_2_GI1_1",20,1,"2"
"Kozeretska","NS","F","GI","GI11","Kozeretska_1_GI11_1",20,1,"1"
"Kozeretska","NS","F","GI","GI11","Kozeretska_2_GI11_1",20,1,"2"
"Kozeretska","NS","F","GI","GI14","Kozeretska_1_GI14_1",20,1,"1"
"Kozeretska","NS","F","GI","GI14","Kozeretska_2_GI14_1",20,1,"2"
"Kozeretska","NS","F","GI","GI15","Kozeretska_1_GI15_1",20,1,"1"
"Kozeretska","NS","F","GI","GI2","Kozeretska_1_GI2_1",20,1,"1"
