"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Kozeretska","NS","F","AK","AK1",2,"Kozeretska_1_AK1_1; Kozeretska_2_AK1_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK10",2,"Kozeretska_1_AK10_1; Kozeretska_2_AK10_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK11",2,"Kozeretska_1_AK11_1; Kozeretska_2_AK11_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK12",2,"Kozeretska_1_AK12_1; Kozeretska_2_AK12_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK13",2,"Kozeretska_1_AK13_1; Kozeretska_2_AK13_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK14",2,"Kozeretska_1_AK14_1; Kozeretska_2_AK14_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK15",1,"Kozeretska_1_AK15_1",20,1,"1"
"Kozeretska","NS","F","AK","AK16",2,"Kozeretska_1_AK16_1; Kozeretska_2_AK16_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK17",2,"Kozeretska_1_AK17_1; Kozeretska_2_AK17_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK2",1,"Kozeretska_1_AK2_1",20,1,"1"
"Kozeretska","NS","F","AK","AK20",2,"Kozeretska_1_AK20_1; Kozeretska_2_AK20_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK21",1,"Kozeretska_1_AK21_1",20,1,"1"
"Kozeretska","NS","F","AK","AK3",2,"Kozeretska_1_AK3_1; Kozeretska_2_AK3_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK4",2,"Kozeretska_1_AK4_1; Kozeretska_2_AK4_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK5",2,"Kozeretska_1_AK5_1; Kozeretska_2_AK5_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK6",1,"Kozeretska_1_AK6_1",20,1,"1"
"Kozeretska","NS","F","AK","AK7",2,"Kozeretska_1_AK7_1; Kozeretska_2_AK7_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK8",2,"Kozeretska_1_AK8_1; Kozeretska_2_AK8_1",40,2,"1; 2"
"Kozeretska","NS","F","AK","AK9",2,"Kozeretska_1_AK9_1; Kozeretska_2_AK9_1",40,2,"1; 2"
"Kozeretska","NS","F","GI","GI1",2,"Kozeretska_1_GI1_1; Kozeretska_2_GI1_1",40,2,"1; 2"
