"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Gibert","NS",NA,"AK","AK1","Gibert_1_AK1_1",1,1,"1"
"Gibert","NS",NA,"AK","AK1","Gibert_1_AK1_2",1,1,"1"
"Gibert","NS",NA,"AK","AK1","Gibert_1_AK1_3",1,1,"1"
"Gibert","NS",NA,"AK","AK10","Gibert_1_AK10_1",1,1,"1"
"Gibert","NS",NA,"AK","AK10","Gibert_1_AK10_2",1,1,"1"
"Gibert","NS",NA,"AK","AK10","Gibert_1_AK10_3",1,1,"1"
"Gibert","NS",NA,"AK","AK11","Gibert_2_AK11_1",1,1,"2"
"Gibert","NS",NA,"AK","AK11","Gibert_2_AK11_2",1,1,"2"
"Gibert","NS",NA,"AK","AK11","Gibert_2_AK11_3",1,1,"2"
"Gibert","NS",NA,"AK","AK12","Gibert_1_AK12_1",1,1,"1"
"Gibert","NS",NA,"AK","AK12","Gibert_1_AK12_2",1,1,"1"
"Gibert","NS",NA,"AK","AK12","Gibert_1_AK12_3",1,1,"1"
"Gibert","NS",NA,"AK","AK12","Gibert_2_AK12_1",1,1,"2"
"Gibert","NS",NA,"AK","AK12","Gibert_2_AK12_2",1,1,"2"
"Gibert","NS",NA,"AK","AK12","Gibert_2_AK12_3",1,1,"2"
"Gibert","NS",NA,"AK","AK13","Gibert_2_AK13_1",1,1,"2"
"Gibert","NS",NA,"AK","AK13","Gibert_2_AK13_2",1,1,"2"
"Gibert","NS",NA,"AK","AK13","Gibert_2_AK13_3",1,1,"2"
"Gibert","NS",NA,"AK","AK14","Gibert_2_AK14_1",1,1,"2"
"Gibert","NS",NA,"AK","AK14","Gibert_2_AK14_2",1,1,"2"
"Gibert","NS",NA,"AK","AK14","Gibert_2_AK14_3",1,1,"2"
"Gibert","NS",NA,"AK","AK15","Gibert_3_AK15_1",1,1,"3"
"Gibert","NS",NA,"AK","AK15","Gibert_3_AK15_2",1,1,"3"
"Gibert","NS",NA,"AK","AK15","Gibert_3_AK15_3",1,1,"3"
"Gibert","NS",NA,"AK","AK16","Gibert_2_AK16_1",1,1,"2"
"Gibert","NS",NA,"AK","AK16","Gibert_2_AK16_2",1,1,"2"
"Gibert","NS",NA,"AK","AK16","Gibert_2_AK16_3",1,1,"2"
"Gibert","NS",NA,"AK","AK17","Gibert_1_AK17_1",1,1,"1"
"Gibert","NS",NA,"AK","AK17","Gibert_1_AK17_2",1,1,"1"
"Gibert","NS",NA,"AK","AK17","Gibert_1_AK17_3",1,1,"1"
"Gibert","NS",NA,"AK","AK18","Gibert_1_AK18_1",1,1,"1"
"Gibert","NS",NA,"AK","AK18","Gibert_1_AK18_2",1,1,"1"
"Gibert","NS",NA,"AK","AK18","Gibert_1_AK18_3",1,1,"1"
"Gibert","NS",NA,"AK","AK2","Gibert_1_AK2_1",1,1,"1"
"Gibert","NS",NA,"AK","AK2","Gibert_1_AK2_2",1,1,"1"
"Gibert","NS",NA,"AK","AK2","Gibert_1_AK2_3",1,1,"1"
"Gibert","NS",NA,"AK","AK20","Gibert_1_AK20_1",1,1,"1"
