"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Gibert","NS",NA,"AK","AK1",3,"Gibert_1_AK1_1; Gibert_1_AK1_2; Gibert_1_AK1_3",3,1,"1"
"Gibert","NS",NA,"AK","AK10",3,"Gibert_1_AK10_1; Gibert_1_AK10_2; Gibert_1_AK10_3",3,1,"1"
"Gibert","NS",NA,"AK","AK11",3,"Gibert_2_AK11_1; Gibert_2_AK11_2; Gibert_2_AK11_3",3,1,"2"
"Gibert","NS",NA,"AK","AK12",6,"Gibert_1_AK12_1; Gibert_1_AK12_2; Gibert_1_AK12_3; Gibert_2_AK12_1; Gibert_2_AK12_2; Gibert_2_AK12_3",6,2,"1; 2"
"Gibert","NS",NA,"AK","AK13",3,"Gibert_2_AK13_1; Gibert_2_AK13_2; Gibert_2_AK13_3",3,1,"2"
"Gibert","NS",NA,"AK","AK14",3,"Gibert_2_AK14_1; Gibert_2_AK14_2; Gibert_2_AK14_3",3,1,"2"
"Gibert","NS",NA,"AK","AK15",3,"Gibert_3_AK15_1; Gibert_3_AK15_2; Gibert_3_AK15_3",3,1,"3"
"Gibert","NS",NA,"AK","AK16",3,"Gibert_2_AK16_1; Gibert_2_AK16_2; Gibert_2_AK16_3",3,1,"2"
"Gibert","NS",NA,"AK","AK17",3,"Gibert_1_AK17_1; Gibert_1_AK17_2; Gibert_1_AK17_3",3,1,"1"
"Gibert","NS",NA,"AK","AK18",3,"Gibert_1_AK18_1; Gibert_1_AK18_2; Gibert_1_AK18_3",3,1,"1"
"Gibert","NS",NA,"AK","AK2",3,"Gibert_1_AK2_1; Gibert_1_AK2_2; Gibert_1_AK2_3",3,1,"1"
"Gibert","NS",NA,"AK","AK20",3,"Gibert_1_AK20_1; Gibert_1_AK20_2; Gibert_1_AK20_3",3,1,"1"
"Gibert","NS",NA,"AK","AK21",3,"Gibert_1_AK21_1; Gibert_1_AK21_2; Gibert_1_AK21_3",3,1,"1"
"Gibert","NS",NA,"AK","AK3",3,"Gibert_1_AK3_1; Gibert_1_AK3_2; Gibert_1_AK3_3",3,1,"1"
"Gibert","NS",NA,"AK","AK4",3,"Gibert_3_AK4_1; Gibert_3_AK4_2; Gibert_3_AK4_3",3,1,"3"
"Gibert","NS",NA,"AK","AK5",3,"Gibert_2_AK5_1; Gibert_2_AK5_2; Gibert_2_AK5_3",3,1,"2"
"Gibert","NS",NA,"AK","AK6",3,"Gibert_2_AK6_1; Gibert_2_AK6_2; Gibert_2_AK6_3",3,1,"2"
"Gibert","NS",NA,"AK","AK7",3,"Gibert_1_AK7_1; Gibert_1_AK7_2; Gibert_1_AK7_3",3,1,"1"
"Gibert","NS",NA,"AK","AK8",3,"Gibert_2_AK8_1; Gibert_2_AK8_2; Gibert_2_AK8_3",3,1,"2"
"Gibert","NS",NA,"AK","AK9",3,"Gibert_2_AK9_1; Gibert_2_AK9_2; Gibert_2_AK9_3",3,1,"2"
"Gibert","NS",NA,"GI","GI1",3,"Gibert_1_GI1_1; Gibert_1_GI1_2; Gibert_1_GI1_3",3,1,"1"
"Gibert","NS",NA,"GI","GI10",6,"Gibert_1_GI10_1; Gibert_1_GI10_2; Gibert_1_GI10_3; Gibert_2_GI10_1; Gibert_2_GI10_2; Gibert_2_GI10_3",6,2,"1; 2"
"Gibert","NS",NA,"GI","GI11",3,"Gibert_1_GI11_1; Gibert_1_GI11_2; Gibert_1_GI11_3",3,1,"1"
"Gibert","NS",NA,"GI","GI12",3,"Gibert_1_GI12_1; Gibert_1_GI12_2; Gibert_1_GI12_3",3,1,"1"
"Gibert","NS",NA,"GI","GI13",3,"Gibert_2_GI13_1; Gibert_2_GI13_2; Gibert_2_GI13_3",3,1,"2"
"Gibert","NS",NA,"GI","GI14",3,"Gibert_1_GI14_1; Gibert_1_GI14_2; Gibert_1_GI14_3",3,1,"1"
"Gibert","NS",NA,"GI","GI15",3,"Gibert_1_GI15_1; Gibert_1_GI15_2; Gibert_1_GI15_3",3,1,"1"
"Gibert","NS",NA,"GI","GI2",3,"Gibert_2_GI2_1; Gibert_2_GI2_2; Gibert_2_GI2_3",3,1,"2"
"Gibert","NS",NA,"GI","GI3",3,"Gibert_2_GI3_1; Gibert_2_GI3_2; Gibert_2_GI3_3",3,1,"2"
"Gibert","NS",NA,"GI","GI4",3,"Gibert_1_GI4_1; Gibert_1_GI4_2; Gibert_1_GI4_3",3,1,"1"
"Gibert","NS",NA,"GI","GI5",3,"Gibert_1_GI5_1; Gibert_1_GI5_2; Gibert_1_GI5_3",3,1,"1"
"Gibert","NS",NA,"GI","GI6",3,"Gibert_2_GI6_1; Gibert_2_GI6_2; Gibert_2_GI6_3",3,1,"2"
"Gibert","NS",NA,"GI","GI7",3,"Gibert_1_GI7_1; Gibert_1_GI7_2; Gibert_1_GI7_3",3,1,"1"
"Gibert","NS",NA,"GI","GI8",3,"Gibert_2_GI8_1; Gibert_2_GI8_2; Gibert_2_GI8_3",3,1,"2"
"Gibert","NS",NA,"GI","GI9",3,"Gibert_1_GI9_1; Gibert_1_GI9_2; Gibert_1_GI9_3",3,1,"1"
"Gibert","NS",NA,"KA","KA1",2,"Gibert_2_KA1_1; Gibert_2_KA1_2",2,1,"2"
"Gibert","NS",NA,"KA","KA10",3,"Gibert_1_KA10_1; Gibert_1_KA10_2; Gibert_1_KA10_3",3,1,"1"
"Gibert","NS",NA,"KA","KA11",6,"Gibert_1_KA11_1; Gibert_1_KA11_2; Gibert_1_KA11_3; Gibert_2_KA11_1; Gibert_2_KA11_2; Gibert_2_KA11_3",6,2,"1; 2"
"Gibert","NS",NA,"KA","KA13",3,"Gibert_1_KA13_1; Gibert_1_KA13_2; Gibert_1_KA13_3",3,1,"1"
"Gibert","NS",NA,"KA","KA14",3,"Gibert_2_KA14_1; Gibert_2_KA14_2; Gibert_2_KA14_3",3,1,"2"
"Gibert","NS",NA,"KA","KA15",3,"Gibert_1_KA15_1; Gibert_1_KA15_2; Gibert_1_KA15_3",3,1,"1"
"Gibert","NS",NA,"KA","KA16",3,"Gibert_1_KA16_1; Gibert_1_KA16_2; Gibert_1_KA16_3",3,1,"1"
