"Lab","Diet","Sex","Population","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"StamenkovicRadak","NS","F","AK",16,"AK1; AK16; AK17; AK18; AK19; AK2; AK20; AK21; AK3; AK4; AK5; AK6; AK7; AK8; AK9; AK24",16,"StamenkovicRadak_1_AK1_1; StamenkovicRadak_1_AK2_1; StamenkovicRadak_1_AK3_1; StamenkovicRadak_1_AK4_1; StamenkovicRadak_2_AK5_1; StamenkovicRadak_2_AK6_1; StamenkovicRadak_2_AK9_1; StamenkovicRadak_3_AK7_1; StamenkovicRadak_3_AK8_1; StamenkovicRadak_4_AK16_1; StamenkovicRadak_4_AK17_1; StamenkovicRadak_4_AK18_1; StamenkovicRadak_4_AK19_1; StamenkovicRadak_4_AK20_1; StamenkovicRadak_4_AK21_1; StamenkovicRadak_4_AK24_1",511,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","F","GI",10,"GI1; GI10; GI11; GI14; GI3; GI4; GI5; GI6; GI8; GI9",10,"StamenkovicRadak_1_GI1_1; StamenkovicRadak_1_GI3_1; StamenkovicRadak_1_GI5_1; StamenkovicRadak_2_GI11_1; StamenkovicRadak_3_GI10_1; StamenkovicRadak_4_GI14_1; StamenkovicRadak_4_GI9_1; StamenkovicRadak_1_GI4_1; StamenkovicRadak_2_GI6_1; StamenkovicRadak_2_GI8_1",301,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","F","KA",16,"KA1; KA10; KA13; KA14; KA15; KA17; KA18; KA2; KA23; KA24; KA25; KA29; KA3; KA5; KA7; KA9",16,"StamenkovicRadak_1_KA1_1; StamenkovicRadak_1_KA2_1; StamenkovicRadak_1_KA3_1; StamenkovicRadak_1_KA5_1; StamenkovicRadak_2_KA10_1; StamenkovicRadak_2_KA13_1; StamenkovicRadak_2_KA7_1; StamenkovicRadak_2_KA9_1; StamenkovicRadak_3_KA14_1; StamenkovicRadak_3_KA15_1; StamenkovicRadak_3_KA17_1; StamenkovicRadak_3_KA18_1; StamenkovicRadak_4_KA23_1; StamenkovicRadak_4_KA24_1; StamenkovicRadak_4_KA25_1; StamenkovicRadak_4_KA29_1",467,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","F","MA",11,"MA16; MA18; MA19; MA20; MA26; MA3; MA30; MA5; MA6; MA7; MA9",11,"StamenkovicRadak_1_MA3_1; StamenkovicRadak_1_MA5_1; StamenkovicRadak_2_MA20_1; StamenkovicRadak_3_MA18_1; StamenkovicRadak_3_MA19_1; StamenkovicRadak_3_MA26_1; StamenkovicRadak_4_MA30_1; StamenkovicRadak_1_MA6_1; StamenkovicRadak_1_MA7_1; StamenkovicRadak_2_MA9_1; StamenkovicRadak_5_MA16_1",327,5,"1; 2; 3; 4; 5"
"StamenkovicRadak","NS","F","MU",15,"MU1; MU11; MU12; MU13; MU14; MU16; MU17; MU18; MU19; MU2; MU4; MU5; MU7; MU8; MU9",15,"StamenkovicRadak_1_MU1_1; StamenkovicRadak_1_MU2_1; StamenkovicRadak_1_MU5_1; StamenkovicRadak_2_MU12_1; StamenkovicRadak_2_MU7_1; StamenkovicRadak_2_MU9_1; StamenkovicRadak_3_MU11_1; StamenkovicRadak_3_MU13_1; StamenkovicRadak_3_MU14_1; StamenkovicRadak_3_MU8_1; StamenkovicRadak_4_MU16_1; StamenkovicRadak_4_MU17_1; StamenkovicRadak_4_MU18_1; StamenkovicRadak_4_MU19_1; StamenkovicRadak_4_MU4_1",497,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","F","RE",13,"RE1; RE11; RE12; RE13; RE16; RE17; RE18; RE2; RE4; RE5; RE6; RE7; RE8",13,"StamenkovicRadak_1_RE2_1; StamenkovicRadak_1_RE5_1; StamenkovicRadak_2_RE12_1; StamenkovicRadak_2_RE13_1; StamenkovicRadak_2_RE16_1; StamenkovicRadak_3_RE11_1; StamenkovicRadak_3_RE17_1; StamenkovicRadak_3_RE18_1; StamenkovicRadak_3_RE8_1; StamenkovicRadak_4_RE1_1; StamenkovicRadak_4_RE4_1; StamenkovicRadak_4_RE6_1; StamenkovicRadak_4_RE7_1",390,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","F","UM",14,"UM17; UM18; UM2; UM20; UM21; UM22; UM23; UM24; UM26; UM28; UM29; UM6; UM7; UM9",14,"StamenkovicRadak_1_UM2_1; StamenkovicRadak_1_UM7_1; StamenkovicRadak_1_UM9_1; StamenkovicRadak_2_UM17_1; StamenkovicRadak_2_UM18_1; StamenkovicRadak_2_UM20_1; StamenkovicRadak_2_UM21_1; StamenkovicRadak_3_UM22_1; StamenkovicRadak_3_UM26_1; StamenkovicRadak_3_UM28_1; StamenkovicRadak_4_UM24_1; StamenkovicRadak_4_UM29_1; StamenkovicRadak_4_UM6_1; StamenkovicRadak_3_UM23_1",406,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","F","VA",15,"VA1; VA11; VA18; VA30; VA34; VA44; VA46; VA48; VA55; VA57; VA6; VA66; VA67; VA71; VA9",15,"StamenkovicRadak_1_VA1_1; StamenkovicRadak_1_VA11_1; StamenkovicRadak_1_VA6_1; StamenkovicRadak_1_VA9_1; StamenkovicRadak_2_VA18_1; StamenkovicRadak_2_VA30_1; StamenkovicRadak_2_VA44_1; StamenkovicRadak_3_VA34_1; StamenkovicRadak_3_VA48_1; StamenkovicRadak_4_VA46_1; StamenkovicRadak_4_VA55_1; StamenkovicRadak_4_VA57_1; StamenkovicRadak_4_VA66_1; StamenkovicRadak_4_VA67_1; StamenkovicRadak_4_VA71_1",458,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","F","YE",14,"YE13; YE14; YE15; YE20; YE22; YE23; YE24; YE33; YE40; YE41; YE49; YE51; YE69; YE80",14,"StamenkovicRadak_1_YE13_1; StamenkovicRadak_1_YE14_1; StamenkovicRadak_1_YE15_1; StamenkovicRadak_2_YE20_1; StamenkovicRadak_2_YE22_1; StamenkovicRadak_2_YE23_1; StamenkovicRadak_3_YE24_1; StamenkovicRadak_3_YE33_1; StamenkovicRadak_3_YE40_1; StamenkovicRadak_3_YE41_1; StamenkovicRadak_4_YE49_1; StamenkovicRadak_4_YE51_1; StamenkovicRadak_4_YE69_1; StamenkovicRadak_4_YE80_1",430,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","M","AK",16,"AK1; AK16; AK17; AK18; AK19; AK2; AK20; AK21; AK3; AK4; AK5; AK6; AK7; AK8; AK9; AK24",16,"StamenkovicRadak_1_AK1_1; StamenkovicRadak_1_AK2_1; StamenkovicRadak_1_AK3_1; StamenkovicRadak_1_AK4_1; StamenkovicRadak_2_AK5_1; StamenkovicRadak_2_AK6_1; StamenkovicRadak_2_AK9_1; StamenkovicRadak_3_AK7_1; StamenkovicRadak_3_AK8_1; StamenkovicRadak_4_AK16_1; StamenkovicRadak_4_AK17_1; StamenkovicRadak_4_AK18_1; StamenkovicRadak_4_AK19_1; StamenkovicRadak_4_AK20_1; StamenkovicRadak_4_AK21_1; StamenkovicRadak_4_AK24_1",496,4,"1; 2; 3; 4"
