"","Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Kozeretska","F","AK","AK1",915.8,32.9515572955988,912,851,1004,5.21009867518152,0.0359811719759759,912
"2","Kozeretska","F","AK","AK10",925.5,45.7736907975615,924,811,1024,7.23745599162919,0.0494583368963388,948
"3","Kozeretska","F","AK","AK11",939.475,83.7936988941231,946,815,1112,13.2489471037881,0.0891920475735098,851
"4","Kozeretska","F","AK","AK12",893.125,48.5471948541327,894,787,1020,7.67598548755326,0.0543565512712472,863
"5","Kozeretska","F","AK","AK13",948.75,51.7081305911437,954,819,1064,8.17577331087214,0.0545013234162252,912
"6","Kozeretska","F","AK","AK14",976.65,51.9331671107573,978,855,1088,8.21135470880695,0.0531747986594556,1020
"7","Kozeretska","F","AK","AK15",973.6,42.4591444493224,974,900,1092,9.49415332551676,0.0436104606094108,976
"8","Kozeretska","F","AK","AK16",919.8,34.7984673992021,918,843,972,5.50212080322973,0.0378326455742576,956
"9","Kozeretska","F","AK","AK17",942.375,53.17782818296,948,803,1044,8.40815290396234,0.056429582897424,988
"10","Kozeretska","F","AK","AK2",889.15,47.8872304701918,896,811,948,10.7079102585548,0.0538573136930684,948
"11","Kozeretska","F","AK","AK20",901.75,49.4439594713563,912,763,988,7.81777642332705,0.0548311166857292,928
"12","Kozeretska","F","AK","AK21",1012.2,33.3523454552813,1006,932,1056,7.45781116470651,0.0329503511709951,1052
"13","Kozeretska","F","AK","AK3",941.55,69.3962793652771,950,799,1056,10.972515196781,0.0737042954333569,980
"14","Kozeretska","F","AK","AK4",932.25,45.0661906362357,932,851,1044,7.12559039389288,0.0483413147076811,956
"15","Kozeretska","F","AK","AK5",942.7,31.4750206207545,944,880,1020,4.97663772811756,0.0333881623217933,956
"16","Kozeretska","F","AK","AK6",902.65,57.7774997181793,916,795,1012,12.9194416939824,0.0640087516957617,940
"17","Kozeretska","F","AK","AK7",924.425,44.8232354465565,924,735,996,7.08717580545565,0.0484876928323622,948
